note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5131958,Türkmenistan,37.9153416,58.4031084,2026-01-16 00:00:00,2026-01-16 19:56:02,0,Ravishing,'номер 33' OSM snapshot date: 2025-12-14T02:16:23Z POI name: 20-nji Çagalar Bakji-Bagy POI types: building  #organicmaps android 2025.12.16-16-Google,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5131383  Therefore, it will be closed.  #DuplicateNote"
5096617,Türkmenistan,37.9738926,58.3235551,2025-12-18 00:00:00,2025-12-29 10:12:10,0,Shirinnabat,'Аптека Ширин Набат' POI name: Аптека Ширин Набат POI types: amenity-pharmacy OSM data version: 2025-04-18T20:24:02Z  #mapsme,2,0,NeisBot,"Hi Shirinnabat, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Аптека Ширин Набат' (amenity=pharmacy) https://osm.org/node/13387064202  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5104230,Türkmenistan,37.9321690,58.4060130,2025-12-25 00:00:00,2025-12-25 05:32:07,0,Unknown,Zehin Travel,2,0,MarexArt,
5096618,Türkmenistan,37.9738926,58.3235551,2025-12-18 00:00:00,2025-12-18 18:06:02,0,Shirinnabat,'Аптека Ширин Набат' POI name: Аптека Ширин Набат POI types: amenity-pharmacy OSM data version: 2025-04-18T20:24:02Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5096617  Therefore, it will be closed.  #DuplicateNote"
5076988,Türkmenistan,37.9813016,58.3338642,2025-12-03 00:00:00,2025-12-18 15:19:26,0,AGGuvanch,'BAZETTI' POI name: BAZETTI POI types: amenity-cafe OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi AGGuvanch, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'BAZETTI' (amenity=cafe) https://osm.org/node/13350617901  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5061326,Türkmenistan,37.9088646,58.3391330,2025-11-20 00:00:00,2025-12-18 15:06:45,0,Hudayberdi⁷⁰⁰⁷,'Тербаш Маркет' POI name: Тербаш Маркет POI types: shop-convenience OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Hudayberdi⁷⁰⁰⁷, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Тербаш Маркет' (shop=convenience) https://osm.org/node/13319713801  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5062767,Türkmenistan,37.8869747,58.3552140,2025-11-21 00:00:00,2025-11-24 19:27:40,0,RedAuburn,'bad name' OSM snapshot date: 2025-11-16T22:50:55Z POI has no name POI types: highway-bus_stop  #CoMaps android 2025.11.19-2,2,0,map per,"Hi, deleted the descriptive names"
2699544,Türkmenistan,41.9881890,59.3738079,2021-06-05 00:00:00,2025-11-24 10:42:14,0,andrewwiseman,Lots of missing roads in this area,5,1,Koreller,I've added highway
5065251,Türkmenistan,40.7031798,61.3476777,2025-11-23 00:00:00,2025-11-24 06:58:21,0,Unknown,4w4ww44 to test 44,2,0,NeisReview,The content of this note is #nonsense.
