note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5259230,Nederland,52.2205487,6.8402358,2026-04-21 00:00:00,2026-04-24 07:53:47,3,Mateusz Konieczny,"Compact Europe https://www.openstreetmap.org/node/2756013892/history  shop=butcher delivery=only makes no sense whatsoever, either it is not a shop or delivery tag is wrong  Maybe it is dark_store=butcher Or maybe amenity=warehouse ?  Maybe other tagging would be better but shop= + delivery=only is surely wrong",2,0,Wanderer2000,"I have changed it to industrial=warehouse, since it also has a loading dock"
5261681,Nederland,51.9142009,4.4972518,2026-04-22 00:00:00,2026-04-24 07:51:20,2,Unknown,Er is hier een grote glijbaan. https://commons.wikimedia.org/wiki/File:2026_Ons_Park_op_Noordereiland_gezien_vanaf_oude_spoordijk_richting_Nieuwe_Maas.jpg,2,0,lyctkel,"Hi anonymous, bedenakt voor de note. De glijbaan is bekend: https://www.openstreetmap.org/way/969495016"
5263041,Nederland,52.2639185,6.7903917,2026-04-23 00:00:00,2026-04-24 07:35:54,1,Mr Probot,"'Closed' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-01-25T13:04:34Z POI name: De Beren POI types: amenity-restaurant  #organicmaps android 2026.04.07-8-FDroid",2,0,Wanderer2000,"Is al verwijderd, je hebt nog data uit januari in je app :)"
5262795,Nederland,53.1240680,6.4274790,2026-04-23 00:00:00,2026-04-24 06:26:46,1,GerritdV,Verschijnt in Wandrer app als wandelroute. Toegang is alleen voor gaste. Tag niet correct lijkt me.,4,1,Geim,"Ik ie niets (geen hek, geen bordje 461 of anderszins) waarom dit pad als private gemapt moet worden. Verder is dit geen doorgaande weg, dus vraag ik me af waarom dit in de app als route wordt aangemerkt."
5262794,Nederland,53.1372650,6.4266960,2026-04-23 00:00:00,2026-04-23 22:14:26,0,GerritdV,"Dit pad verschijnt in de wandel app Wandrer maar er staat een bord 'verboden toegang', 'priveterrein'. Denk dat de tag niet juist is.",2,0,Leo Slager,aangepast
5263131,Nederland,52.0853658,5.1475609,2026-04-23 00:00:00,2026-04-23 22:05:37,0,Unknown,Casa Rietveld Schroder,2,0,Leo Slager,staat al op de kaart
5183563,Nederland,52.3922411,5.5417021,2026-02-27 00:00:00,2026-04-23 20:25:35,55,wpasman,"Er lijjkt een gesloten slagboom het fietspad te blokkeren vlak bij de knarweg. Zowel op sateliet foto 2026  als op streetview. En een bord C1 verboden voor voertuigen, uitgezonderd fietsers. Als men de fiets niet over de slagboom kan tillen dan is dit fie",2,0,fietswim,Slagboom toegevoegd
5222740,Nederland,52.3378590,5.4590360,2026-03-28 00:00:00,2026-04-23 20:11:53,26,GJSZeewolde,Deze picknicktafel was in mijn herinnering al in zeer slechte staat en is nu verwijderd. Waargenomen tijdens fietstocht op 27 maart.,2,0,fietswim,picnic_table verwijderd
5254028,Nederland,51.6924110,5.3064924,2026-04-17 00:00:00,2026-04-23 18:12:04,6,Unknown,Hier komt volgende maand de voetgangersbrug Zuid-Willemsvaart:  https://www.s-hertogenbosch.nl/voetgangersbrug/,5,1,Jakaka2222,"Staat er in als proposed, moet nog geupdatet worden naar construction als werkzaamheden zichtbaar worden."
5262240,Nederland,51.8998216,4.8381954,2026-04-23 00:00:00,2026-04-23 17:06:56,0,Unknown,Boederij,2,0,Geim,Deze vorm van micromapping wordt niet via de notes ondersteund.
