note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5125869,Tchad تشاد,23.0011820,14.9986900,2026-01-11 00:00:00,2026-01-17 15:41:30,6,Unknown,something happened round here......,3,0,pitscheplatsch,
4969887,Tchad تشاد,13.4838164,21.7130533,2025-09-20 00:00:00,2026-01-10 10:12:50,112,انس زكريا احمد,انس زكريا احمد,2,0,Hassan Arara,
4962462,Tchad تشاد,13.3277220,22.0008250,2025-09-15 00:00:00,2025-12-25 13:41:48,0,Tourism_info,"Check whether sanitary fits better https://wiki.openstreetmap.org/wiki/Tag:building%3Dsanitary, also see the other 967 https://taginfo.openstreetmap.org/tags/building%3Dtoilets%3Bshower",2,0,Hassan Arara,
4377730,Tchad تشاد,13.1883000,21.9103000,2024-08-11 00:00:00,2025-12-18 16:15:23,0,Unknown,Base,2,0,bluestarfish,"Hello, thanks for experimenting with the OpenStreetMap Notes feature. This is a great way to highlight missing data or things that should be fixed. For now I'm closing your experimental note."
5040098,Tchad تشاد,13.4568680,22.2069579,2025-11-06 00:00:00,2025-12-18 16:14:04,0,Unknown,B E T,2,0,bluestarfish,"Hello, thanks for experimenting with the OpenStreetMap Notes feature. This is a great way to highlight missing data or things that should be fixed. For now I'm closing your experimental note."
5059982,Tchad تشاد,13.8441962,20.8376567,2025-11-19 00:00:00,2025-11-19 15:49:15,0,Tchabi,Cette quartier s'appelle bendjedid nord Pas kamina ce qui montre sur snapchat,3,1,Tchabi,
5022384,Tchad تشاد,13.6438286,16.4936972,2025-10-25 00:00:00,2025-10-26 09:51:26,0,Unknown,زوارك  #OsmAnd,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
5000722,Tchad تشاد,10.2812600,15.3712500,2025-10-11 00:00:00,2025-10-11 11:39:44,0,Unknown,"New node created Test (Café):  Suggested location change: 10.28126, 15.37125  Suggested changes: amenity=cafe name=Test   --------  Submitted from https://osmapp.org/10.28126,15.37125",2,0,bluestarfish,Test
2297624,Tchad تشاد,12.1082600,15.0464400,2020-08-07 00:00:00,2025-10-09 20:51:41,0,Unknown,lieu de stage,2,0,Jorieke V,not relevant note
576797,Tchad تشاد,12.1287270,15.0787780,2016-05-29 00:00:00,2025-10-09 20:50:01,0,Ahmat Abdallah,Maison Diguel,2,0,Jorieke V,"Same note as the one next door, so I close this one."
2471957,Tchad تشاد,12.1283848,15.0793147,2020-12-24 00:00:00,2025-10-09 20:49:17,0,Unknown,Mon nom c'est chérif Youssouf Abdallah cet urgence monsieur,2,0,Jorieke V,Not relevant
4982314,Tchad تشاد,12.1730133,15.0482789,2025-09-28 00:00:00,2025-09-28 06:51:26,0,Mht Adam djour,Gal.Adam Djour,4,1,Mht Adam djour,Bâtiment
2378423,Tchad تشاد,17.9309306,19.1046736,2020-10-08 00:00:00,2025-09-18 15:17:32,0,Amadi de Faya,"'Wifi a été délocalisé ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Fiwi public POI types: shop-ticket OSM data version: 2020-08-22T02:23:14Z  #mapsme",2,0,Amadi de Faya,
2376159,Tchad تشاد,17.9353679,19.1104982,2020-10-06 00:00:00,2025-09-18 15:17:08,0,Amadi de Faya,'boucherie officielle de la ville  d'où on vend de la viande de chameau.' POI name: Boucherie du marché central POI types: shop-butcher OSM data version: 2020-08-22T02:23:14Z  #mapsme,2,0,Amadi de Faya,
2376160,Tchad تشاد,17.9219220,19.1009185,2020-10-06 00:00:00,2025-09-18 15:16:43,0,Amadi de Faya,"'Elle n'est pas sa place ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: shop-car_repair OSM data version: 2020-08-22T02:23:14Z  #mapsme",2,0,Amadi de Faya,
