note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5130719,Bolivia,-16.4931886,-68.1452077,2026-01-15 00:00:00,2026-01-18 12:54:26,3,rodolfovargas,Cajeros BISA BNB  via StreetComplete 62.1,2,0,rodolfovargas,
5130960,Bolivia,-17.3379830,-66.1777700,2026-01-15 00:00:00,2026-01-16 03:12:48,1,Unknown,CLIENTES,2,0,5m4u9,"lo siento, pero información privada no va en este mapa, use este > https://umap.openstreetmap.fr"
5128500,Bolivia,-15.0947500,-67.6577100,2026-01-14 00:00:00,2026-01-16 03:12:23,2,Unknown,Posible Chimey,2,0,5m4u9,
4872197,Bolivia,-19.0298300,-68.3862900,2025-07-24 00:00:00,2026-01-14 23:27:38,174,Carla Gianina,"2 rutas alternas, NO ASFALTADAS",2,0,JJIglesias,Added already to the map
3802152,Bolivia,-13.7680861,-68.1253776,2023-07-27 00:00:00,2026-01-14 15:32:49,902,MachicadoC,Letrero ixiamas  via StreetComplete 51.1  Attached photo(s): https://westnordost.de/p/163634.jpg,2,0,rodolfovargas,
5127699,Bolivia,-21.6920644,-63.7407018,2026-01-13 00:00:00,2026-01-13 15:08:31,0,joost schouppe,This whole road is paved bnow (see mapillary),2,0,joost schouppe,Fixed in changeset 177183029
5111503,Bolivia,-21.5331793,-64.7344968,2025-12-30 00:00:00,2026-01-11 02:49:50,12,ArtFrancus,"'Cerraron el local y ahora en cambio hay una tienda de ropa ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-14T02:16:23Z POI name: Crocan Pollo POI types: amenity-restaurant  #organicmaps android 2025.12.16-16-Google",2,0,Unknown,cierto
5111501,Bolivia,-21.5334337,-64.7308302,2025-12-30 00:00:00,2026-01-11 02:49:06,12,ArtFrancus,"'Ahora ahí hay otra universidad ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-14T02:16:23Z POI name: Centro Boliviano Americano POI types: amenity-language_school  #organicmaps android 2025.12.16-16-Google",2,0,Unknown,Actualmente es la universidad UNO
5111502,Bolivia,-21.5360036,-64.7319836,2025-12-30 00:00:00,2026-01-11 02:48:45,12,ArtFrancus,"'Ahora ahí hay una heladería ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-14T02:16:23Z POI name: Eli's Pizza POI types: amenity-fast_food cuisine-pizza  #organicmaps android 2025.12.16-16-Google",2,0,Unknown,Ahora es la heladeria Dolce
5124884,Bolivia,-21.5372800,-64.7331590,2026-01-11 00:00:00,2026-01-11 02:48:06,0,Unknown,Here is a pub called Cábala restobar,3,1,Unknown,
4296373,Bolivia,-20.0332000,-68.5558000,2024-06-17 00:00:00,2026-01-09 20:14:14,571,Unknown,MURMUNTANI,2,0,JJIglesias,"Moved to this location, however as per IGM, Minedu and Census 2012 this place is called PLAYA VERDE and NOT Murumuntani"
5121212,Bolivia,-16.5244097,-68.1127065,2026-01-07 00:00:00,2026-01-08 12:31:36,1,rodolfovargas,MILAMORES milanesas  via StreetComplete 62.1,2,0,rodolfovargas,
5121222,Bolivia,-16.5245663,-68.1127967,2026-01-07 00:00:00,2026-01-08 12:30:56,1,rodolfovargas,Cajeros BANCO BISA BANCO BNB  via StreetComplete 62.1,2,0,rodolfovargas,
5109136,Bolivia,-14.6970909,-64.7815240,2025-12-28 00:00:00,2026-01-05 20:33:27,8,SColchester,Edificio  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/322014.jpg,2,0,SColchester,Added
5108677,Bolivia,-14.6969421,-64.7815312,2025-12-28 00:00:00,2026-01-05 20:33:19,8,SColchester,Landing strip  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/321995.jpg https://streetcomplete.app/p/321996.jpg,2,0,SColchester,Added
5109212,Bolivia,-14.8367263,-64.9074231,2025-12-29 00:00:00,2026-01-05 14:29:59,7,SColchester,Pichi de boli  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/322019.jpg,2,0,SColchester,Added
5110168,Bolivia,-17.1911381,-64.6720307,2025-12-29 00:00:00,2025-12-30 01:56:26,0,Unknown,Quiero jugar a un número,2,0,5m4u9,"lo siento, pero información privada no va en este mapa, use este > https://umap.openstreetmap.fr"
5110454,Bolivia,-11.5063000,-68.4736800,2025-12-29 00:00:00,2025-12-30 01:56:20,0,Unknown,vista hermosa,2,0,5m4u9,ya en el mapa
5110169,Bolivia,-17.1911381,-64.6720307,2025-12-29 00:00:00,2025-12-30 01:56:12,0,Unknown,Quiero buscar un número,2,0,5m4u9,"lo siento, pero información privada no va en este mapa, use este > https://umap.openstreetmap.fr"
5018593,Bolivia,-17.7316368,-63.5542977,2025-10-22 00:00:00,2025-12-29 09:07:49,0,edwinn3600,CITRICO HIERBA 2025  via StreetComplete 61.3  Attached photo(s): https://streetcomplete.app/p/312095.jpg https://streetcomplete.app/p/312096.jpg https://streetcomplete.app/p/312097.jpg,2,0,Lumikeiju,Closing - all three links are 404s
4985956,Bolivia,-16.4934156,-68.1450066,2025-09-30 00:00:00,2025-12-28 15:23:22,0,rodolfovargas,Centro comercial  via StreetComplete 61.3  Attached photo(s): https://streetcomplete.app/p/308073.jpg,2,0,rodolfovargas,
4295814,Bolivia,-19.5451800,-68.4144500,2024-06-17 00:00:00,2025-12-27 05:55:24,0,Unknown,LAQUECA,2,0,JJIglesias,"Alrealy in the map as tag:alt_name, changed to tag:name"
4726640,Bolivia,-19.7176500,-68.1216900,2025-04-25 00:00:00,2025-12-25 22:07:34,0,Unknown,UYUNI K,2,0,JJIglesias,Already in the Map
4251394,Bolivia,-19.7252000,-68.0124000,2024-05-17 00:00:00,2025-12-25 22:03:41,0,Unknown,TOMANCAZA,3,0,JJIglesias,
5065123,Bolivia,-20.2434154,-67.6252443,2025-11-23 00:00:00,2025-12-25 04:25:56,0,cesar tu machete,Pla za 1 de Agosto,2,0,JJIglesias,Added to the Map
5103797,Bolivia,-17.7252876,-63.1556861,2025-12-24 00:00:00,2025-12-24 15:38:27,0,Kreator74,'Vidrios y Blindex Theesha' POI name: Vidrios y Blindex Theesha POI types: office-company OSM data version: 2025-10-20T12:41:17Z  #mapsme,4,1,pitscheplatsch,"This note has the identical location and text  as note https://osm.org/note/5103795  Therefore, it will be closed.  #DuplicateNote"
5103799,Bolivia,-17.7252876,-63.1556861,2025-12-24 00:00:00,2025-12-24 14:52:45,0,Kreator74,POI name: Vidrios y Blindex Theesha POI types: office-company OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,Kreator74,
5103795,Bolivia,-17.7252876,-63.1556861,2025-12-24 00:00:00,2025-12-24 14:51:08,0,Kreator74,'Vidrios y Blindex Theesha' POI name: Vidrios y Blindex Theesha POI types: office-company OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,Kreator74,
5103816,Bolivia,-17.7253289,-63.1557441,2025-12-24 00:00:00,2025-12-24 14:50:58,0,Kreator74,vidrios y blindex,4,1,Kreator74,
5101505,Bolivia,-16.7383856,-67.9369469,2025-12-22 00:00:00,2025-12-23 12:31:56,0,rodolfovargas,Puente Huanuni  via StreetComplete 62.1,2,0,rodolfovargas,
5101528,Bolivia,-11.2542470,-68.7643420,2025-12-22 00:00:00,2025-12-22 17:44:18,0,Unknown,colorado,2,0,5m4u9,ya en el mapa
5101526,Bolivia,-11.2403830,-68.6617100,2025-12-22 00:00:00,2025-12-22 17:44:12,0,Unknown,buena vista,2,0,5m4u9,ya en el mapa
5101507,Bolivia,-16.8162810,-67.5688353,2025-12-22 00:00:00,2025-12-22 16:33:42,0,rodolfovargas,Baños  via StreetComplete 62.1,2,0,rodolfovargas,
4903315,Bolivia,-16.4706167,-68.2172870,2025-08-10 00:00:00,2025-12-20 15:58:35,0,Unknown,RIO SEQUE,4,1,JJIglesias,Added as alt_name
4036205,Bolivia,-16.2317545,-60.9689981,2023-12-21 00:00:00,2025-12-20 15:51:28,0,Unknown,Iglesia,2,0,Elmerx78,
4312758,Bolivia,-16.1328160,-62.0273546,2024-06-29 00:00:00,2025-12-20 15:51:02,0,DerEffendi,"'Baño público, con ducha ' OSM snapshot date: 2024-05-28T17:19:44Z POI has no name POI types: amenity-toilets  #organicmaps ios",2,0,Elmerx78,
4934435,Bolivia,-15.9091531,-62.3238838,2025-08-28 00:00:00,2025-12-20 15:50:26,0,HumbertoBolivia,Comunidad La Conquista o Río Blanco,2,0,Elmerx78,
