note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5124640,Bosna i Hercegovina / Босна и Херцеговина,44.2971000,17.6499000,2026-01-10 00:00:00,2026-01-18 14:34:53,8,Unknown,1,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
3520437,Bosna i Hercegovina / Босна и Херцеговина,43.1129711,17.7007395,2023-01-16 00:00:00,2026-01-17 11:05:59,1097,Unknown,"Telemach, tocna lokacija",2,0,Unknown,
3762904,Bosna i Hercegovina / Босна и Херцеговина,43.1095582,17.7045321,2023-07-03 00:00:00,2026-01-17 11:05:49,929,Maezp,Služba za zapošljavanje HNŽ/K,2,0,Unknown,
3762900,Bosna i Hercegovina / Босна и Херцеговина,43.1091019,17.7047709,2023-07-03 00:00:00,2026-01-17 11:05:44,929,Maezp,BK Kralj Tomislav,2,0,Unknown,
3520431,Bosna i Hercegovina / Босна и Херцеговина,43.1101554,17.7025580,2023-01-16 00:00:00,2026-01-17 11:05:29,1097,Unknown,"Misir, www.misir.ba",2,0,Unknown,
3762908,Bosna i Hercegovina / Босна и Херцеговина,43.1093878,17.6991811,2023-07-03 00:00:00,2026-01-17 11:04:37,929,Maezp,Elektro MILAS,2,0,Unknown,
3544551,Bosna i Hercegovina / Босна и Херцеговина,43.0940263,17.6952254,2023-02-04 00:00:00,2026-01-17 11:03:53,1078,torcidero,Unable to answer 'What barriers are used at this railway crossing?' for https://osm.org/node/1914178046 via StreetComplete 50.2:  Ovdje nema prijelaza preko željezničke pruge,4,1,Unknown,Željeznička pruga je barijera i ne može se prijeći automobilom preko pruge.
3325434,Bosna i Hercegovina / Босна и Херцеговина,43.0510503,17.6724422,2022-08-22 00:00:00,2026-01-17 11:02:27,1244,filePeter,Gazprom not Oktan,2,0,Unknown,
1383682,Bosna i Hercegovina / Босна и Херцеговина,44.6949644,18.6796904,2018-05-05 00:00:00,2026-01-12 20:51:40,2809,S@nel,'Kod bunarića' POI has no name POI types: amenity-bench OSM data version: 2018-03-16T17:06:02Z  #mapsme,2,0,Unknown,
1490365,Bosna i Hercegovina / Босна и Херцеговина,44.3835776,19.1032210,2018-08-15 00:00:00,2026-01-06 06:56:07,2701,Unknown,Republička uprava za geodetske i imovinsko-pravne poslove Banja Luka Područna jedinica Zvornik,2,0,Lončić,
3300087,Bosna i Hercegovina / Босна и Херцеговина,44.3872800,19.1042000,2022-08-05 00:00:00,2026-01-06 06:50:13,1250,Unknown,BINGO Zvornik,2,0,Lončić,"Nije na lokaciji koju si označio, uglavnom bilješka riješena"
5103030,Bosna i Hercegovina / Босна и Херцеговина,44.3908140,19.1043370,2025-12-23 00:00:00,2026-01-06 06:44:07,14,Unknown,"It is called Begsuja, not Besguja",2,0,Lončić,
4298761,Bosna i Hercegovina / Босна и Херцеговина,43.8586294,18.4299302,2024-06-19 00:00:00,2026-01-06 06:31:07,566,Unknown,'UR Pizzeria Palma' best pizza in the town. Even better than the famous pizza by 'Mahir' and the prices are decent! Simply must visit and try their pizza. PS you can enjoy spirits (rakija) in it as well.,2,0,Lončić,
4652716,Bosna i Hercegovina / Босна и Херцеговина,43.3324156,17.8157621,2025-03-05 00:00:00,2026-01-04 07:37:43,305,Mapeador047,"'It's duplicated' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-02-13T05:46:10Z POI has no name POI types: tourism-hostel  #organicmaps android",2,0,Lončić,
620352,Bosna i Hercegovina / Босна и Херцеговина,44.7851552,17.1721244,2016-07-08 00:00:00,2026-01-04 00:43:09,0,Unknown,Hostel / Rooms 'PRAG' Banja Luka,2,0,nev123,
913705,Bosna i Hercegovina / Босна и Херцеговина,44.9759437,16.7069074,2017-03-04 00:00:00,2026-01-03 22:01:26,0,Kabo The Douchebag,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'does not exist anymore' (OSM data version: 2017-02-15T16:20:03Z) #mapsme",2,0,nev123,
448962,Bosna i Hercegovina / Босна и Херцеговина,44.9824673,16.7098618,2015-10-10 00:00:00,2026-01-03 21:57:01,0,Unknown,robotana,2,0,nev123,
3706896,Bosna i Hercegovina / Босна и Херцеговина,44.2096726,17.7119511,2023-05-26 00:00:00,2026-01-01 06:53:24,0,Unknown,Caffe Bijeli Golub,2,0,Lončić,
