note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4011781,Australia (EEZ),-17.9945909,115.0150967,2023-12-02 00:00:00,2023-12-03 04:57:25,0,Unknown,Sleepy but not sleepy 😴 💍,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4011779,Australia (EEZ),-17.9933052,115.0150108,2023-12-02 00:00:00,2023-12-03 04:57:18,0,Unknown,lol 👌🏾,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
4012174,Australia (EEZ),-17.9941496,115.0160596,2023-12-02 00:00:00,2023-12-02 12:01:51,0,Unknown,Melissa Watson ❤️,2,0,pitfire,
3669933,Australia (EEZ),-32.9287200,130.6600100,2023-05-01 00:00:00,2023-05-21 07:00:00,0,Unknown,Dylan24hewitt https://www.openstreetmap.org/relation/9425816#map=8/-33.062/130.946,2,0,TheSwavu,
1845279,Australia (EEZ),-23.6031607,153.5907555,2019-07-15 00:00:00,2022-02-25 09:44:28,0,JumpOnonline,"JumpOn.online  Suite 9, 23 Main Street Varsity Lakes, Queensland, 4227 1800 586 766 https://jumpon.online/home   JumpOn offers to compare accommodation based on the consumer’s Preferences and Requirements, therefore opening a new choice of destinations and properties to ensure the perfect holiday.",2,0,TheSwavu,In the middle of the Coral Sea. Sure.
2014613,Australia (EEZ),-15.8671000,148.8774000,2019-12-02 00:00:00,2022-02-25 09:41:38,0,Unknown,Большой Барьерный риф,2,0,TheSwavu,Already mapped.
3063184,Australia (EEZ),-38.5397888,152.7496925,2022-02-24 00:00:00,2022-02-24 01:50:06,0,TheSwavu,Just a note. Please delete,3,0,TheSwavu,
1836787,Australia (EEZ),-13.9393258,123.2987210,2019-07-07 00:00:00,2022-02-22 00:01:50,0,Jussywussy,Ichthys explorer,2,0,TheSwavu,Nothing here
19332,Australia (EEZ),-13.3094485,144.3603516,2013-07-30 00:00:00,2022-01-26 02:57:11,0,Unknown,"How could the Great Barrier Reef be represented in OSM?  The GBR is protected by the Great Barrier Reef Marine Park, and also as a  World Heritage Site. I haven't found these in OSM data.  There is a map with coordinates for the Park and the WHS area: http://www.gbrmpa.gov.au/__data/assets/pdf_file/0020/4457/GBR-general-reference-A3-March-2012.PDF  I found a way and a relation, both to the east of the protected reef area: http://www.openstreetmap.org/browse/way/162217874 http://www.openstreetmap.org/browse/relation/968374 The way is tagged with natural=reef, the relation is a multipolygon with some boundary=maritime tags on its members.  Could we create a new area with the data from the government map?",3,0,Fizzie-DWG,GBR now exists as Relation. https://www.openstreetmap.org/relation/10156269
2679064,Australia (EEZ),-32.0005063,129.9998474,2021-05-21 00:00:00,2021-05-21 18:30:05,0,Unknown,Australia,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
2021934,Australia (EEZ),-12.9999961,107.0150479,2019-12-10 00:00:00,2019-12-12 11:31:20,0,Garcia0317,Lol,2,0,pitscheplatsch,This note does not contain a useful information for OpenStreetMap.
1104564,Australia (EEZ),-27.3424945,157.7003288,2017-08-15 00:00:00,2017-08-22 20:46:00,0,Comfort Dental Centre Buderim,"Comfort Dental Centre Buderim Address: T204B, 32 Wises Road, Buderim, QLD 4556 Phone: (07) 5370 8865  Email: admin@comfortdentalcentrebuderim.com.au Website: https://comfortdentalcentrebuderim.com.au/",2,0,py_berrard,
1019413,Australia (EEZ),-19.9999895,155.0000066,2017-06-05 00:00:00,2017-06-06 15:59:19,0,Олег Лямин,'Правильное название на русском языке звучит как 'Коралловое море'' POI name: Coral Sea POI types: place-sea OSM data version: 2017-05-11T13:22:09Z  #mapsme,2,0,mavl,http://www.openstreetmap.org/changeset/49309749
913722,Australia (EEZ),-34.1677127,134.3990135,2017-03-04 00:00:00,2017-05-24 06:28:57,0,Yvonne Garcia,This is JOMAMA  a diabla that does the math..south central L.A .a city with so many credentials ...searching for a place were the son shines and no rainy days.a shady lady who loves being in the son.,2,0,CloCkWeRX,
797439,Australia (EEZ),-38.3385730,138.1347440,2016-11-27 00:00:00,2016-11-28 11:23:41,0,Unknown,Blocked street:  This error is submitted from Navmii GPS.,2,0,py_berrard,wrong location
162513,Australia (EEZ),-15.9457445,116.9582443,2014-05-05 00:00:00,2014-05-05 18:57:38,0,Unknown,baby,2,0,ToeBee,back ribs?
