note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3885787,Guernsey,49.4566227,-2.5822380,2023-09-12 00:00:00,2025-12-16 17:25:43,0,Yan Bakhmat,'Гернсі - назва українською.' OSM snapshot date: 2023-08-14T02:00:17Z POI name: Guernsey POI types: place-country  #organicmaps ios,2,0,Yan Bakhmat,
4923613,Guernsey,49.4705746,-2.4414197,2025-08-22 00:00:00,2025-12-01 14:11:51,0,Sam_Hobbs,View Point  via StreetComplete 61.2  Attached photo(s): https://streetcomplete.app/p/300049.jpg,2,0,K12230LF,Mapped 9 years ago
4995329,Guernsey,49.4539803,-2.5300825,2025-10-07 00:00:00,2025-11-07 13:11:49,0,Ghyohm,bonjour Un shipchandler est un genre de magasin de bricolage spécialisé pour les bateaux ; très fréquents autour des ports   #organicmaps android,2,0,Kurosawa06,Ajouté par vous-même.
4761383,Guernsey,49.4567999,-2.4604547,2025-05-16 00:00:00,2025-08-11 13:17:42,0,Unknown,Petite Fauconniere,2,0,Fabe56,Added with https://www.openstreetmap.org/changeset/170293393
3763317,Guernsey,49.4779471,-2.4487281,2023-07-03 00:00:00,2025-08-11 13:07:45,0,Matyjace,"Forwarding anonymous report from #Mapy.cz user, please verify: 'public toilette'",2,0,Fabe56,Added with https://www.openstreetmap.org/changeset/170292931 Thanks
4714635,Guernsey,49.4570928,-2.5354211,2025-04-17 00:00:00,2025-04-17 20:52:25,0,HonkRD,'moved to Market Street' OSM snapshot date: 2025-02-27T10:33:49Z POI name: Guernsey Tourist Information POI types: building internet_access-wlan tourism-information-office  #organicmaps android,2,0,kmpoppe,"Already moved with https://www.openstreetmap.org/changeset/164667461 on April 7th. Your Organicmaps Snapshot Date is from mid-february, please let the app search for new map data :)"
4714636,Guernsey,49.4570928,-2.5354211,2025-04-17 00:00:00,2025-04-17 20:52:21,0,HonkRD,"'49°27′15.92″N, 02°32′14.59″W' OSM snapshot date: 2025-02-27T10:33:49Z POI name: Guernsey Tourist Information POI types: building internet_access-wlan tourism-information-office  #organicmaps android",2,0,kmpoppe,"Already moved with https://www.openstreetmap.org/changeset/164667461 on April 7th. Your Organicmaps Snapshot Date is from mid-february, please let the app search for new map data :)"
3885791,Guernsey,49.7170062,-2.1969011,2023-09-12 00:00:00,2025-02-25 14:57:10,0,Yan Bakhmat,'Олдерні - назва українською.' OSM snapshot date: 2023-08-14T02:00:17Z POI name: Alderney POI types: place-state  #organicmaps ios,2,0,Paul Berry,Resolved on changeset #162936070.
3999598,Guernsey,49.5804211,-2.4848467,2023-11-23 00:00:00,2025-02-25 14:52:57,0,osmuser63783,What is this node (https://www.openstreetmap.org/node/1607605918) doing here in the middle of nowhere? Can it be merged with the relation that has the place=island tag? https://www.openstreetmap.org/relation/3064410,2,0,Paul Berry,Resolved on changeset #147076710.
364300,Guernsey,49.4550980,-2.5366938,2015-05-15 00:00:00,2024-12-07 19:11:31,0,Unknown,La Maison de Champagne,7,1,Britzz,i do decide now to close this note without any change in OSM
1372461,Guernsey,49.4572721,-2.5303075,2018-04-25 00:00:00,2024-06-01 06:23:56,0,Sam Jayne,name  St Peter Port Harbour   description  'I have a job at St Peter Port harbour - unloading ships”   Note:  St Peter Port and its harbour and town is the jewel of the Channel Islands.   https://goo.gl/maps/rrW3cSpX2mo   A community project by www.submarine.gg.  Please contact nemo@submarine.gg with feedback.  Official Guernsey Tourism Website: www.visitguernsey.com,5,1,AreJayEm,on the map
4124824,Guernsey,49.4549009,-2.5360689,2024-02-23 00:00:00,2024-02-23 11:46:50,0,Piccalillidesigns,This is your start point,3,1,Piccalillidesigns,
4097742,Guernsey,49.6685000,-2.1648000,2024-02-03 00:00:00,2024-02-03 03:53:27,0,Gkjhgcfgh,South Korea,2,0,GeorgeKaplan,
3347326,Guernsey,49.4566809,-2.6579900,2022-09-05 00:00:00,2024-01-05 17:11:21,0,moanos,Information board Category biology  via StreetComplete 45.1  Attached photo(s): https://westnordost.de/p/111460.jpg,2,0,mcliquid,Fixed
3679057,Guernsey,49.4254923,-2.5729291,2023-05-07 00:00:00,2024-01-05 16:55:52,0,FreekBomhof,"Path blocked: it is no longer possible to go N here from the cliff path, the path is blocked by a huge pile of earth when you arrive at the meadow",2,0,mcliquid,Fixed
3348105,Guernsey,49.4246468,-2.5678742,2022-09-06 00:00:00,2024-01-05 16:54:52,0,moanos,Bench with backrest  via StreetComplete 45.1,2,0,mcliquid,Fixed
3348164,Guernsey,49.4235148,-2.5644867,2022-09-06 00:00:00,2024-01-05 16:54:41,0,moanos,Bench with backrest  via StreetComplete 45.1,2,0,mcliquid,Fixed
3348171,Guernsey,49.4216193,-2.5644586,2022-09-06 00:00:00,2024-01-05 16:54:31,0,moanos,Bench with backrest  via StreetComplete 45.1,2,0,mcliquid,Fixed
3348172,Guernsey,49.4211492,-2.5648150,2022-09-06 00:00:00,2024-01-05 16:54:25,0,moanos,Bench with backrest  via StreetComplete 45.1,2,0,mcliquid,Fixed
3348173,Guernsey,49.4210098,-2.5647760,2022-09-06 00:00:00,2024-01-05 16:54:19,0,moanos,Bench with backrest  via StreetComplete 45.1,2,0,mcliquid,Fixed
3348175,Guernsey,49.4202090,-2.5643363,2022-09-06 00:00:00,2024-01-05 16:54:07,0,moanos,Bench with backrest  via StreetComplete 45.1,2,0,mcliquid,Fixed
3902801,Guernsey,49.4631338,-2.5640058,2023-09-22 00:00:00,2023-09-22 15:17:07,0,absinthologue,chemin piéton,2,0,absinthologue,ok added
1713257,Guernsey,49.4414800,-2.6300100,2019-03-17 00:00:00,2023-08-17 01:17:56,0,Unknown,"The service:vehicle prefix is not an officially documented format (undiscussed, and it adds no information). Please check whether this format makes sense in you eyes an act accordingly : https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar#Example Background info : https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar#Tags_used_in_combination",2,0,CurlingMan13,"Based on the wiki page for this specific tag, it is widely used and has been documented thoroughly.  This note is outdated and obsolete.  https://wiki.openstreetmap.org/wiki/Key:service:vehicle:*"
3794872,Guernsey,49.4557200,-2.5369600,2023-07-23 00:00:00,2023-07-23 15:15:38,0,BlencathraJim,The Pickled Pig is in the Duke of Normandie Hotel,3,1,BlencathraJim,
1372444,Guernsey,49.4601382,-2.4635930,2018-04-25 00:00:00,2023-06-22 12:11:33,0,Sam Jayne,name  Manor House and Farm   description  House of Amelia Maugery. Location of the first meeting of the Guernsey Literary Potato Peel Society.  A community project by www.submarine.gg.  Please contact nemo@submarine.gg with feedback.  Official Guernsey Tourism Website: www.visitguernsey.com,5,1,ventibard,"Just a little anecdote about the house, and some ad about visiting the island :3"
3687244,Guernsey,49.4466026,-2.5310612,2023-05-13 00:00:00,2023-05-19 19:57:21,0,Andy Allan,"I believe this aquarium is permanently closed, but I haven't verified that on the ground.",2,0,Andy Allan,"It's permanently closed, I went and checked."
2673473,Guernsey,49.4383274,-2.5560647,2021-05-18 00:00:00,2023-03-27 20:12:34,0,CjMalone,#SurveyMe  Is there a Lloyds bank here?,5,1,CjMalone,
1427952,Guernsey,49.4556541,-2.5371644,2018-06-16 00:00:00,2023-03-19 22:08:55,0,Unknown,Hotel: Duke of Normandie Restaurant: The Pickled Pig,3,0,CjMalone,
3527151,Guernsey,49.4534468,-2.5380725,2023-01-21 00:00:00,2023-01-27 22:58:30,0,Stevegsy,Is Now China China (Town),6,1,Stevegsy,
