note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5130906,Venezuela,10.2342303,-63.4966142,2026-01-15 00:00:00,2026-01-16 17:37:12,1,zephirote,Finca Neblina Azul,2,0,zephirote,
5129119,Venezuela,10.5101810,-66.8664129,2026-01-14 00:00:00,2026-01-14 14:21:45,0,Unknown,Residencias Atalaya,4,1,Unknown,ubicación errada
5066030,Venezuela,10.5058499,-66.9147420,2025-11-24 00:00:00,2026-01-06 22:36:09,43,Pharmacyonline10,Best cheap pharmacy online Visit the site - https://5pharm.com/?aff=1100,2,0,GPMapper,
5118781,Venezuela,10.5079630,-66.9195160,2026-01-05 00:00:00,2026-01-06 18:01:07,1,Unknown,maduro sleep,2,0,NeisReview,The content of this note is #nonsense.
5108709,Venezuela,10.5199389,-66.8256998,2025-12-28 00:00:00,2026-01-01 08:06:08,0,flapnuta,poste indicador   #CoMaps android 2025.12.19-11-Google,2,0,map per,"Obrigado, adicionei"
5108711,Venezuela,10.5383154,-66.8395300,2025-12-28 00:00:00,2026-01-01 08:05:25,0,flapnuta,poste indicador   #CoMaps android 2025.12.19-11-Google,2,0,map per,"Obrigado, adicionei"
5101392,Venezuela,10.4384966,-66.8589767,2025-12-22 00:00:00,2025-12-23 17:30:37,0,flapnuta,'Sub estación La Esmeralda' OSM snapshot date: 2025-12-09T01:54:54Z POI name: Subestación La Tahona POI types: power-substation  #CoMaps android 2025.12.19-11-Google,2,0,map per,"Obrigado, alterei o nome"
3038936,Venezuela,11.6640875,-70.1846531,2022-02-05 00:00:00,2025-12-18 16:26:20,0,Unknown,Comunidad Cardón. Punto Fijo                  Venezuela,5,1,jeagtesa,
5093103,Venezuela,10.1437816,-67.5463947,2025-12-15 00:00:00,2025-12-15 23:01:15,0,Enbasurados,Area 10 ha,3,1,Enbasurados,
5082809,Venezuela,10.2134652,-67.9597226,2025-12-07 00:00:00,2025-12-07 19:15:08,0,MiguelTime,aqui hay calle cerrada,3,1,MiguelTime,
5079243,Venezuela,8.5702650,-71.6217470,2025-12-04 00:00:00,2025-12-05 00:30:29,0,Unknown,Cerro La Coromoto  ERB.El Vigía,4,1,Eduar Quintana,
5061747,Venezuela,10.5039787,-66.9141036,2025-11-21 00:00:00,2025-11-21 02:54:07,0,Martin H Gonzalez,Edificio Santana,3,1,Martin H Gonzalez,
2851622,Venezuela,4.8121913,-61.6087210,2021-09-14 00:00:00,2025-11-14 13:22:29,0,pantufla,Revisar donde termina y empieza el nombre de cada río,4,1,pantufla,"Hola Wilmer, qué bueno que estés de vuelta. También tenía yo tiempo ausente.  Cuando cierres una nota porfa indica cuál es la resolución. Nota obsoleta o se corrige, o lo que sea, ayuda a entender."
3563391,Venezuela,10.2836638,-68.0036737,2023-02-17 00:00:00,2025-11-07 17:57:48,0,pantufla,Qué pasa aquí que no conectan estas vías?,3,1,gcsamuel,
5039358,Venezuela,10.3402100,-67.0506890,2025-11-05 00:00:00,2025-11-05 13:24:03,0,Pomanegx,Residencias Lagunetica,3,1,Pomanegx,
5038355,Venezuela,10.4961038,-67.0938063,2025-11-04 00:00:00,2025-11-04 19:30:26,0,Rgarciagallo,La Niebla,2,0,Rgarciagallo,
2172433,Venezuela,6.8078624,-62.8397863,2020-04-26 00:00:00,2025-11-02 14:47:02,0,pantufla,Falta agregar este poblado al mapa,2,0,Wilmer Osario,
2062164,Venezuela,5.0155185,-61.1612912,2020-01-19 00:00:00,2025-11-02 14:45:17,0,pantufla,Revisar si es una pista de aterrizaje y añadir,2,0,Wilmer Osario,
2996274,Venezuela,5.0964844,-60.8618722,2022-01-04 00:00:00,2025-11-02 14:45:12,0,pantufla,revisar etiquetas por tipo de vía si es para vehículos o no,3,1,Wilmer Osario,
2839038,Venezuela,4.7648295,-61.1013951,2021-09-06 00:00:00,2025-11-02 14:44:59,0,pantufla,Revisar en físico qué tipo de cruce es,2,0,Wilmer Osario,
2973620,Venezuela,4.7002297,-61.1634331,2021-12-17 00:00:00,2025-11-02 14:44:50,0,pantufla,agregar viviendas,3,1,Wilmer Osario,
2574755,Venezuela,4.6372715,-62.2578993,2021-03-11 00:00:00,2025-11-02 14:44:45,0,pantufla,Problema discrepancia nombre de río,2,0,Wilmer Osario,
1972819,Venezuela,5.2739350,-61.3135386,2019-10-24 00:00:00,2025-11-02 14:44:35,0,pantufla,Cómo se llama esta aldea?,2,0,Wilmer Osario,
5030325,Venezuela,7.9258374,-71.7355379,2025-10-30 00:00:00,2025-10-30 18:21:28,0,Olgalazaro,Est. C,3,1,Olgalazaro,
3589852,Venezuela,11.1695237,-63.8879067,2023-03-08 00:00:00,2025-10-30 17:57:00,0,pantufla,Alguien en el lugar puede ver si esta es Playa Care-Care?,2,0,ManuelMelendez,Si es playa Care-care
3548954,Venezuela,8.5294759,-71.0523144,2023-02-07 00:00:00,2025-09-24 05:47:42,0,pantufla,Borrar pista si no responde,7,1,flapnuta,Se procesa elemento como en desuso: https://www.openstreetmap.org/changeset/172374658
