note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5014797,Exclusive Economic Zone of the United States,20.3092009,-151.7724431,2025-10-20 00:00:00,2025-10-20 17:44:37,0,Unknown,Salam,3,0,pitscheplatsch,
4841209,Exclusive Economic Zone of the United States,28.1090832,-85.0959778,2025-07-06 00:00:00,2025-07-06 12:48:25,0,Unknown,Gulf of Mexico,3,0,NeisReview,#mapped
4660048,Exclusive Economic Zone of the United States,25.7319470,-91.1122799,2025-03-11 00:00:00,2025-03-11 06:23:22,0,Unknown,Gulf of Mexico,3,0,pitscheplatsch,The element mentioned in this note has already been #mapped.
4624335,Exclusive Economic Zone of the United States,27.1313528,-86.7799759,2025-02-12 00:00:00,2025-02-12 17:41:27,0,Unknown,Golf of Freedom,3,0,pitscheplatsch,https://community.openstreetmap.org/t/gulf-of-america-gulf-of-mexico/
4622233,Exclusive Economic Zone of the United States,26.4786594,-91.4114428,2025-02-10 00:00:00,2025-02-10 23:20:42,0,Hairy,"Remember folks, this is the Gulf Of Mexico, and not the Gulf of America.",2,0,Hairy,
4172942,Exclusive Economic Zone of the United States,27.9923717,-83.1258761,2024-03-29 00:00:00,2024-03-29 15:27:42,0,pajl,Node 11034510205 is a bakery. Not clear how it can be in the middle of the Gulf. It would appear the coordinates are incorrect.,2,0,gpserror,"I just gone and deleted it, looks very wrong and contains no information whatsoever."
1690412,Exclusive Economic Zone of the United States,28.0013737,-87.7134705,2019-02-23 00:00:00,2024-01-24 23:44:02,0,Unknown,I need it to show kentucky,3,0,dannmer,
2880421,Exclusive Economic Zone of the United States,31.8815833,-78.3032942,2021-10-04 00:00:00,2023-12-30 05:42:13,0,Unknown,Missing street,4,1,LatinoAmericano,
3788596,Exclusive Economic Zone of the United States,16.4397000,-169.8644000,2023-07-19 00:00:00,2023-10-14 13:09:26,0,William O'Brien IV,UPGRADE COMPLETE,2,0,confusedbuffalo,Upgrade of what? Nothing visible here
3787415,Exclusive Economic Zone of the United States,28.2096571,-94.8019381,2023-07-18 00:00:00,2023-07-18 23:20:34,0,Unknown,guu,2,0,gpserror,
3437697,Exclusive Economic Zone of the United States,40.3820552,-73.7097645,2022-11-11 00:00:00,2022-11-11 16:35:47,0,Unknown,ZreknarF,2,0,CurlingMan13,
3437699,Exclusive Economic Zone of the United States,40.3820225,-73.7098610,2022-11-11 00:00:00,2022-11-11 16:35:40,0,Unknown,cant stop us all,2,0,CurlingMan13,'Us all'?  You mean just you?  I remember when I turned 12.  Lol
