note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4877064,British Virgin Islands,18.4477947,-64.4358141,2025-07-26 00:00:00,2025-07-29 09:47:14,0,BPM805,"'this is now Chef Mimi Restaurant' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-07-08T15:45:36Z POI name: Iglesia de Dios de la Profecía POI types: building amenity-place_of_worship-christian  #organicmaps ios",2,0,cuzi,"I have removed the church, thanks."
599295,British Virgin Islands,18.4535015,-64.4305524,2016-06-19 00:00:00,2025-06-09 23:26:58,0,Mateusz Konieczny,"http://www.openstreetmap.org/way/398054759  Is it a demolished building or not? If demolished it should be almost certainly deleted from OSM, if not demolished then why it is tagged as demolished=yes?  query detecting similar problems: http://overpass-turbo.eu/s/gM0",2,0,dannmer,updated
702880,British Virgin Islands,18.4319805,-64.6115398,2016-09-06 00:00:00,2023-07-02 21:42:18,0,Unknown,GSL Law & Consulting (BVI) Ltd,2,0,ipoolio,
431347,British Virgin Islands,18.4220868,-64.6126556,2015-09-08 00:00:00,2023-07-02 21:42:09,0,Unknown,Cruise Ship Dock,2,0,ipoolio,
2516224,British Virgin Islands,18.4290084,-64.6109015,2021-01-28 00:00:00,2023-07-02 21:41:58,0,Unknown,"onosm.org submitted note from a business: name: Poolworks phone: 2844940989 website: http://poolworksinternational.com twitter:  facebook:  email: info@poolworksinternational.com hours: Monday - Friday 08:30AM - 04:30PM category: Contractors, Pool Cleaners, Swimming Pools address: Road Town",2,0,ipoolio,
2516147,British Virgin Islands,18.4290491,-64.6109605,2021-01-28 00:00:00,2023-07-02 21:41:47,0,Unknown,"onosm.org submitted note from a business: name: Poolworks International phone: 2844940989 website: poolworksinternational.com twitter:  facebook:  email:  hours: 08:30-4:30 category: Contractors, Diagnostic Services, Swimming Pools address: British Virgin Islands",2,0,ipoolio,
1373889,British Virgin Islands,18.4386000,-64.6292000,2018-04-26 00:00:00,2023-01-13 14:22:17,0,John Everitt,Hotel California,8,1,user_17724595,
1373890,British Virgin Islands,18.4360000,-64.6589000,2018-04-26 00:00:00,2023-01-12 01:28:02,0,John Everitt,Casablanca Villa,4,1,Gloriayo,
2543827,British Virgin Islands,18.4436849,-64.4377751,2021-02-18 00:00:00,2021-02-18 17:39:47,0,Make It Lit,"Make It Lit, Party Equipment Rental and Supplies",2,0,Make It Lit,
2459243,British Virgin Islands,18.4279982,-64.6131706,2020-12-11 00:00:00,2020-12-11 15:30:11,0,BroadswordPR,Hirst Marine,2,0,BroadswordPR,
2295784,British Virgin Islands,18.3531708,-64.5144531,2020-08-06 00:00:00,2020-08-06 04:59:39,0,Unknown,My location is the Commonwealth of Dominica or Dominica,2,0,kartonage,Please don't use OpenStreetMap notes as personal bookmarks or provide more descriptive feedback. Notes are publicly visible and meant for improvements and error corrections. Thanks.
593331,British Virgin Islands,18.4535015,-64.4305524,2016-06-13 00:00:00,2018-06-02 23:03:58,0,Mateusz Konieczny,"http://www.openstreetmap.org/way/398054759  Is it a demolished building or not? If demolished it should be almost certainly deleted from OSM, if not demolished then why it is tagged as demolished=yes?  query detecting similar problems: http://overpass-turbo.eu/s/gM0",2,0,30303020,Duplicate.
888180,British Virgin Islands,18.4230691,-64.6188462,2017-02-10 00:00:00,2018-04-26 14:33:07,0,Unknown,Cruise Pier,4,1,John Everitt,Wrong location
1130204,British Virgin Islands,18.4406524,-64.5563936,2017-09-07 00:00:00,2017-09-27 21:56:57,0,Unknown,help!,2,0,freebeer,no useful mapping info
1130200,British Virgin Islands,18.4575400,-64.5609100,2017-09-07 00:00:00,2017-09-27 21:56:40,0,Unknown,WE NEED HELP HERE PLEASE!,2,0,freebeer,no useful mapping info
1130205,British Virgin Islands,18.4367000,-64.5710000,2017-09-07 00:00:00,2017-09-10 19:11:08,0,Unknown,we need help!,2,0,Jonny Baii,
472955,British Virgin Islands,18.3985946,-64.6331370,2015-11-23 00:00:00,2016-01-03 11:04:19,0,Unknown,fghjfghj,4,0,mavl,Заметка не содержит полезных сведений. Закрыта без внесения изменений в данные OpenStreetMap.      The note not contains a useful information. The note was closed without the changing OpenStreetMap data.
