note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5238244,Argentina,-41.1350203,-71.3073488,2026-04-06 00:00:00,2026-04-23 22:56:04,17,franco_pi,Unable to answer 'What type of shop is this?' – Gráfica Lauría (Shop (Unspecified Type)) – https://osm.org/way/827180319 via StreetComplete 63.0:  Ahora es un Grimoldi (un local de ropa).  Attached photo(s): https://streetcomplete.app/p/336747.jpg,2,0,Unknown,Clothing shop
5256132,Argentina,-33.0059119,-68.6528389,2026-04-18 00:00:00,2026-04-23 19:51:25,5,Diegoaberracion,Minimarket El Vikingo  via StreetComplete 63.0,2,0,Diego Krein,Gracias por colaborar con OpenStreetMap. Se Agrega tienda multiservicio/mercado
5256136,Argentina,-33.0059428,-68.6528481,2026-04-18 00:00:00,2026-04-23 19:51:14,5,Diegoaberracion,Minimarket El Vikingo  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/Diegoaberracion/traces/12300258,2,0,Diego Krein,Gracias por colaborar con OpenStreetMap. Se Agrega tienda multiservicio/mercado
5037948,Argentina,-28.0623760,-55.6761790,2025-11-04 00:00:00,2026-04-23 11:39:51,170,Unknown,INICO DE OBRA BASICA RUTA PROVINCIAL N ° 2,2,0,Carlos Brys,Es informacion temporal
5037942,Argentina,-28.0624564,-55.6762004,2025-11-04 00:00:00,2026-04-23 11:38:09,170,Maia Mora,INICIO DE OBRA RUTA N 2,4,1,Carlos Brys,La nota no aporta informacion relevante para mapear
3571748,Argentina,-34.9208564,-57.9442226,2023-02-23 00:00:00,2026-04-23 02:56:47,1155,Semillero LATAM,Unable to answer 'What type of shop is this?' for https://osm.org/node/4577541269 via StreetComplete 51.0:  Negocio inmobiliario,2,0,Nachoverde,es un negocio inmobiliario
4198502,Argentina,-34.9223880,-57.9554710,2024-04-14 00:00:00,2026-04-23 02:55:23,739,TatiPatense,'This café is going to move to another place.' OSM snapshot date: 2024-03-26T20:04:01Z POI name: La catedral POI types: amenity-restaurant  #organicmaps android,4,1,Nachoverde,
4896108,Argentina,-34.9255249,-57.9523605,2025-08-06 00:00:00,2026-04-23 02:55:02,260,Unknown,Vita Concept,2,0,Nachoverde,
3653095,Argentina,-34.9284330,-57.9451668,2023-04-21 00:00:00,2026-04-23 02:53:25,1098,Nachoverde,'esa ciclovia no existe oficialmente' OSM snapshot date: 2023-03-29T15:44:03Z POI has no name POI types: highway-cycleway  #organicmaps,2,0,Nachoverde,
3788418,Argentina,-34.9284330,-57.9451668,2023-07-19 00:00:00,2026-04-23 02:53:21,1009,Nachoverde,"'Esa ciclovia no existe. Existe otra que va desde 12 y 64 hasta 12 y 54' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2023-07-10T17:38:00Z POI has no name POI types: highway-cycleway  #organicmaps",4,1,Nachoverde,
3147383,Argentina,-34.9249045,-57.9415895,2022-04-22 00:00:00,2026-04-23 02:44:53,1462,Unknown,Facultad de bellas artes,2,0,Nachoverde,"si, y tambien de bellas artes"
662175,Argentina,-34.9266592,-57.9396195,2016-08-07 00:00:00,2026-04-23 02:44:11,3546,Nicolas Iannini,Grupo Medico (OSM data version: 2016-07-15T17:38:02Z) #mapsme,7,1,Nachoverde,
3653096,Argentina,-34.9265840,-57.9395292,2023-04-21 00:00:00,2026-04-23 02:43:39,1098,Nachoverde,"'desde aqui y hasta calle 54 existe una ciclovia, por el lado izquierdo de calle 12' OSM snapshot date: 2023-03-29T15:44:03Z POI name: Calle 64 POI types: hwtag-lit psurface-paved_good hwtag-oneway highway-residential  #organicmaps",4,1,Nachoverde,
2520157,Argentina,-34.9248510,-57.9335568,2021-01-31 00:00:00,2026-04-23 02:42:42,1908,Unknown,Punto verde,4,1,Nachoverde,
5260392,Argentina,-31.5051700,-68.5790700,2026-04-21 00:00:00,2026-04-22 11:14:06,1,Unknown,Complejo Las Lajas III,2,0,guillemmal,"Barrio agregado, gracias por el aporte!"
5260401,Argentina,-31.2685210,-61.4324300,2026-04-21 00:00:00,2026-04-21 23:45:52,0,Unknown,"Hola, esta calle o colectora, entre las calles Los Teros y Los Colibríes, se llama 'Los Cardenales' y va de la altura 2300 a 2400",3,0,Unknown,
5259651,Argentina,-31.5651350,-68.5544300,2026-04-21 00:00:00,2026-04-21 23:13:15,0,Unknown,ORIGEN,2,0,Leo1590,
4221201,Argentina,-32.4917237,-69.0288384,2024-04-29 00:00:00,2026-04-21 13:27:27,722,Unknown,"'There is a fence and a sign: private,  no entrance. So you can not walk or drive this path.' OSM snapshot date: 2024-03-26T20:04:01Z POI has no name POI types: highway-path  #organicmaps android",2,0,Unknown,
5258818,Argentina,-28.4372869,-65.7122392,2026-04-20 00:00:00,2026-04-21 02:14:37,1,SPalferro,Unable to answer 'What are the opening hours here?' – Miel y Limon (Pastry Shop) – https://osm.org/node/11810375510 via StreetComplete 63.0:  Ahora es rotisería y sandwicheria 'Losnico',2,0,SPalferro,Resuelto https://www.openstreetmap.org/changeset/181606261
5257531,Argentina,-34.6061587,-58.6840217,2026-04-19 00:00:00,2026-04-19 21:50:26,0,Unknown,Lote antesquina con Chimbora s/Gauchos de Guemes,2,0,mweper,"Hola y gracias por interesarte en contribuir a OSM. Respecto a las notas, a veces se da la confusión de que son para realizar comentarios generales o notas personales, dar información sobre hechos históricos o eventos temporales. En realidad se utilizan para informar de datos públicos erróneos o inexistentes en el mapa.  Véase: https://wiki.osm.org/wiki/ES:Notes -- Si tu consulta es sobre alguna aplicación externa que use OSM, te recomendamos contactar directamente con sus desarrolladores. -- Para crear mapas personalizados, puedes usar la herramienta en línea http://umap.osmfr.org/es/  Y si quieres ponerte en contacto con la comunidad argentina, puedes seguir este enlace https://wiki.osm.org/ES:Wikiproyecto_Argentina#Contacto  Saludos."
5257550,Argentina,-34.6063220,-58.6839561,2026-04-19 00:00:00,2026-04-19 21:49:57,0,Unknown,Antesquina,2,0,mweper,
5257312,Argentina,-26.1674650,-58.1996920,2026-04-19 00:00:00,2026-04-19 19:28:25,0,Unknown,"FORCOPY - Fotocopias, Impresiones, anillados y más",6,1,Unknown,
