note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5093792,Uruguay,-34.9073932,-56.2065080,2025-12-16 00:00:00,2025-12-16 16:17:43,0,Fleurus,enlever les annotations,2,0,Fleurus,
5093069,Uruguay,-34.9017809,-56.1330655,2025-12-15 00:00:00,2025-12-16 07:15:32,0,topodelapradera,"This place does not exist: 'Un edificio está siendo construido en su lugar.' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-23T09:12:00Z POI name: Wimbledon POI types: leisure-sports_centre  #CoMaps android 2025.11.25-4-FDroid",2,0,map per,"Obrigado, removi o centro esportivo e adicionei um canteiro de obras"
2665356,Uruguay,-30.9074857,-55.5326014,2021-05-12 00:00:00,2025-12-11 02:24:07,0,Bruno Turcatti,Esta calle cambia de llamarse Manuel Oribe a Fructuoso Rivera a partir de la rotonda.  via StreetComplete 31.3,4,0,muralito,"La Intendencia de Rivera (gracias por democratizar los datos) disponibilizo varios conjuntos de datos abiertos (https://www.rivera.gub.uy/portal/datos-abiertos/) entre ellos los ejes de calles, y segun esos datos los nombres que corresponden son los que estan actualmente mapeados en OSM. La unica diferencia que le vi es que el tramo que en OSM está como Avenida Libano, sentido hacia el norte, entre Jacinto Vera y Carámbula, se llama en esos según esos datos de la IDR Manuel Oribe. El mismo tramo sentido al sur si se llama Libano tanto segun la IDR como en OSM. Conclusion, cierro la nota como resuelta."
5081663,Uruguay,-34.6152217,-55.0062472,2025-12-07 00:00:00,2025-12-08 00:23:13,0,Buckwheat22,"Al Norte, Mataojo, Maldonado 99970",5,1,muralito,Deja la nota resuelta y se borra sola a los dias...
5074520,Uruguay,-34.7965100,-55.8992500,2025-12-01 00:00:00,2025-12-05 07:36:42,0,Unknown,Girar a la izquierda,2,0,UYMapper,
5079144,Uruguay,-34.8628996,-56.2127137,2025-12-04 00:00:00,2025-12-05 07:34:09,0,PicoVR,'Clinica Capurro' OSM snapshot date: 2025-08-29T18:18:32Z POI has no name POI types: building-address  #organicmaps android 2025.11.26-5-Google,2,0,UYMapper,Ya se agregó el nombre.
5076420,Uruguay,-34.8970976,-56.1564130,2025-12-02 00:00:00,2025-12-05 07:27:27,0,PicoVR,'Libera Tu Bicicleta' OSM snapshot date: 2025-08-29T18:18:32Z POI has no name POI types: amenity-bicycle_repair_station  #organicmaps android 2025.11.26-5-Google,2,0,UYMapper,Se agregó el nombre.
5074172,Uruguay,-34.9060603,-56.1830521,2025-11-30 00:00:00,2025-12-03 01:52:21,0,Unknown,facultad de Ciencias Sociales,2,0,muralito,ya mapeado.
5065551,Uruguay,-34.8686821,-56.2045313,2025-11-24 00:00:00,2025-12-03 01:51:40,0,Denis Antunez,"'Educación Inicial, Primaria y Secundaria' OSM snapshot date: 2025-11-04T05:32:27Z POI name: IDEJO - Instituto de los Jovenes POI types: amenity-school  #CoMaps android 2025.11.19-2-FDroid",6,1,muralito,listo.
5026782,Uruguay,-34.7614290,-56.3972960,2025-10-28 00:00:00,2025-12-01 18:19:13,0,Unknown,Ubicacion 1,2,0,muralito,
3302719,Uruguay,-34.0365000,-56.1851200,2022-08-06 00:00:00,2025-11-29 20:02:59,0,@americaando,Monumento al Ladrillero,2,0,muralito,listo.
3887678,Uruguay,-34.1019584,-56.2279791,2023-09-13 00:00:00,2025-11-29 19:41:38,0,Unknown,Salón Comunal COVIFUM,2,0,muralito,listo
2760699,Uruguay,-34.0967912,-56.2208182,2021-07-19 00:00:00,2025-11-29 19:40:30,0,Agusgonza,falta el portal 874  via StreetComplete 33.1,2,0,muralito,listo
5066834,Uruguay,-34.8686821,-56.2045313,2025-11-24 00:00:00,2025-11-28 21:39:45,0,Denis Antunez,"'Educación Inicial, Primaria y Secundaria' OSM snapshot date: 2025-11-04T05:32:27Z POI name: IDEJO - Instituto de los Jovenes POI types: amenity-school  #CoMaps android 2025.11.19-2-FDroid",2,0,map per,Closing as duplicate of https://www.openstreetmap.org/note/5065551
5066835,Uruguay,-34.8999115,-56.1704307,2025-11-24 00:00:00,2025-11-25 19:23:46,0,Denis Antunez,'Es una tienda de alimentos congelados' OSM snapshot date: 2025-11-04T05:32:27Z POI name: La Casa de los Congelados POI types: shop-convenience  #CoMaps android 2025.11.19-2-FDroid,2,0,muralito,Lo puse como shop=frozen_food
5047141,Uruguay,-34.9062362,-56.1865336,2025-11-10 00:00:00,2025-11-25 19:19:33,0,Unknown,"Please add opening hours: martes a sábados de 12:30 a 17:45 hs. Cierra todos los domingos, lunes y los días 1º de enero, 24 de abril, 1º de mayo, 18 de julio, 25 de agosto y 25 de diciembre.  #OsmAnd",2,0,muralito,Listo.
5044723,Uruguay,-34.9062362,-56.1865336,2025-11-09 00:00:00,2025-11-24 04:24:22,0,Unknown,"Opening hours: Tuesday till saturday from 12:30 to 17:45    Closed on sunday and monday and 1. January, 24. April, 1. May, 18. July, 25. August und 25. December.  #OsmAnd",2,0,UYMapper,Information was added to point.
5046088,Uruguay,-34.8967112,-56.1561656,2025-11-10 00:00:00,2025-11-24 04:20:18,0,Alen pujol,Largada / llegada,2,0,UYMapper,
