note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5129877,Paraguay / Paraguái,-25.3435533,-57.5892887,2026-01-15 00:00:00,2026-01-15 07:33:29,0,Unknown,"Libreria Jiret ya no existe, cerrado definitivamente.",2,0,Unknown,"Libreria Jiret ya no existe, cerrado definitivamente hace años."
4216479,Paraguay / Paraguái,-25.2852600,-57.5184100,2024-04-26 00:00:00,2026-01-15 01:13:16,629,pinduki,ardrhaer,6,1,Unknown,
5123577,Paraguay / Paraguái,-25.3405361,-56.7228357,2026-01-09 00:00:00,2026-01-09 20:31:39,0,Unknown,Favor agregar como nueva cabaña la 'Posada Mbokaja Poty'.,3,1,Unknown,
5116236,Paraguay / Paraguái,-25.4121936,-54.5995180,2026-01-03 00:00:00,2026-01-03 20:56:49,0,akroton-team in dubai,This Pitstop Is In Paraguay,2,0,akroton-team in dubai,
5116237,Paraguay / Paraguái,-25.4161797,-54.5981144,2026-01-03 00:00:00,2026-01-03 20:56:18,0,akroton-team in dubai,I added A Name,2,0,akroton-team in dubai,
4737828,Paraguay / Paraguái,-25.1512782,-54.4806862,2025-05-02 00:00:00,2025-12-13 17:53:39,0,Unknown,terreno de intervencion,2,0,DressyPear4,Sem informação
5075117,Paraguay / Paraguái,-25.2596991,-57.2481537,2025-12-01 00:00:00,2025-12-01 16:57:09,0,LC500,"This place does not exist: 'duplicate entry, real location its ~200m west and properly tagged' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-23T09:12:00Z POI name: Ña Ñeca POI types: amenity-restaurant  #CoMaps android 2025.11.25-4-FDroid",2,0,map per,"Thanks, deleted the duplicate restaurant"
5061662,Paraguay / Paraguái,-27.1759742,-56.2257841,2025-11-20 00:00:00,2025-11-20 23:36:02,0,JT-Elki,"'No ‚peaje‘ here anymore' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-06-08T00:18:23Z POI has no name POI types: barrier-toll_booth  #organicmaps ios 2025.11.11-5-ios",2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5061640  Therefore, it will be closed.  #DuplicateNote"
5042688,Paraguay / Paraguái,-22.6616471,-59.7614890,2025-11-07 00:00:00,2025-11-12 21:06:11,0,LedezmaPy,'BNF ECOP CRUCE DE LOS PIONEROS ' POI name: BNF ECOP CRUCE DE LOS PIONEROS POI types: amenity-atm OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi LedezmaPy, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'BNF ECOP CRUCE DE LOS PIONEROS' (amenity=atm) https://osm.org/node/13288033501  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
