note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2710922,Suriname,5.5032245,-54.0536387,2021-06-12 00:00:00,2026-01-13 16:18:44,1676,Rahief,'this street is called :commissarisstraat' POI has no name POI types: highway-residential OSM data version: 2021-05-11T18:00:52Z  #mapsme,2,0,z11120,"Bonjour,  Déjà cartographié depuis 4 ans   https://osm.org/go/YpfRr9khU-?layers=N&way=227627816"
1342983,Suriname,5.8547562,-55.1143849,2018-03-30 00:00:00,2026-01-03 20:44:42,0,673a,Similiar streets next to each other. Either 'Fruitvliegstraat' or 'Fruityvliegstraat' is propably a spelling mistake.,2,0,Cobu5,"Currently only one street named 'Fruitvliegstraat' is shown. In 2017 (https://www.openstreetmap.org/changeset/50543179) the spelling, the 'y' in 'Fruityvliegstraat', was corrected."
5078679,Suriname,5.8918235,-55.0386286,2025-12-04 00:00:00,2026-01-03 20:34:35,0,Unknown,alt_name ook wel Johan(na) Margaretha en kortweg Margaretha genoemd,2,0,Cobu5,In POI de altname toegevoegd. Zie: https://www.openstreetmap.org/changeset/176797093
5087987,Suriname,5.8565920,-55.1421753,2025-12-12 00:00:00,2026-01-02 11:34:13,0,Unknown,Saoenah,2,0,Cobu5,"Naam in oorspronkelijke poi aangepast, zie: https://www.openstreetmap.org/node/4539814425"
3503555,Suriname,5.8591363,-55.1878611,2023-01-03 00:00:00,2025-12-31 17:45:13,0,erickdeoliveiraleal,new road?,2,0,gormur,"Yes, to the new airport (EAX/SMEG)"
3401709,Suriname,5.8452303,-55.1789569,2022-10-16 00:00:00,2025-10-22 20:02:01,0,MGMeedendorp,Straatnaam klopt niet. Moet Gajawakastraat zijn.  via StreetComplete 47.0  Attached photo(s): https://westnordost.de/p/116825.jpg,3,0,MGMeedendorp,"Ahja, ik dacht ook dat ik later nog een opmerking had geplaatst maar dat zal ik vergeten zijn. Ik zag een dag later aan de andere kant van die straat een ander bord met de (correcte?) spelling met -d-. Het lijkt dat het straatnaambord wat ik heb gefotografeerd niet klopt"
3405683,Suriname,4.2064000,-55.4355000,2022-10-19 00:00:00,2025-07-13 03:03:01,0,Unknown,Kabaluwa,2,0,Ansderer,Added.
1196803,Suriname,5.7932990,-55.2156440,2017-11-06 00:00:00,2025-04-02 07:33:46,0,ramyaragupathy,Is this street called Florentinaweg ? Got a feedback through Mapbox feedback channel,2,0,Geim,"Not likely, as this building (at this street) has a street name of Fortuinweg: https://www.openstreetmap.org/way/807326118/history"
3196048,Suriname,5.8198322,-55.2047878,2022-05-26 00:00:00,2024-08-23 21:34:50,0,Krieshan,'FedEx' POI has no name POI types: building-address OSM data version: 2022-03-31T16:41:57Z  #mapsme,2,0,Piebout,
929358,Suriname,5.8269314,-55.1521213,2017-03-16 00:00:00,2024-08-23 21:05:23,0,Lucas Wall,Correct name is 'Duplessis House' (OSM data version: 2017-02-15T16:20:03Z) #mapsme,2,0,Piebout,
3328382,Suriname,5.8112839,-55.2816367,2022-08-23 00:00:00,2024-07-18 17:57:17,0,Titaantje,Straatnaam Jesrunweg moet zijn: Jessurunweg.,2,0,TKTurbo,Staat inmiddels goed
3019754,Suriname,5.8916000,-55.0772000,2022-01-22 00:00:00,2024-04-26 14:07:43,0,Unknown,Comport site,2,0,sheikchilli,unclear
3301296,Suriname,5.6351407,-55.2147102,2022-08-05 00:00:00,2023-12-28 16:14:02,0,Georgezan,Rijsdijk,2,0,Sarca,Is Rijsdijkweg. Er is daar een straatnaambord.
4028463,Suriname,5.6316685,-55.2136445,2023-12-15 00:00:00,2023-12-28 16:12:22,0,Sarca,Is Pararacweg,2,0,Sarca,Pararacweg is de juiste naam. Er staat daar een straatnaambord.
628324,Suriname,5.8266205,-55.1603329,2016-07-15 00:00:00,2023-11-09 09:06:56,0,Clyde Tjitr,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'wrong building' (OSM data version: 2016-06-20T05:57:02Z) #mapsme",2,0,confusedbuffalo,Duplicate note
1406980,Suriname,5.7987025,-55.2134879,2018-05-27 00:00:00,2023-09-30 20:14:59,0,Wenilcha,'Quacar straat' POI name: Planeetstraat POI types: psurface-unpaved_good highway-living_street OSM data version: 2018-05-12T22:49:02Z  #mapsme,2,0,kmpoppe,Duplicate of https://www.openstreetmap.org/note/1406601
2688061,Suriname,5.7994988,-55.2143043,2021-05-28 00:00:00,2023-09-30 20:14:40,0,Wenilcha,'Veruna straat' POI has no name POI types: highway-living_street OSM data version: 2021-05-11T18:00:52Z  #mapsme,2,0,kmpoppe,Duplicate of https://www.openstreetmap.org/note/2222608
2108237,Suriname,5.8323961,-55.0839472,2020-03-02 00:00:00,2023-09-15 02:05:22,0,eelc,guesthouse enjoy nature,4,1,erickdeoliveiraleal,
2335972,Suriname,5.8131319,-55.1286426,2020-09-05 00:00:00,2023-09-15 02:04:59,0,Kadrelo,'ANSU Fisher' POI has no name POI types: landuse-meadow OSM data version: 2019-08-30T18:41:13Z  #mapsme,2,0,erickdeoliveiraleal,
2335973,Suriname,5.0086079,-55.5243121,2020-09-05 00:00:00,2023-09-15 02:04:57,0,Kadrelo,'Zona Minera de Surinam' POI name: Garimbo Villa Brazil POI types: tourism-alpine_hut OSM data version: 2019-08-30T18:41:13Z  #mapsme,2,0,erickdeoliveiraleal,
2336124,Suriname,5.0086079,-55.5243121,2020-09-05 00:00:00,2023-09-15 02:04:55,0,Kadrelo,'Zona Minera de Surinam' POI name: Garimbo Villa Brazil POI types: tourism-alpine_hut OSM data version: 2019-08-30T18:41:13Z  #mapsme,2,0,erickdeoliveiraleal,
2496868,Suriname,5.8151878,-55.1848117,2021-01-13 00:00:00,2023-09-15 02:04:38,0,Vernon Bruining,"Blik, Bruining & Partners N.V.",2,0,erickdeoliveiraleal,
