note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3503525,Guyana,6.7893560,-58.1504685,2023-01-03 00:00:00,2025-12-27 23:00:31,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
3503521,Guyana,6.7885250,-58.1473356,2023-01-03 00:00:00,2025-12-27 23:00:25,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
3503530,Guyana,6.7888393,-58.1452543,2023-01-03 00:00:00,2025-12-27 23:00:21,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
3503529,Guyana,6.7908874,-58.1447124,2023-01-03 00:00:00,2025-12-27 23:00:16,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
3503528,Guyana,6.7919148,-58.1444402,2023-01-03 00:00:00,2025-12-27 23:00:11,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
3503524,Guyana,6.7995607,-58.1400548,2023-01-03 00:00:00,2025-12-27 23:00:07,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
3503522,Guyana,6.8011720,-58.1397329,2023-01-03 00:00:00,2025-12-27 23:00:02,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
4008698,Guyana,6.7810000,-58.1700700,2023-11-29 00:00:00,2025-12-27 22:59:58,0,Vishnu Doerga,Caribbean Trade Center,2,0,fgjt,.
4911754,Guyana,6.7609500,-58.1536093,2025-08-15 00:00:00,2025-12-27 22:59:09,0,Cozy Crib Residence,"463, New Peter's hall East Bank Demerara.",6,1,fgjt,.
3503523,Guyana,6.7894039,-58.1506442,2023-01-03 00:00:00,2025-12-27 22:54:52,0,erickdeoliveiraleal,check if piece of road exist.,2,0,fgjt,confirmed
5053331,Guyana,8.5455015,-59.9882108,2025-11-14 00:00:00,2025-12-01 17:14:33,0,ChrissW-R1,Here seems something wrong. Some relations are self intersecting.  https://osm.org/relation/7105826 https://osm.org/relation/11215234 https://osm.org/changeset/174636502,2,0,ChrissW-R1,Fixed in https://osm.org/changeset/174773710
5066922,Guyana,6.8232506,-58.1342214,2025-11-25 00:00:00,2025-11-28 08:54:43,0,orthobrazil,"'The building has been burned down and demolished. A provisionary school is being built front of it. ' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-04T05:32:27Z POI name: Mae's Schools POI types: amenity-school  #CoMaps android 2025.11.19-2-FDroid",2,0,map per,"Thanks, marked the building as 'demolished'"
3503534,Guyana,6.7636055,-58.1523728,2023-01-03 00:00:00,2025-11-23 16:11:20,0,erickdeoliveiraleal,new highway,3,0,Florek89,Someone have added
4880626,Guyana,6.8223903,-58.1436322,2025-07-28 00:00:00,2025-10-06 00:06:13,0,user_23125851,"'Computer World is Guyana’s oldest computer college. Since its opening in 1985, the college has graduated thousands of students and maintains a database of over 25,000 students and recent graduates (i.e. 2000-2021).  The Diploma in Microcomputer Studies (DipMCS) is the premier post-secondary computer qualification issued by a non-university college in Guyana and is the only such qualification with formal recognition by international professional bodies. In 1987, The Diploma received official recognition as an acceptable post-secondary qualification for student membership of The Institute of Data Processing Management (IDPM), The Association of Business Executives (ABE) and The Society of Company and Commercial Accountants (ASCA).  In recent years, the college has expanded its curriculum to include courses leading to Diplomas in Computerized Accounting, Business and Computer Studies, Computer Tying and Secretarial Studies, Computer Repairs and PC Networking, Graphics Design, Medical Office Studies, Legal Office Studies, Medical Office and Pharmacy Management, Small Business Management, Banking and Financial Management, Event Planning and Project Management and Hotel Management.' OSM snapshot date: 2025-06-22T05:04:15Z POI name: Computer World POI types: amenity-school  #CoMaps android",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
4880627,Guyana,6.8232506,-58.1342214,2025-07-28 00:00:00,2025-10-06 00:06:13,0,user_23125851,'This building has burnt down and is completely destroyed.' OSM snapshot date: 2025-06-22T05:04:15Z POI name: Mae's Schools POI types: amenity-school  #CoMaps android,2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
4921830,Guyana,6.4047750,-58.6220760,2025-08-21 00:00:00,2025-08-26 18:38:50,0,Unknown,Kingdom Hall,2,0,TIMOTHY PAHALAD,
4928015,Guyana,6.2667123,-57.3718929,2025-08-24 00:00:00,2025-08-26 17:24:14,0,Akubra96,"The NDC assignment for this area seems unclear. According to the GECOM draft constituency boundaries (2016, https://www.guynode.com/constituencies.html and https://www.guynode.com/Constituency_Boundaries_Updated_Draft_LGE_2016.pdf#page=293), this should fall under the Kilcoy/Hampshire NDC. However, on OSM it appears as part of the Corentyne River area. Could a local mapper verify which NDC is correct? Thank you.",2,0,Akubra96,"I have drawn the Kilcoy - Hampshire NDC, according to the GECOM draft constituency boundaries 2016"
4928019,Guyana,6.2577539,-57.3601341,2025-08-24 00:00:00,2025-08-26 17:22:59,0,Akubra96,"The NDC assignment for this area seems unclear. According to the GECOM draft constituency boundaries (2016, https://www.guynode.com/constituencies.html and https://www.guynode.com/Constituency_Boundaries_Updated_Draft_LGE_2016.pdf#page=296), this should fall under the Rose Hall Municipality. However, on OSM it appears as part of the Hampshire/Kilcoy NDC. Could a local mapper verify which NDC is correct? Thank you.",2,0,Akubra96,"I have drawn the Rose Hall Municipality, according to the GECOM draft constituency boundaries 2016"
4928008,Guyana,6.2760119,-57.3936510,2025-08-24 00:00:00,2025-08-25 19:07:14,0,Akubra96,"The NDC assignment for this area seems unclear. According to the GECOM draft constituency boundaries (2016, https://www.guynode.com/constituencies.html and https://www.guynode.com/Constituency_Boundaries_Updated_Draft_LGE_2016.pdf#page=289), this should fall under the Gibraltar/Fyrish NDC. However, on OSM it appears as part of the No. 37–Kintyre NDC. Could a local mapper verify which NDC is correct? Thank you.",2,0,Akubra96,"I have drawn the Gibraltar/Fyrish NDC, according to the GECOM draft constituency boundaries 2016 and other sources (e.g. https://www.globalforestwatch.org/dashboards/country/GUY/4/9/)."
4924624,Guyana,3.7997706,-59.3102001,2025-08-23 00:00:00,2025-08-23 09:37:11,0,willkuhn,Start here...,2,0,willkuhn,
