note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5107801,Nicaragua,12.1510514,-86.2741005,2025-12-28 00:00:00,2025-12-28 04:43:05,0,Ogrizek18,por aca,2,0,Ogrizek18,
5082844,Nicaragua,13.7521920,-86.2259474,2025-12-07 00:00:00,2025-12-07 20:03:03,0,Didier Jair,Loma Mirador de los vientos de Palestina.,4,1,Didier Jair,
5082814,Nicaragua,13.7522140,-86.2259500,2025-12-07 00:00:00,2025-12-07 19:41:08,0,Unknown,Loma Mirador de los vientos de Palestina.,2,0,Didier Jair,
3033365,Nicaragua,11.9816536,-86.0875831,2022-02-01 00:00:00,2025-12-04 23:58:10,0,drojas8665,'This is wrong. There's an ice factory here' OSM snapshot date: 2022-01-03T12:11:12Z POI name: Ice Hielera Tenderi POI types: building  #organicmaps,2,0,drojas8665,Es lo mismo
5053107,Nicaragua,11.5513231,-85.6959960,2025-11-14 00:00:00,2025-11-19 15:40:20,0,ChristopherKi,'the path is private from this point on. there  is a fence blocking the path' OSM snapshot date: 2025-06-22T05:04:15Z POI name: Fence blocking the path POI types: tourism-viewpoint  #CoMaps android,2,0,map per,"Thanks, added the fence"
5050591,Nicaragua,13.1022593,-86.3474989,2025-11-13 00:00:00,2025-11-13 05:49:28,0,Unknown,Calles adoquinadas,4,1,Marieth Centeno,
5050592,Nicaragua,13.1031475,-86.3469490,2025-11-13 00:00:00,2025-11-13 05:49:12,0,Unknown,Calles sin adoquinar,3,1,Marieth Centeno,calles sin adoquinar
2717918,Nicaragua,11.8561605,-86.2402513,2021-06-18 00:00:00,2025-10-28 13:41:31,0,Villelmo,¿Hay bares en esta zona?  via StreetComplete 31.3,2,0,NeisBot,Same as note https://osm.org/note/2717917 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
1270409,Nicaragua,11.8595392,-86.2454438,2018-01-16 00:00:00,2025-08-23 20:26:01,0,porfiriopaiz,fix typo in name,5,1,NicaTopo,Corrected to Escuela René Schick:  https://www.openstreetmap.org/way/559556558
