note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4253117,Costa Rica,9.8233180,-83.8051432,2024-05-18 00:00:00,2026-01-18 14:54:52,610,Fio_Cordero,Aquí hay un parque de juegos infantil.,2,0,5R-MFT,anadido
3379259,Costa Rica,9.4166596,-84.1577086,2022-09-30 00:00:00,2026-01-18 14:38:48,1206,Viajero Perdido,Not an alpine hut.,2,0,map per,"Closing the note, no alpine hut here any more"
5131993,Costa Rica,9.7505628,-82.8598728,2026-01-16 00:00:00,2026-01-18 14:36:19,2,Unknown,"'Playa Grande, Cahuita, 70000, Costa Rica' OSM snapshot date: 2026-01-06T21:33:01Z POI name: La Diosa Nature Lodge POI types: tourism-guest_house  #CoMaps ios 2026.01.08-11-ios",2,0,map per,Thanks for adding the guest house to OpenStreetMap!
5131989,Costa Rica,9.8287904,-83.8103351,2026-01-16 00:00:00,2026-01-18 14:35:50,2,Unknown,"'Casona del Cafetal, 30204 Cachí, Costa Rica' OSM snapshot date: 2026-01-06T21:33:01Z POI name: Hotel Boutique Casona del Cafetal and Lakeside Restaurant POI types: tourism-hotel  #CoMaps ios 2026.01.08-11-ios",2,0,map per,Thanks for adding the hotel to OpenStreetMap!
5131980,Costa Rica,10.3032198,-84.8087733,2026-01-16 00:00:00,2026-01-18 14:34:26,2,Unknown,"'Across From La Colina Lodge, 00001 Monteverde, Costa Rica' OSM snapshot date: 2026-01-06T21:33:01Z POI name: Forest Garden Lodge POI types: tourism-guest_house  #CoMaps ios 2026.01.08-11-ios",2,0,map per,Thanks for adding the guest house to OpenStreetMap!
5131978,Costa Rica,10.4835910,-84.6605109,2026-01-16 00:00:00,2026-01-18 14:33:57,2,Unknown,"'Casa vista de luna, 21007 Guaria, Costa Rica' OSM snapshot date: 2026-01-06T21:33:01Z POI name: Casa Vista de Luna POI types: tourism-guest_house  #CoMaps ios 2026.01.08-11-ios",2,0,map per,Thanks for adding the guest house to OpenStreetMap!
5131975,Costa Rica,10.7089046,-84.9785719,2026-01-16 00:00:00,2026-01-18 14:33:34,2,Unknown,"'La Paz de Rio Celeste de Guatuso, 60111 Bijagua, Costa Rica' OSM snapshot date: 2026-01-06T21:33:01Z POI name: Hotel catarata Rio céleste POI types: tourism-guest_house  #CoMaps ios 2026.01.08-11-ios",2,0,map per,Thanks for adding the guest house to OpenStreetMap!
2395616,Costa Rica,9.6565804,-82.7441686,2020-10-22 00:00:00,2026-01-17 18:35:58,1913,joris rauber,"'Hier sind kleine apartments am entstehen von locals. Sie sprechen Deutsch, Englisch und Spanisch fliessend. Preise Leistungs Verhältnis stimmt. Pro Nacht zwischen 15-20 Euro. Man hat eine eigene Dusche, eigene Küche und Ventilator. Daniel ist dazu noch Tour guide und weiss so ziemlich alles über die Gegend und die Natur.' POI name: Paula's and Daniel's Homestay POI types: tourism-apartment internet_access-wlan OSM data version: 2020-08-22T02:23:14Z  #mapsme",2,0,Tomas09,fixed in changeset 177347585
2395627,Costa Rica,9.6565804,-82.7441686,2020-10-22 00:00:00,2026-01-17 18:35:55,1913,joris rauber,"'Kleine schöne apartments mit eigener Küche und Dusche. Daniel ist dazu noch Tour guide und weiss so ziemlich alles über die Gegend und die Natur. Pro Nacht zwischen 15-20 Euro je nach Länge des Aufenthaltes. Beide sprechen Englisch, Deutsch und Spanisch fliessend.' POI name: Paula's and Daniel's Homestay POI types: tourism-apartment internet_access-wlan OSM data version: 2020-08-22T02:23:14Z  #mapsme",2,0,Tomas09,fixed in changeset 177347585
5024342,Costa Rica,9.6585182,-82.7484001,2025-10-26 00:00:00,2026-01-17 18:26:21,83,GerryHaa,Unable to answer 'What are the opening hours here?' – Pizzeria Don Augustín (Restaurant) – https://osm.org/way/395458622 via StreetComplete 61.3:  Looks like this place is now a Laundry  Attached photo(s): https://streetcomplete.app/p/312857.jpg,2,0,Tomas09,Done in changeset 177347246
3870067,Costa Rica,9.6588686,-82.7508007,2023-09-04 00:00:00,2026-01-17 18:23:28,866,Alexadms,El Sendero Beach Club,2,0,Tomas09,Already added
3533555,Costa Rica,9.6576016,-82.7514998,2023-01-27 00:00:00,2026-01-17 18:23:14,1086,starbugged,'La Tribu - solo para mujeres' POI name: La Tribu - solo para mujeres POI types: tourism-hostel OSM data version: 2022-10-30T11:31:10Z  #mapsme,2,0,Tomas09,Already added
1133148,Costa Rica,9.6532261,-82.7544281,2017-09-09 00:00:00,2026-01-17 18:22:54,3052,alecstein,One of these lodges cannot be in the right place.,2,0,Tomas09,I only see one on the map. I'm assuming this note is outdated
3459888,Costa Rica,9.6555100,-82.7555900,2022-11-29 00:00:00,2026-01-17 18:22:17,1145,AxelF,"the building is now a ruin, no longer a supermarket",2,0,Tomas09,Done in changeset 177347044
1436531,Costa Rica,9.6564580,-82.7554806,2018-06-25 00:00:00,2026-01-17 18:19:52,2763,Harrygreen5,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-restaurant OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,Tomas09,This note is outdated
5132006,Costa Rica,10.0010423,-84.1951759,2026-01-16 00:00:00,2026-01-16 21:06:03,0,Unknown,"'1 Kilometer East Of Juan Santamaria Airport  , 195 4003 Alajuela, Costa Rica' OSM snapshot date: 2026-01-06T21:33:01Z POI name: Holiday Inn Express POI types: building tourism-hotel  #CoMaps ios 2026.01.08-11-ios",2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5132000  Therefore, it will be closed.  #DuplicateNote"
5115273,Costa Rica,10.5597764,-84.9697821,2026-01-03 00:00:00,2026-01-03 08:02:40,0,Pura vida2000,Lugar de servicio de comida y bebidas  Bar y restaurante La Amistad  Servicio de carnes BBQ,3,1,Pura vida2000,
5111905,Costa Rica,9.9757031,-84.2624296,2025-12-31 00:00:00,2025-12-31 04:45:44,0,Guevard00,casa 27,3,1,Guevard00,
5095439,Costa Rica,9.1665746,-83.7392230,2025-12-17 00:00:00,2025-12-18 06:34:02,0,MiRe_,"Unable to answer 'What’s the name of this place?' – Convenience Store – https://osm.org/node/10828716705 via StreetComplete 62.0:  Bitte löschen , habe den richtigen spot markiert und mit Infos versehen",2,0,map per,"Thanks, removed the wrong location"
5094960,Costa Rica,9.1665737,-83.7392219,2025-12-17 00:00:00,2025-12-18 06:32:50,0,MiRe_,"This place does not exist: 'habe den Supermarkt an der richtigen Stelle neu platziert. hier ist der falsch' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-09T01:54:54Z POI has no name POI types: shop-convenience  #CoMaps android 2025.12.11-2-FDroid",2,0,map per,"Thanks, removed the old location"
5094216,Costa Rica,9.1665567,-83.7387875,2025-12-16 00:00:00,2025-12-17 12:55:55,0,MiRe_,hier Ist ein Schwimmbecken  #CoMaps android 2025.12.11-2-FDroid,2,0,map per,"Thanks, added a swimming pool"
5094209,Costa Rica,9.1675929,-83.7377040,2025-12-16 00:00:00,2025-12-17 12:54:48,0,MiRe_,"This place does not exist: 'Hotel liegt leicht woanders' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-09T01:54:54Z POI name: Hotel Luz De Luna Bahia Ballena POI types: tourism-hotel  #CoMaps android 2025.12.11-2-FDroid",2,0,map per,"Thanks, deleted the wrong hotel"
5091628,Costa Rica,9.9034510,-84.2399830,2025-12-14 00:00:00,2025-12-14 21:13:44,0,Marakas,Territorio 24,4,1,Marakas,
1191898,Costa Rica,9.8513367,-84.0489131,2017-11-01 00:00:00,2025-12-11 04:01:12,0,Unknown,"Calle, Los Helechos",2,0,Crisdepred,
5071446,Costa Rica,9.6377171,-82.6826282,2025-11-28 00:00:00,2025-11-28 16:41:22,0,Mateusz Konieczny,https://www.openstreetmap.org/way/140457575/history has paved = no  Why not surface=unpaved ? What is benefit of using unusual paved=no rather than surface=unpaved ?,2,0,Mateusz Konieczny,
5070173,Costa Rica,9.6598499,-84.0202208,2025-11-27 00:00:00,2025-11-28 08:47:42,0,Karla392,"'Está mal ubicado este lugar, se debe eliminar' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-08-22T03:20:49Z POI name: Licorera Los Santos POI types: building shop-alcohol  #CoMaps android",2,0,map per,"Gracias, eliminé las tiendas"
5070174,Costa Rica,9.6598552,-84.0203053,2025-11-27 00:00:00,2025-11-28 08:47:37,0,Karla392,"'Está mal ubicado, se debe borrar' OSM snapshot date: 2025-08-22T03:20:49Z POI name: Óptica Mata POI types: building shop-optician  #CoMaps android",2,0,map per,"Gracias, eliminé las tiendas"
