note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4112043,Honduras,14.1095500,-87.2075800,2024-02-14 00:00:00,2026-01-07 16:42:55,693,Willy Antunez,IHER - Instituto Hondureño de Educación por Radio,4,1,Marlon Gómez Mass,
5120280,Honduras,14.1013320,-87.2363730,2026-01-06 00:00:00,2026-01-07 16:41:05,1,Marlon Gómez Mass,"TORRE #3, LÍNEA DE TRANSMISIÓN, ENEE",3,1,Marlon Gómez Mass,
5120279,Honduras,14.0972590,-87.2334970,2026-01-06 00:00:00,2026-01-07 16:41:01,1,Marlon Gómez Mass,"TORRE #1, LÍNEA DE TRANSMISIÓN, ENEE",3,1,Marlon Gómez Mass,
5120278,Honduras,14.0984420,-87.2343580,2026-01-06 00:00:00,2026-01-07 16:40:51,1,Marlon Gómez Mass,"TORRE #2, LÍNEA DE TRANSMISIÓN, ENEE",3,1,Marlon Gómez Mass,
5079393,Honduras,15.8440530,-87.9500050,2025-12-05 00:00:00,2025-12-05 21:53:43,0,Unknown,start,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'start'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
4274691,Honduras,14.1525755,-87.0475182,2024-06-01 00:00:00,2025-12-05 19:25:10,0,Brucecornelli,El nombre es ruta nacional 25 o RN-25  via StreetComplete 57.4,2,0,HUPA504,
4274675,Honduras,14.1565251,-87.0464732,2024-06-01 00:00:00,2025-12-05 19:24:53,0,Brucecornelli,Hospital Adventista Valle Angeles  via StreetComplete 57.4,2,0,HUPA504,
5065541,Honduras,14.1026720,-87.2386070,2025-11-24 00:00:00,2025-11-24 01:27:40,0,Fernando1821,"Kinder Preparatoria Alemania, Carrizal #2",2,0,Fernando1821,
5065540,Honduras,14.1025520,-87.2387090,2025-11-24 00:00:00,2025-11-24 01:26:17,0,Fernando1821,Escuela Republica Federal de Alemania,2,0,Fernando1821,
5065539,Honduras,14.0991440,-87.2450660,2025-11-24 00:00:00,2025-11-24 01:23:11,0,Fernando1821,Iglesia Redentor,2,0,Fernando1821,
5062511,Honduras,14.0764304,-87.2383627,2025-11-21 00:00:00,2025-11-21 15:48:22,0,Sonia Elvir,Jardin de niños Rosa Elena de Lobo,2,0,Sonia Elvir,
4735614,Honduras,15.4878025,-87.9854465,2025-04-30 00:00:00,2025-11-13 16:44:50,0,Unknown,Pollo Nixon,3,1,ErickBanegas,
5025221,Honduras,16.3407392,-86.5491825,2025-10-27 00:00:00,2025-10-27 15:50:19,0,Joshua-Kimberly Palermo,Casa Blanca @Lawson Rock,2,0,Joshua-Kimberly Palermo,
5024178,Honduras,14.9420902,-87.9950809,2025-10-26 00:00:00,2025-10-26 19:10:27,0,abmoradel,N-54,2,0,abmoradel,
5012692,Honduras,14.8467310,-85.8947143,2025-10-18 00:00:00,2025-10-23 23:06:10,0,Art-2,'Transportes García' POI name: Transportes García POI types: amenity-bus_station OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Art-2, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Transportes García' (amenity=bus_station) https://osm.org/node/13241658601  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
4995301,Honduras,14.0905657,-87.2235569,2025-10-07 00:00:00,2025-10-22 13:16:08,0,sleepingoldbear10,Esta calle no es pública. Es donde la Cruz Roja guarda las ambulancia.  via StreetComplete 61.3,2,0,sleepingoldbear10,
4309265,Honduras,14.0350096,-87.2672808,2024-06-26 00:00:00,2025-10-21 22:09:08,0,Unknown,Res. Vista Real,2,0,sleepingoldbear10,
4435889,Honduras,14.0461424,-87.2461760,2024-09-15 00:00:00,2025-10-21 22:08:42,0,Unknown,",lmp,",2,0,sleepingoldbear10,
4488544,Honduras,14.0388100,-87.2328560,2024-10-21 00:00:00,2025-10-21 22:08:03,0,Unknown,Calicata,2,0,sleepingoldbear10,
4104428,Honduras,14.0623600,-87.1870200,2024-02-08 00:00:00,2025-10-21 22:06:42,0,Unknown,Jose,2,0,sleepingoldbear10,
3331918,Honduras,14.0845173,-87.1743140,2022-08-25 00:00:00,2025-10-21 22:03:27,0,PonyM,Edificio en construcción.  via StreetComplete 40.2,2,0,sleepingoldbear10,
4021772,Honduras,14.1033327,-87.2145581,2023-12-10 00:00:00,2025-10-21 21:53:35,0,Unknown,cerro juana lainez,2,0,sleepingoldbear10,"Este es el Cementerio General, no el Cerro Juana Lainez"
3438176,Honduras,14.0804995,-87.1972686,2022-11-12 00:00:00,2025-10-21 21:50:43,0,Unknown,Parque Altos de Miramontes Tegucigalp,2,0,sleepingoldbear10,
4985701,Honduras,14.0941537,-87.2122185,2025-09-30 00:00:00,2025-10-21 17:42:27,0,sleepingoldbear10,"'Es una estación de buses, no una tienda.' OSM snapshot date: 2025-08-22T03:20:49Z POI name: La Sultana POI types: shop  #CoMaps android",2,0,sleepingoldbear10,
4545310,Honduras,14.2422056,-88.3777276,2024-12-06 00:00:00,2025-10-10 16:16:33,0,Unknown,Tienda Variedades a Tu Estilo,2,0,cuzi,added
4460153,Honduras,13.9606411,-88.4739288,2024-10-01 00:00:00,2025-10-10 16:09:26,0,ivanbranco,I guess surface is supposed to be name=* or description=*,2,0,cuzi,I put it in the name= for now.
4460155,Honduras,13.9601020,-88.4733958,2024-10-01 00:00:00,2025-10-10 16:09:10,0,ivanbranco,many ways without tags around here,2,0,cuzi,Seems to be resolved now
4491744,Honduras,14.0769742,-87.2440839,2024-10-23 00:00:00,2025-10-09 23:34:53,0,Unknown,tavo 2,2,0,Rodrigo Rega,
4491743,Honduras,14.0784103,-87.2507358,2024-10-23 00:00:00,2025-10-09 23:34:44,0,Unknown,hola tavo,2,0,Rodrigo Rega,
4996179,Honduras,14.0899315,-87.2240632,2025-10-08 00:00:00,2025-10-09 17:16:22,0,sleepingoldbear10,"'A mitad de este año cerró la tienda de ropa, ahora no hay nada ahi.' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-08-22T03:20:49Z POI has no name POI types: shop-clothes  #CoMaps android",2,0,map per,"Gracias, marqué el lugar como vacante"
4996178,Honduras,14.0895139,-87.2246600,2025-10-08 00:00:00,2025-10-09 17:14:23,0,sleepingoldbear10,"'El lugar nunca fue un quiosco, antes era una casa, ahora es una tienda de muebles' OSM snapshot date: 2025-08-22T03:20:49Z POI has no name POI types: building shop-kiosk  #CoMaps android",2,0,map per,"Gracias, cambié el lugar a una tienda de muebles"
3665077,Honduras,14.7687617,-88.7808180,2023-04-29 00:00:00,2025-10-08 23:11:01,0,hugo15666,Here is the restaurant The Wings House,2,0,Warren Post,The Wings House has moved elsewhere.
4684244,Honduras,14.7821857,-88.7793589,2025-03-27 00:00:00,2025-10-08 23:09:49,0,Unknown,Hey mama bear is so much more fun than I thought it would have been for me and I just wanted to let you know that I’m so sorry for that but you don’t want me,2,0,Warren Post,
4684248,Honduras,14.7772063,-88.7721705,2025-03-27 00:00:00,2025-10-08 23:09:12,0,Unknown,I’m not sure what time they are going to go back to the place but I’m going back home now and I’m so tired of it all right now I’m just going to get my stuff ready and I’ll be there shortly after that I’m going to bed,2,0,Warren Post,
3446545,Honduras,15.3601770,-87.9736018,2022-11-18 00:00:00,2025-10-03 19:49:26,0,erickdeoliveiraleal,missing roads,2,0,WAPperdomo,
3884140,Honduras,15.2803351,-87.9826355,2023-09-12 00:00:00,2025-10-03 19:46:04,0,Unknown,Chamelecon,2,0,WAPperdomo,
3446544,Honduras,15.3191217,-87.9625082,2022-11-18 00:00:00,2025-10-03 19:45:14,0,erickdeoliveiraleal,missing roads,2,0,WAPperdomo,
3388380,Honduras,15.3144900,-87.9750600,2022-10-06 00:00:00,2025-10-03 19:44:17,0,Unknown,"Colonia gracias a Dios, Villanueva Cortes",2,0,WAPperdomo,
4299251,Honduras,16.3224253,-86.5370429,2024-06-19 00:00:00,2025-10-02 22:58:38,0,Warren Post,"The Honduran government's immigration office for Roatán is said to be on the 2nd floor of this building, but this needs to be verified.",2,0,Paul Ann,
4985704,Honduras,14.0894801,-87.2251428,2025-09-30 00:00:00,2025-10-01 11:47:37,0,sleepingoldbear10,"'El lugar no es un taller, es un auto lavado' OSM snapshot date: 2025-08-22T03:20:49Z POI name: Car Wash Flores POI types: building shop-car_repair  #CoMaps android",2,0,map per,"Gracias, cambié la categoría."
4985703,Honduras,14.0893643,-87.2259354,2025-09-30 00:00:00,2025-10-01 11:44:35,0,sleepingoldbear10,"'Hace años dejo de existir ese restaurante, ahora es un taller de ventanas.' OSM snapshot date: 2025-08-22T03:20:49Z POI name: La Casa del Pollo Rey POI types: amenity-restaurant  #CoMaps android",2,0,map per,"Gracias, actualicé el lugar"
4985702,Honduras,14.0892252,-87.2255505,2025-09-30 00:00:00,2025-10-01 11:42:30,0,sleepingoldbear10,"'La farmacia dejo de existir desde hace ya varios meses.' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-08-22T03:20:49Z POI name: Farmacia Kielsa POI types: building amenity-pharmacy  #CoMaps android",2,0,map per,"Gracias, marqué el lugar como vacante"
4980420,Honduras,14.7516062,-88.0273104,2025-09-26 00:00:00,2025-09-26 16:37:41,0,Eunice Quintanilla,Los Anises,2,0,Eunice Quintanilla,
4980359,Honduras,14.7465215,-88.0238342,2025-09-26 00:00:00,2025-09-26 16:36:36,0,Unknown,El Zompopero,2,0,Eunice Quintanilla,
4980417,Honduras,14.7607797,-88.0137062,2025-09-26 00:00:00,2025-09-26 16:35:51,0,Eunice Quintanilla,el diviso,2,0,Eunice Quintanilla,
4979201,Honduras,14.4560520,-87.6394470,2025-09-25 00:00:00,2025-09-25 19:29:16,0,Jose Medina Rivera,Clínica Dental Comayagua CDC,3,1,Jose Medina Rivera,
4537755,Honduras,14.0857468,-87.1655488,2024-11-29 00:00:00,2025-07-27 03:50:55,0,Unknown,Ciudad Universitaria / Universidad Nacional Autónoma de Honduras,2,0,Anne ps,
4161422,Honduras,14.0889831,-87.1725655,2024-03-21 00:00:00,2025-07-27 03:50:40,0,Unknown,TERRENO,2,0,Anne ps,
4877316,Honduras,16.3388113,-86.4965569,2025-07-27 00:00:00,2025-07-27 03:46:57,0,Anne ps,Iglesia catolica Santa maria,2,0,Anne ps,
4324898,Honduras,16.3514127,-86.4569145,2024-07-08 00:00:00,2025-07-27 03:43:54,0,Warren Post,"I have been told there is a key cutter shop here, but this needs confirmation.",2,0,Anne ps,
