note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5127277,Belize,17.1534926,-88.5386842,2026-01-12 00:00:00,2026-01-13 05:07:52,1,CharliePlett,culvert instead of ford   #OsmAnd,2,0,CharliePlett,
5127276,Belize,17.1245603,-88.5669923,2026-01-12 00:00:00,2026-01-13 05:07:35,1,CharliePlett,"It's a culvert now, not a ford  #OsmAnd",2,0,CharliePlett,
5127278,Belize,17.1145303,-88.6105883,2026-01-12 00:00:00,2026-01-13 05:03:23,1,CharliePlett,ford  #OsmAnd,2,0,CharliePlett,
5127280,Belize,17.1288363,-88.5920135,2026-01-12 00:00:00,2026-01-13 04:59:53,1,CharliePlett,creek  #OsmAnd,2,0,CharliePlett,
5127279,Belize,17.1285907,-88.5932581,2026-01-12 00:00:00,2026-01-13 04:59:47,1,CharliePlett,cave  #OsmAnd,2,0,CharliePlett,
5127281,Belize,17.1308891,-88.5856548,2026-01-12 00:00:00,2026-01-13 04:56:46,1,CharliePlett,cenote  #OsmAnd,2,0,CharliePlett,
5127283,Belize,17.1340706,-88.5915848,2026-01-12 00:00:00,2026-01-13 04:54:19,1,CharliePlett,duende cave  #OsmAnd,2,0,CharliePlett,
5127282,Belize,17.1338325,-88.5916324,2026-01-12 00:00:00,2026-01-13 04:54:15,1,CharliePlett,river trail  #OsmAnd,2,0,CharliePlett,
5068803,Belize,17.4682101,-88.3997653,2025-11-26 00:00:00,2025-12-23 02:52:48,0,CharliePlett,"This road is paved, why? are they making a new community?  #OsmAnd",6,1,Chuckie_501,George Price Highway (Western) and Phillip Goldson Highway (Northern).
5003045,Belize,17.1979968,-88.7739183,2025-10-12 00:00:00,2025-12-18 16:50:25,0,CharliePlett,bridge  #OsmAnd,2,0,CharliePlett,
5096314,Belize,17.2551432,-88.7635978,2025-12-18 00:00:00,2025-12-18 16:49:14,0,CharliePlett,street connected now  #OsmAnd,2,0,CharliePlett,
5096313,Belize,17.2555204,-88.7652498,2025-12-18 00:00:00,2025-12-18 16:48:33,0,CharliePlett,concrete  #OsmAnd,2,0,CharliePlett,
5096311,Belize,17.2557340,-88.7636819,2025-12-18 00:00:00,2025-12-18 16:48:09,0,CharliePlett,street connected now  #OsmAnd,2,0,CharliePlett,
