note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5259812,Portugal,37.1044353,-8.6812082,2026-04-21 00:00:00,2026-04-23 20:49:36,2,FooFooBar,Steps  #EveryDoor,3,0,FooFooBar,
5262669,Portugal,41.1807859,-7.5793537,2026-04-23 00:00:00,2026-04-23 18:43:29,0,Unknown,Poça neighbourhood,2,0,RazorWind,
5262666,Portugal,41.1752408,-7.5779790,2026-04-23 00:00:00,2026-04-23 18:38:46,0,Unknown,Avenida da Fonte de Cima,2,0,RazorWind,
5262665,Portugal,41.1729489,-7.5778044,2026-04-23 00:00:00,2026-04-23 18:28:05,0,Unknown,Casa do Visconde de Chanceleiros,2,0,RazorWind,
5262664,Portugal,41.1737629,-7.5688154,2026-04-23 00:00:00,2026-04-23 18:18:54,0,Unknown,Rua da Estrada,2,0,RazorWind,
5262744,Portugal,41.2423142,-7.5587740,2026-04-23 00:00:00,2026-04-23 18:11:15,0,Unknown,Footway,2,0,RazorWind,
5262327,Portugal,41.2646894,-7.5743312,2026-04-23 00:00:00,2026-04-23 18:08:51,0,Unknown,Quinta nossa senhora do loreto,2,0,RazorWind,
5262261,Portugal,41.2788512,-7.6188964,2026-04-23 00:00:00,2026-04-23 17:56:43,0,Unknown,Miradouro da Fraga dos Namorados,2,0,RazorWind,
5261616,Portugal,41.2962622,-7.7387044,2026-04-22 00:00:00,2026-04-22 22:15:01,0,Unknown,Construction,2,0,RazorWind,
5261408,Portugal,41.2932726,-7.7466041,2026-04-22 00:00:00,2026-04-22 22:08:50,0,Unknown,5,2,0,RazorWind,
5261643,Portugal,41.2960324,-7.7442890,2026-04-22 00:00:00,2026-04-22 21:56:23,0,Unknown,7,2,0,RazorWind,
5261647,Portugal,41.2960782,-7.7443513,2026-04-22 00:00:00,2026-04-22 21:56:15,0,RazorWind,5,2,0,RazorWind,
5261646,Portugal,41.2959746,-7.7443904,2026-04-22 00:00:00,2026-04-22 21:54:27,0,RazorWind,6,2,0,RazorWind,
