note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4698902,ኤርትራ Eritrea إرتريا,15.3411136,38.9410574,2025-04-06 00:00:00,2025-05-17 15:39:19,0,huruyatna,'Sham Restaurant and Bar' POI name: Sham Restaurant and Bar POI types: amenity-restaurant OSM data version: 2024-04-05T18:17:46Z  #mapsme,2,0,NeisBot,"Hi huruyatna, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Sham Restaurant and Bar' (amenity=restaurant) https://osm.org/node/12734115601  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
4698903,ኤርትራ Eritrea إرتريا,15.3411136,38.9410574,2025-04-06 00:00:00,2025-05-17 15:39:19,0,huruyatna,'Sham Restaurant and Bar' POI name: Sham Restaurant and Bar POI types: amenity-restaurant OSM data version: 2025-03-10T15:58:21Z  #mapsme,2,0,NeisBot,"Hi huruyatna, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Sham Restaurant and Bar' (amenity=restaurant) https://osm.org/node/12734115601  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
4698907,ኤርትራ Eritrea إرتريا,15.3411136,38.9410574,2025-04-06 00:00:00,2025-04-06 14:21:06,0,huruyatna,'Sham Restaurant and Bar' POI name: Sham Restaurant and Bar POI types: amenity-restaurant OSM data version: 2025-03-10T15:58:21Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4698903  Therefore, it will be closed.  #DuplicateNote"
4698906,ኤርትራ Eritrea إرتريا,15.3411136,38.9410574,2025-04-06 00:00:00,2025-04-06 14:21:06,0,huruyatna,'Sham Restaurant and Bar' POI name: Sham Restaurant and Bar POI types: amenity-restaurant OSM data version: 2025-03-10T15:58:21Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4698903  Therefore, it will be closed.  #DuplicateNote"
4653942,ኤርትራ Eritrea إرتريا,15.5356863,37.8656673,2025-03-06 00:00:00,2025-03-06 21:09:58,0,Marwan1,Akurdat international airport (AKIA),7,1,Marwan1,
4232540,ኤርትራ Eritrea إرتريا,15.8475936,38.4384370,2024-05-06 00:00:00,2024-05-06 10:30:50,0,WdHomeir,Bet Homeir Village,8,1,WdHomeir,Bet Homeir  ቤት ሖሜር  Village
3992333,ኤርትራ Eritrea إرتريا,15.1129100,39.0163300,2023-11-18 00:00:00,2023-11-18 13:03:03,0,Japhet19,There is a house here mine,3,1,Japhet19,
2236179,ኤርትራ Eritrea إرتريا,15.2639776,38.9227293,2020-06-20 00:00:00,2023-10-22 20:01:40,0,Teweldebini,Merhano  መርሓኖ,2,0,zluuzki,duplicate note
1731795,ኤርትራ Eritrea إرتريا,15.0513000,39.1831000,2019-04-01 00:00:00,2023-10-22 20:01:18,0,Unknown,3,2,0,zluuzki,unclear  P-3 road nearby is added
730165,ኤርትራ Eritrea إرتريا,15.3390106,38.9326547,2016-09-29 00:00:00,2023-10-22 20:00:53,0,Sami Malass,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'jeddah' (OSM data version: 2016-08-22T09:03:02Z) #mapsme",4,0,zluuzki,unclear
725676,ኤርትራ Eritrea إرتريا,15.3294450,38.9031506,2016-09-25 00:00:00,2023-10-22 20:00:39,0,Nahom Tsehaye,Billy (OSM data version: 2016-07-15T17:38:02Z) #mapsme,5,0,zluuzki,unclear
661743,ኤርትራ Eritrea إرتريا,16.4340888,38.6999202,2016-08-07 00:00:00,2023-10-22 20:00:33,0,Geography Canada,'Village'?,3,0,zluuzki,name is added
