note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5261641,Norge,59.6642014,10.7922571,2026-04-22 00:00:00,2026-04-24 01:54:44,2,richlv,"optik seems to have moved, Babylon Burger somewhere here  #EveryDoor",2,0,richlv,"Added optician, transcribed name from the sign, mostly. Babylon first moved from the pizza place, but they both exist. Re-added the pizza place later. Mostly good, closing."
5262384,Norge,59.6642014,10.7922571,2026-04-23 00:00:00,2026-04-23 17:35:13,0,richlv,"optik seems to have moved, Babylon Burger somewhere here  #EveryDoor",2,0,Fjellrev,Same as https://www.openstreetmap.org/note/5261641
5243173,Norge,63.3306488,10.3463223,2026-04-10 00:00:00,2026-04-23 10:51:59,13,Suziebayestutifrutti,"'Not exact location' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-03-10T00:09:11Z POI name: Heggstadmoen gjenvinningsstasjon POI types: recycling-batteries recycling-clothes recycling-glass_bottles recycling-green_waste recycling-paper recycling-plastic recycling-scrap_metal amenity-recycling-centre  #organicmaps android 2026.03.12-2-FDroid",2,0,norgis,"The location is exact, as the area encompasses both the point for households as well as for commercial entities: https://www.openstreetmap.org/way/173032112"
5258785,Norge,61.0335190,10.5176985,2026-04-20 00:00:00,2026-04-22 19:54:08,2,Unknown,'Place just reopened' OSM snapshot date: 2026-04-04T03:36:32Z POI name: Nedre Berg Gård POI types: tourism-hotel  #organicmaps android 2026.04.07-8-Google,2,0,Unknown,
5259516,Norge,59.3189107,11.0207700,2026-04-21 00:00:00,2026-04-22 10:36:15,1,richlv,Steps,2,0,Oskarst_,Added
5259524,Norge,59.3188275,11.0210597,2026-04-21 00:00:00,2026-04-22 10:36:10,1,richlv,Footway,2,0,Oskarst_,Added
5029852,Norge,60.3254100,10.4293510,2025-10-30 00:00:00,2026-04-22 10:11:23,174,Unknown,Mittlerweile Asphalt,2,0,FennecusZerda,Looking correct. Changed and closing.
5120298,Norge,63.4007504,10.3975645,2026-01-06 00:00:00,2026-04-22 09:07:55,106,daven255,"'tunnel is closed, non passable' OSM snapshot date: 2023-01-21T19:25:03Z POI has no name POI types: hwtag-yesfoot highway-path-tunnel  #organicmaps android 2025.12.16-16-FDroid",2,0,norgis,The tunnel is open
5258762,Norge,59.9101701,10.7251789,2026-04-20 00:00:00,2026-04-21 17:44:24,1,Unknown,"'Edited to capital first letter, as they write it themselves on their website. Added Floor. Added website.' OSM snapshot date: 2026-04-04T03:36:32Z POI name: Backstube POI types: shop-bakery  #organicmaps ios 2026.04.07-8-ios",2,0,Fjellrev,Updated by you. Thanks.
5258713,Norge,59.9410943,10.7290130,2026-04-20 00:00:00,2026-04-21 17:41:07,1,Unknown,'Info pulled from website and verified by checking Apple Maps.' OSM snapshot date: 2026-04-04T03:36:32Z POI name: Pancetta Pizza Ullevål POI types: amenity-restaurant cuisine-italian_pizza  #organicmaps ios 2026.04.07-8-ios,2,0,Fjellrev,https://www.openstreetmap.org/note/5258682
5258725,Norge,59.9410943,10.7290130,2026-04-20 00:00:00,2026-04-21 17:38:41,1,Unknown,'Info pulled from website and verified by checking Apple Maps.' OSM snapshot date: 2026-04-04T03:36:32Z POI name: Pancetta Pizza Ullevål POI types: amenity-restaurant cuisine-italian_pizza  #organicmaps ios 2026.04.07-8-ios,2,0,Fjellrev,https://www.openstreetmap.org/note/5258682
