note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4854793,Ísland,64.0571258,-19.2436817,2025-07-14 00:00:00,2026-01-16 13:18:41,186,yelisey90,'name=Sómahús' OSM snapshot date: 2025-06-08T00:18:23Z POI has no name POI types: building  #organicmaps android,2,0,StVeit_Maps,Added
1013762,Ísland,64.0054434,-21.8566293,2017-05-30 00:00:00,2026-01-07 11:29:38,3144,samely,Can someone confirm if this path exists?,2,0,Martin Ligabue,"while possibly not official, lots of strava users go through this, I adjusted the offset and some parts, according to the majority of tracks"
5108398,Ísland,63.8144393,-22.7036535,2025-12-28 00:00:00,2026-01-07 11:26:04,10,einekleineEnte,'paid parking' OSM snapshot date: 2025-12-14T02:16:23Z POI has no name POI types: amenity-parking  #organicmaps android 2025.12.16-16-Google,2,0,Martin Ligabue,thanks
2526058,Ísland,63.4409287,-20.2698934,2021-02-05 00:00:00,2025-12-29 14:49:28,0,Mamutinka,"Forwarding anonymous report from #Mapy.cz user, please verify: The Brothers Brewery isn´t there.",2,0,Wanderer2000,The Brothers Brewery is not/ no longer mapped here
4290529,Ísland,65.9394246,-16.5423073,2024-06-13 00:00:00,2025-12-29 14:35:45,0,Unknown,New viewing point with paved walking path to it.,3,0,Wanderer2000,Viewpoint and path are already mapped
928554,Ísland,65.9834772,-17.4194108,2017-03-15 00:00:00,2025-12-29 14:30:04,0,rutildG,Æðafossar (OSM data version: 2017-02-15T16:20:03Z) #mapsme,2,0,Wanderer2000,already mapped nearby
2066641,Ísland,65.6848029,-18.1198829,2020-01-23 00:00:00,2025-12-29 14:25:25,0,Stalfur,"Need to split the building up for 3d modelling (height, color).  We have license to use imagery provided by ja.is https://ja.is/kort/?d=hashid%3AMb5xL&x=540463&y=576721&z=8&ja360=1&type=map&jh=195.4",4,1,Wanderer2000,"People are free to do 3d mapping for any building, so this note can be closed"
1785839,Ísland,65.6924311,-18.1077433,2019-05-20 00:00:00,2025-12-29 14:22:06,0,axline,This building is new and it's not yet on any publicly available imagery. Its position is approximate and needs to be specified. The address is correct though.,3,0,Wanderer2000,Building seems to be correct
1116667,Ísland,65.9568066,-23.1124044,2017-08-25 00:00:00,2025-12-29 14:16:25,0,freakyuser,Gästebuch,4,0,Wanderer2000,imo not relevant to be mapped
2997676,Ísland,65.6268197,-23.8257494,2022-01-05 00:00:00,2025-12-29 14:14:23,0,Unknown,There is a groserystore here,2,0,Wanderer2000,Convenience store is already mapped here
4084234,Ísland,64.9241000,-23.2565300,2024-01-24 00:00:00,2025-12-29 14:10:31,0,Tajtrdlik,"'Forwarding anonymous report from #Mapy.cz user, please verify: 'There is located Valeria Specialty Coffee'.  https://www.openstreetmap.org/way/203800030",2,0,Wanderer2000,already mapped
4828130,Ísland,64.7599644,-23.8801647,2025-06-27 00:00:00,2025-12-29 14:08:43,0,Gianmarco Brocchi,'Street temporarily closed to cars' OSM snapshot date: 2025-06-08T00:18:23Z POI name: Dritvíkurvegur POI types: psurface-paved_bad hwtag-nocycleway hwtag-nosidewalk highway-secondary  #organicmaps android,2,0,Wanderer2000,temporary closures are generally not mapped.
4604319,Ísland,64.7291502,-23.8016668,2025-01-27 00:00:00,2025-12-29 14:08:17,0,Fel_x3510,'Raketenleuchtturm' OSM snapshot date: 2024-07-23T19:32:09Z POI name: Malarrif POI types: place-locality  #organicmaps android,2,0,Wanderer2000,"The lighthouse is already mapped, more to the south"
2835281,Ísland,64.8442128,-22.6530908,2021-09-04 00:00:00,2025-12-29 14:05:36,0,Marco Fogg,'Snaefellsnes Visite Center' POI has no name POI types: amenity-toilets OSM data version: 2021-07-29T10:41:28Z  #organicmaps,2,0,Wanderer2000,Tourist information centre is already mapped
4812038,Ísland,64.3210000,-22.0609000,2025-06-18 00:00:00,2025-12-29 13:58:32,0,Unknown,Akranes,2,0,Wanderer2000,not useful note
3868482,Ísland,64.3204200,-22.0681100,2023-09-03 00:00:00,2025-12-29 13:58:00,0,kremkex,"The store here is Módel, it used to be affiliated with Tölvulistinn but that ended many years ago. Módel does not sell computers any longer.",2,0,Wanderer2000,Name has already been updated
1901337,Ísland,64.3177748,-22.0823252,2019-08-26 00:00:00,2025-12-29 13:57:29,0,xDeedy,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-07-15T17:38:02Z) #mapsme",2,0,Wanderer2000,Not sure what this note is referring to. The closed POI has been updated more recently than this note.
1249470,Ísland,64.1654067,-21.6971064,2017-12-26 00:00:00,2025-12-29 13:55:10,0,gillisig,'Not fast food but fish market.' POI name: Fiskbúðin POI types: amenity-fast_food OSM data version: 2017-12-08T15:42:02Z  #mapsme,2,0,Wanderer2000,already mapped
3991396,Ísland,64.1655200,-21.7149900,2023-11-17 00:00:00,2025-12-29 13:54:44,0,elvarb,Update needed to add newly built houses and road,2,0,Wanderer2000,houses and roads have already been mapped
4623470,Ísland,64.1496810,-21.9433530,2025-02-11 00:00:00,2025-12-29 13:50:21,0,cEvLGWiQ,Online sources shows that this restaurant is no longer in business. It is now an Indian cuisine restaurant.,2,0,Wanderer2000,has already been updated
3841437,Ísland,64.1334354,-21.9288146,2023-08-18 00:00:00,2025-12-29 13:47:56,0,Crsi,Completed street with sidewalks on both sides  via StreetComplete 53.3  Attached photo(s): https://westnordost.de/p/169013.jpg,2,0,Wanderer2000,has already been mapped
4238278,Ísland,64.1295000,-21.9406000,2024-05-09 00:00:00,2025-12-29 13:46:51,0,Unknown,Aug 9 - land,2,0,Wanderer2000,unclear what this means
3474088,Ísland,64.2366831,-21.6567525,2022-12-11 00:00:00,2025-12-16 17:25:20,0,Yan Bakhmat,"'Місто знаходиться зовсім в іншому місці.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2022-11-19T09:11:52Z POI name: Reykjavíkurborg POI types: place-city-capital-2 place-city-capital-6  #organicmaps",2,0,Yan Bakhmat,
4830082,Ísland,63.9905022,-16.4536730,2025-06-28 00:00:00,2025-12-06 18:04:41,0,Sébastien Pi,path on that way (POV?)  #OsmAnd,2,0,Sébastien Pi,Got it on aerial view
4854814,Ísland,65.5965756,-23.9875953,2025-07-14 00:00:00,2025-12-06 16:56:31,0,PlayGuide,"Il existe ici une aire de jeux (structure, slide, climbingframe, zipwire, swing, basketswing) signalée via l'appli #PlayGuide :  https://playguide.eu/app/playground/6b119518-d126-462b-b4d6-c714ab2208b3",2,0,cpa8,ok
4372004,Ísland,64.1545985,-21.9441320,2024-08-07 00:00:00,2025-12-02 02:37:42,0,MichaP,Unable to answer 'Is this still here?' – Íslenski sjávarklasinn (Quasi-NGO Office) – https://osm.org/node/2963718533 via StreetComplete 58.2:  Sjavar Klasinn - Ocean Cluster House  a marine innovation hub with over 50 enterprises.,2,0,たかちょ,
4961726,Ísland,64.0635103,-21.9636050,2025-09-14 00:00:00,2025-11-27 09:58:58,0,crataegus,Unable to answer 'What’s the surface here?' – on bridge: Foot Path – https://osm.org/way/222827396 via StreetComplete 61.3:  This isn't a path or bridge. Its a pipe or structural member for securing the other end of the jetty,2,0,martin-kokos,Removed. Leaving the other path assuming it's access to the pier.
702983,Ísland,64.0848363,-21.9573876,2016-09-06 00:00:00,2025-11-27 09:56:28,0,Kjarrval,Bus stop approx. here.,4,0,martin-kokos,Already added https://www.openstreetmap.org/node/11935496437/history
702986,Ísland,64.0892162,-21.9820812,2016-09-06 00:00:00,2025-11-27 09:55:56,0,Kjarrval,Bus stop approx. here.,2,0,martin-kokos,Already added https://www.openstreetmap.org/node/11935496431/history
4680868,Ísland,64.0822177,-21.8901211,2025-03-24 00:00:00,2025-11-27 09:52:52,0,Crsi,"Here is a map of the disc golf course, facing south  via StreetComplete 60.2  Attached photo(s): https://streetcomplete.app/p/267443.jpg",2,0,martin-kokos,Already mapped https://www.openstreetmap.org/node/7016700143/history
4884224,Ísland,65.6466460,-16.8221766,2025-07-30 00:00:00,2025-11-25 09:25:22,0,alš,Not possible to drive onto from road. Not a parking.  #OsmAnd,2,0,Kookykooky,
4837065,Ísland,63.9247626,-20.6753569,2025-07-03 00:00:00,2025-11-21 02:21:47,0,Pan Perníček,"Forwarding anonymous report from #mapycom user, please verify: Fee is 750 ISK.  https://www.openstreetmap.org/way/499530221",2,0,Marida Denofsky,
4857029,Ísland,64.0482842,-16.1792043,2025-07-15 00:00:00,2025-11-20 06:35:51,0,yelisey90,"'move the building to the place of Heimahumar Langoustine, move both fast foods a bit to the north' OSM snapshot date: 2025-06-08T00:18:23Z POI has no name POI types: building fee-no wheelchair-yes amenity-toilets  #organicmaps android",4,1,yelisey90,relocated the building & the rest
4857027,Ísland,64.0481355,-16.1789414,2025-07-15 00:00:00,2025-11-20 06:31:48,0,yelisey90,'Fancy Sheep now' OSM snapshot date: 2025-06-08T00:18:23Z POI has no name POI types: amenity-fast_food  #organicmaps android,4,0,yelisey90,fixed
4857028,Ísland,64.0479535,-16.1788127,2025-07-15 00:00:00,2025-11-19 08:55:50,0,yelisey90,'+soup' OSM snapshot date: 2025-06-08T00:18:23Z POI has no name POI types: amenity-fast_food cuisine-hotdog  #organicmaps android,2,0,Tomas09,https://www.openstreetmap.org/changeset/174848735#map=19/64.048292/-16.179278&layers=N
3888560,Ísland,64.0125742,-16.3626240,2023-09-14 00:00:00,2025-11-19 08:45:15,0,Cody Swanson,Unable to answer 'What surface does this piece of road have?' for https://osm.org/way/48743949 via StreetComplete 53.3:  Road no longer accessible,2,0,Tomas09,https://www.openstreetmap.org/changeset/174848330#map=15/64.01234/-16.36625&layers=N
3742030,Ísland,64.0159810,-16.3666839,2023-06-19 00:00:00,2025-11-19 08:45:11,0,mrmaxguns,Unable to answer 'Do you have to pay to use this restroom?' for https://osm.org/way/722967294 via StreetComplete 53.1:  Restrooms are paid for general public but free for boat customers,2,0,Tomas09,https://www.openstreetmap.org/changeset/174848330#map=15/64.01234/-16.36625&layers=N
1934376,Ísland,64.7250942,-16.6537648,2019-09-21 00:00:00,2025-11-19 08:35:02,0,Reisemobilist,"'has moved' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-parking OSM data version: 2019-08-30T18:41:13Z  #mapsme",2,0,Tomas09,👌
3424742,Ísland,64.7104480,-20.8010727,2022-11-02 00:00:00,2025-10-31 02:52:33,0,Pan Perníček,"Forwarding anonymous report from #Mapy.cz user, please verify: There's a waterfall.",2,0,Ybizu,
1749553,Ísland,64.5850092,-20.7903371,2019-04-18 00:00:00,2025-10-30 20:33:14,0,sdana,Abzweig piste 551 zum Langjökull (OSM data version: 2016-06-20T05:57:02Z) #mapsme,3,0,Kay Klotzsche,"Yes, current OSM is correct. I was there in August."
