note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3589982,India,9.6074951,76.5311512,2023-03-08 00:00:00,2026-04-24 08:21:38,1143,nitro_expander,"'Shifted from here , delete this. I added this few years ago' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2023-02-10T21:44:03Z POI name: City Driving School POI types: building amenity-driving_school  #organicmaps",2,0,nitro_expander,
4866268,India,13.2387744,74.9829313,2025-07-20 00:00:00,2026-04-24 04:19:04,278,Unknown,Sanjeevin Clinical Laboratory Shree Vasudev Arcade Jodursthe kukkundoor Hebri Road Karkal 576117,5,1,BaboucheVerte,already here  Lien OSM: https://www.openstreetmap.org/node/13047602660
5136090,India,9.5897620,76.5025654,2026-01-20 00:00:00,2026-04-24 01:24:04,94,Vipinchacko,The small portion of land marked as road on northern side ofcmy house is by mistake i think. It doesn't exist. Please remove.,5,1,Vipinchacko,
5235828,India,26.8477724,80.9453845,2026-04-05 00:00:00,2026-04-23 19:22:47,18,contrapunctus,Revert the move of this building,2,0,contrapunctus,
1969918,India,13.2114821,75.9940789,2019-10-22 00:00:00,2026-04-23 16:08:43,2375,benzea,"Gate for pedestrians and cars, seems like voth are usully locked",2,0,BaboucheVerte,"yes, added"
1969946,India,13.2107788,75.9955866,2019-10-22 00:00:00,2026-04-23 16:08:42,2375,benzea,There are some ruins here,2,0,BaboucheVerte,"yes, mapped"
5262607,India,18.5664410,82.1564906,2026-04-23 00:00:00,2026-04-23 13:11:49,0,Unknown,"“Correct village name is Sindhabeda, not Sindhalbeda",4,1,Unknown,
4264108,India,13.1359370,75.9990265,2024-05-25 00:00:00,2026-04-23 12:50:37,698,muzirian,'fix school position' OSM snapshot date: 2023-12-13T18:30:01Z POI has no name POI types: amenity-school  #organicmaps android,2,0,BaboucheVerte,done in https://www.openstreetmap.org/changeset/181717002
5262578,India,18.5667343,82.1540810,2026-04-23 00:00:00,2026-04-23 12:45:47,0,Unknown,"“Correct village name is Sindhabeda, not Sindhalbeda",6,1,Unknown,
4841443,India,13.0120059,76.1064202,2025-07-06 00:00:00,2026-04-23 12:30:44,291,Unknown,"This my home, as per google search it’s saved as Home (Parijatha House)",2,0,BaboucheVerte,"this is private info, unless this is the official name of this building ?"
3882482,India,28.5751166,77.1990261,2023-09-11 00:00:00,2026-04-23 12:24:00,955,DeepakKumar891,"'Place Does Not Exist' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2023-08-14T02:00:17Z POI name: Shri Vinayak Mandir Marg POI types: highway-tertiary  #organicmaps android",3,0,BaboucheVerte,"in the middle of construction, but still exists"
3747229,India,28.5328717,77.1065188,2023-06-23 00:00:00,2026-04-23 10:35:20,1035,BaboucheVerte,bridge construction,7,1,BaboucheVerte,
5165812,India,28.6246474,77.2297156,2026-02-13 00:00:00,2026-04-23 09:41:40,69,Disaster2life,Unable to answer 'How many car lanes does this road have?' – Vakeel Lane (Residential Road) – https://osm.org/way/24583593 via StreetComplete 62.2:  it is a two way street with no marked lanes,2,0,BaboucheVerte,in SC yiu have the answer 'no marked lanes'.
4554208,India,28.6252536,77.2232097,2024-12-17 00:00:00,2026-04-23 09:40:42,492,muzirian,add goethe institut  #OsmAnd,2,0,BaboucheVerte,already mapped  Lien OSM: https://www.openstreetmap.org/way/446856060
4025934,India,28.6149229,77.1892400,2023-12-13 00:00:00,2026-04-23 09:28:13,862,stof999,add closed gate,2,0,BaboucheVerte,Lien OSM: https://www.openstreetmap.org/node/3209387300
3557763,India,28.6144900,77.1979400,2023-02-13 00:00:00,2026-04-23 09:27:37,1165,Anish9534,Name of Mughal Garden has been changed by Government.  New name is Amrit Udyan. So I request you to please update the name of this Garden. Google map already did it. I repeat New name is Amrit Udyan.  Thank You.,3,0,BaboucheVerte,already done
5154210,India,28.6032492,77.1981812,2026-02-04 00:00:00,2026-04-23 09:26:31,78,Unknown,Shikargah-Kushak mahal,2,0,BaboucheVerte,name added: https://www.openstreetmap.org/changeset/181708159
5262209,India,23.8314301,91.2868139,2026-04-23 00:00:00,2026-04-23 09:19:36,0,Unknown,MOTOR STAND CHOWMUHANI,2,0,Unknown,
