note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3238229,Indonesia,-6.5305261,106.8354211,2022-06-24 00:00:00,2026-04-24 03:18:20,1400,kruget,bridge,2,0,FajrAl,it will be added when someone mapped the waterway later. closing note
2356270,Indonesia,-6.5137074,106.8751292,2020-09-20 00:00:00,2026-04-24 03:17:28,2042,Unknown,alamat pondok citeureup indah,2,0,FajrAl,spam
2356262,Indonesia,-6.5142618,106.8761748,2020-09-20 00:00:00,2026-04-24 03:17:23,2042,Unknown,ini alamat yang benar,2,0,FajrAl,spam
2356259,Indonesia,-6.5152037,106.8770818,2020-09-20 00:00:00,2026-04-24 03:17:15,2042,Unknown,Pondok citeureup indah,2,0,FajrAl,closing note
3376706,Indonesia,-6.5003128,106.8787336,2022-09-28 00:00:00,2026-04-24 03:16:59,1304,Unknown,SSWP,2,0,FajrAl,unclear notes
2786335,Indonesia,-6.4883310,106.8724144,2021-08-04 00:00:00,2026-04-24 03:16:43,1724,SDIT AR-RIYADL,"Sekolah Dasar Islam Terpadu Ar-Riyadlul Arief, Menyiapkan generasi Islam Qur'ani",2,0,FajrAl,closing note
1778134,Indonesia,-6.4978611,106.8580699,2019-05-14 00:00:00,2026-04-24 03:16:25,2537,Unknown,Perum Visar 2,2,0,FajrAl,added
3754853,Indonesia,-6.4906800,106.8305500,2023-06-28 00:00:00,2026-04-24 03:16:05,1031,Ikinds,"Disini terdapat kedai kopi bernama Tiga Makna Coffee, lokasi ini sudah dibuat di google namun belum muncul di Instagram",4,1,FajrAl,added
1778095,Indonesia,-6.4893997,106.8498328,2019-05-14 00:00:00,2026-04-24 03:15:37,2537,Unknown,Balai Diklat Geospasia BIG,2,0,FajrAl,closing note
1778172,Indonesia,-6.4902338,106.8491113,2019-05-14 00:00:00,2026-04-24 03:15:28,2537,Unknown,Biro UK,2,0,FajrAl,closing note
1778140,Indonesia,-6.4921420,106.8459892,2019-05-14 00:00:00,2026-04-24 03:15:17,2537,Unknown,masjid Assyada LIPI,2,0,FajrAl,closing note
1778135,Indonesia,-6.4990870,106.8551141,2019-05-14 00:00:00,2026-04-24 03:15:09,2537,Unknown,SMP N 4 Cibinong,2,0,FajrAl,closing note
1778136,Indonesia,-6.4974347,106.8546903,2019-05-14 00:00:00,2026-04-24 03:15:04,2537,Unknown,SD N Sempora 2,2,0,FajrAl,closing note
1778138,Indonesia,-6.5000890,106.8523461,2019-05-14 00:00:00,2026-04-24 03:14:55,2537,Unknown,SD N Sempora 1,2,0,FajrAl,closing note
1778111,Indonesia,-6.4908734,106.8594968,2019-05-14 00:00:00,2026-04-24 03:14:47,2537,Unknown,jalan Melati Raya,2,0,FajrAl,closing note
1778097,Indonesia,-6.4923872,106.8597114,2019-05-14 00:00:00,2026-04-24 03:14:04,2537,Unknown,Jalan Kenanga III,3,0,FajrAl,closing note
1778114,Indonesia,-6.4926004,106.8604302,2019-05-14 00:00:00,2026-04-24 03:13:59,2537,Unknown,Jalan Mawar III,2,0,FajrAl,closing note
1778113,Indonesia,-6.4923605,106.8603122,2019-05-14 00:00:00,2026-04-24 03:13:54,2537,Unknown,Jalan Mawar II,2,0,FajrAl,closing note
1778112,Indonesia,-6.4921153,106.8602532,2019-05-14 00:00:00,2026-04-24 03:13:48,2537,Unknown,jalan Mawar I,2,0,FajrAl,closing note
1778099,Indonesia,-6.4914491,106.8596739,2019-05-14 00:00:00,2026-04-24 03:13:41,2537,Unknown,Perum Visar Indah Pratama,2,0,FajrAl,closing note
1778133,Indonesia,-6.4921047,106.8610203,2019-05-14 00:00:00,2026-04-24 03:13:30,2537,Unknown,Masjid Khalid bin Walid Visar 1,2,0,FajrAl,closing note
1778098,Indonesia,-6.4926643,106.8597436,2019-05-14 00:00:00,2026-04-24 03:13:19,2537,Unknown,Jalan Kenanga IV,3,0,FajrAl,closing note
1890714,Indonesia,-6.4773071,106.8262154,2019-08-19 00:00:00,2026-04-24 03:12:31,2440,Bang ogan,"'Sudah pindah' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: SAMSAT KABUPATEN BOGOR POI types: office-government OSM data version: 2019-06-21T10:47:15Z  #mapsme",2,0,FajrAl,closing note
1940746,Indonesia,-6.4463000,106.8915000,2019-09-27 00:00:00,2026-04-24 03:12:04,2401,Unknown,Susah untuk di geser kan,2,0,FajrAl,spam
1940744,Indonesia,-6.4462000,106.8915000,2019-09-27 00:00:00,2026-04-24 03:11:59,2401,Unknown,Susah untuk di geser kan,2,0,FajrAl,spam
