note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3991453,Timor-Leste,-9.2467203,124.3459422,2023-11-17 00:00:00,2026-04-19 07:14:56,884,Mateusz Konieczny,"name=Loja Bangunan https://www.openstreetmap.org/way/1199546613  shop=convenient shop ? What kind of shop, if any is here? Is it shop=convenience?  (see https://wiki.openstreetmap.org/wiki/Tag:shop%3Dconvenience )",11,1,FajrAl,I think it's solved
1950648,Timor-Leste,-8.4497880,126.7290115,2019-10-06 00:00:00,2026-04-19 07:13:24,2387,Wikipedia Kontor HH,Seit 2015 neue Grenzziehung,2,0,FajrAl,Closing.
3463824,Timor-Leste,-8.4355265,126.4958954,2022-12-01 00:00:00,2026-04-19 07:13:03,1235,Unknown,Tunjukan nomor hp +67075926267 yang hilang suda dua hari,2,0,FajrAl,Closing.
2192564,Timor-Leste,-8.5510981,125.5720139,2020-05-14 00:00:00,2026-04-19 07:12:39,2166,filinski,nothing here please delete poi,2,0,FajrAl,fixed
2174941,Timor-Leste,-8.5502706,125.5697232,2020-04-28 00:00:00,2026-04-19 07:12:30,2182,filinski,no pool here since a few years. please delete.,2,0,FajrAl,fixed
2073537,Timor-Leste,-8.5554321,125.5757260,2020-01-30 00:00:00,2026-04-19 07:11:19,2271,filinski,anz banks no longer exist in Timor,2,0,FajrAl,fixed
2174929,Timor-Leste,-8.5513421,125.5721533,2020-04-28 00:00:00,2026-04-19 07:08:23,2182,filinski,Nothing here,2,0,FajrAl,Closing.
2084607,Timor-Leste,-8.5499151,125.5697608,2020-02-10 00:00:00,2026-04-19 07:03:55,2260,filinski,closed not here,2,0,FajrAl,Closing.
2073536,Timor-Leste,-8.5524190,125.5735373,2020-01-30 00:00:00,2026-04-19 07:02:52,2271,filinski,not a cave entrance!,2,0,FajrAl,deleted
1936196,Timor-Leste,-8.2166720,125.6122680,2019-09-23 00:00:00,2026-04-19 06:57:50,2400,Benita S,Wrong location,2,0,FajrAl,deleted
1685840,Timor-Leste,-8.5581057,125.5162239,2019-02-19 00:00:00,2026-04-19 06:57:17,2616,Unknown,Save Zona 1,2,0,FajrAl,Closing.
1597779,Timor-Leste,-8.2644914,125.5475700,2018-11-23 00:00:00,2026-04-19 06:57:06,2704,joshua_mcdougall,Hard to tell if this building outline is accurate.,2,0,FajrAl,moved
1597776,Timor-Leste,-8.2640829,125.5491315,2018-11-23 00:00:00,2026-04-19 06:56:01,2704,joshua_mcdougall,Do these roads currently exist?,2,0,FajrAl,It's not here anymore
1597758,Timor-Leste,-8.2576567,125.5464250,2018-11-23 00:00:00,2026-04-19 06:55:33,2704,joshua_mcdougall,Assumption: Road goes under this object.,2,0,FajrAl,fixed
1456152,Timor-Leste,-8.5486844,125.5868411,2018-07-16 00:00:00,2026-04-19 06:53:20,2834,TheSwavu,Duplicate?,2,0,FajrAl,fixed
1182123,Timor-Leste,-8.6394072,125.5260944,2017-10-22 00:00:00,2026-04-19 06:49:57,3101,Unknown,fatisi vilage,2,0,FajrAl,added
