note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3009045,الإمارات العربية المتحدة,23.0000000,54.0000000,2022-01-13 00:00:00,2026-01-17 12:55:22,1465,Unknown,tfhus sd,2,0,Hetisbakkerijdepinknietdegier,
5127714,الإمارات العربية المتحدة,25.4148904,55.5036324,2026-01-13 00:00:00,2026-01-15 15:52:17,2,Unknown,Mango Supermarket  #OsmAnd,2,0,CrumblyClient,"Yeah, added it, just the placement was off, its before the roads inside City Life Mall."
5098042,الإمارات العربية المتحدة,25.4169636,55.5045261,2025-12-19 00:00:00,2026-01-15 15:22:43,27,CrumblyClient,"Horizon University Collage, add this university, verify from Google Maps.   #OsmAnd",2,0,CrumblyClient,"Added the university, and uploaded it relative information. Thank You!."
5126327,الإمارات العربية المتحدة,25.2045290,55.1503700,2026-01-12 00:00:00,2026-01-12 10:28:56,0,Unknown,"Business: Trebletree Website: https://trebletree.co/ Category: Digital Marketing / Web Design / SEO Agency   Description: We specialize in building long-term, sustainable visibility, and credibility online through SEO, content marketing, website design, website development, and user experience optimization. Through strategic development of high-quality content, we help brands make their best impression online.",2,0,Taya_S,Resolving spam note without hiding. Attempt to contact this SEO company and see whether they are behind this wave of spam notes at this location.
5120574,الإمارات العربية المتحدة,25.2614817,55.2915643,2026-01-07 00:00:00,2026-01-07 21:22:21,0,s-tikhomirov,'Nepalese' OSM snapshot date: 2025-12-27T02:09:53Z POI name: Variety Momo Simrik POI types: amenity-restaurant  #CoMaps android 2025.12.28-2-Google,2,0,map per,"Thanks, added the cuisine"
5119302,الإمارات العربية المتحدة,25.3243838,55.4007454,2026-01-06 00:00:00,2026-01-07 12:28:38,1,CrumblyClient,traffic signal  #OsmAnd,2,0,CrumblyClient,"Added the Crossing With Pedestrian Signals, and traffic signal."
5119303,الإمارات العربية المتحدة,25.3152556,55.3964195,2026-01-06 00:00:00,2026-01-07 12:22:46,1,CrumblyClient,building under construction  #OsmAnd,2,0,CrumblyClient,The building has been added which is under construction.
5119305,الإمارات العربية المتحدة,25.3085419,55.3912536,2026-01-06 00:00:00,2026-01-07 12:17:44,1,CrumblyClient,"Texas Equipment Trading, Shop  #OsmAnd",2,0,CrumblyClient,This has been added and was seen by driving through this place.
5119304,الإمارات العربية المتحدة,25.3124396,55.3939546,2026-01-06 00:00:00,2026-01-07 12:16:06,1,CrumblyClient,"Adnoc Oasis Petrol Station Shopping Store, slightly more expensive then a regular shopping store.   #OsmAnd",2,0,CrumblyClient,This was done by drive through this place.
5119306,الإمارات العربية المتحدة,25.3128433,55.3945324,2026-01-06 00:00:00,2026-01-07 12:13:36,1,CrumblyClient,"National Paints, Shop for Paint 🎨   #OsmAnd",2,0,CrumblyClient,"Added to this place, also this done by drive through this area."
