note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5084889,Κύπρος - Kıbrıs,35.1726981,33.3623687,2025-12-09 00:00:00,2026-01-14 21:14:09,36,Mr Probot,"'this is a restaurant, not a cafe' OSM snapshot date: 2025-11-23T18:39:39Z POI name: Piatsa Gourounaki POI types: internet_access-wlan toilets-yes amenity-cafe cuisine-greek  #organicmaps android 2025.11.26-5-FDroid",2,0,Monolo23,👌
3721583,Κύπρος - Kıbrıs,35.1569682,32.7879345,2023-06-05 00:00:00,2026-01-13 12:38:28,953,Unknown,This area should be shown as a military zone; at least it was fenced off for being so when we went there this week.,2,0,mappinglander,Already marked as military?
5092110,Κύπρος - Kıbrıs,35.2245384,33.6252276,2025-12-15 00:00:00,2026-01-13 12:37:48,29,andreaschar15,"'Illegally occupied by Tutkey since 1974. Not internationally recognized.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-23T18:39:39Z POI name: Kuzey Kıbrıs Türk Cumhuriyeti POI types: place-country  #organicmaps android 2025.11.26-5-Google",2,0,mappinglander,
1313189,Κύπρος - Kıbrıs,34.6955900,33.0554900,2018-02-28 00:00:00,2025-12-26 04:04:05,0,Unknown,Sfika Creative Studio,2,0,Phenix Milena,
5073649,Κύπρος - Kıbrıs,34.7164557,33.1447649,2025-11-30 00:00:00,2025-12-18 10:35:12,0,Unknown,can you remove the icons for the map,4,1,Layft Greater,duplicate of https://www.openstreetmap.org/note/5073650
5093410,Κύπρος - Kıbrıs,34.6748985,33.0446364,2025-12-16 00:00:00,2025-12-16 08:11:36,0,nave88,No parking. Building under construction.  via StreetComplete 62.1,2,0,nave88,Updated parking to building under construction.
5093411,Κύπρος - Kıbrıs,34.6740449,33.0454976,2025-12-16 00:00:00,2025-12-16 08:09:03,0,nave88,"Entrance to parking, because it is behind a fence.  via StreetComplete 62.1",2,0,nave88,Added
5093407,Κύπρος - Kıbrıs,34.6753904,33.0435091,2025-12-16 00:00:00,2025-12-16 08:04:25,0,nave88,"Foot path, tunnel  via StreetComplete 62.1",2,0,nave88,It is already defined as an indoor corridor.
5091931,Κύπρος - Kıbrıs,34.8925100,32.3357200,2025-12-15 00:00:00,2025-12-15 07:40:09,0,Villa Filip Coral Bay,"Saint Georges Avenue 168,Peyia,Paphos",4,1,Villa Filip Coral Bay,
5090267,Κύπρος - Kıbrıs,35.1457555,33.3610392,2025-12-13 00:00:00,2025-12-13 18:50:52,0,nave88,This gate is permanently closed.  via StreetComplete 62.0,2,0,nave88,The gate is already defined as 'locked=yes'. Nothing is done.
5090268,Κύπρος - Kıbrıs,35.1680166,33.3629594,2025-12-13 00:00:00,2025-12-13 18:48:42,0,nave88,Speed hump  via StreetComplete 62.0,2,0,nave88,Added
5075478,Κύπρος - Kıbrıs,34.6748716,33.0432998,2025-12-01 00:00:00,2025-12-01 18:06:05,0,nave88,1 direction to west  via StreetComplete 62.0,2,0,nave88,Already defined.
5075479,Κύπρος - Kıbrıs,34.7027678,33.0470416,2025-12-01 00:00:00,2025-12-01 18:03:14,0,nave88,"1 direction, towards East  via StreetComplete 62.0",2,0,nave88,Already defined.
1962074,Κύπρος - Kıbrıs,34.7201000,33.1444000,2019-10-14 00:00:00,2025-11-30 12:19:48,0,Unknown,Amathus Gardens,2,0,CHRYSTALLA IOANNIDOU,
