note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5112584,Dominica,15.2749740,-61.3720000,2025-12-31 00:00:00,2025-12-31 16:13:16,0,floissacj,Engineer's Office,2,0,floissacj,
3504961,Dominica,15.2471900,-61.3274900,2023-01-04 00:00:00,2025-12-30 11:06:05,0,Benoît PHILIPPE,Ce chemin n'existe plus,2,0,floissacj,
3504969,Dominica,15.2484800,-61.3273600,2023-01-04 00:00:00,2025-12-30 11:05:03,0,Benoît PHILIPPE,Chemin inexistant,3,1,floissacj,
4822769,Dominica,15.5440223,-61.2918797,2025-06-24 00:00:00,2025-07-20 11:02:50,0,Unknown,SITE,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'SITE'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
3542563,Dominica,15.5199849,-61.4313692,2023-02-03 00:00:00,2025-06-22 20:49:20,0,Mo99,Teehouse (Bar),2,0,cuzi,added
3542564,Dominica,15.5201715,-61.4323379,2023-02-03 00:00:00,2025-06-22 20:49:15,0,Mo99,Gate,2,0,cuzi,"Closing this not, because someone else has added the gate"
4417527,Dominica,15.4181577,-61.4274648,2024-09-03 00:00:00,2025-05-24 18:14:12,0,Unknown,Caribbean Sea View Holiday Apartments,2,0,cuzi,added
4670328,Dominica,15.3234475,-61.3525181,2025-03-18 00:00:00,2025-03-29 19:50:46,0,Dr3sco,'Guest House' POI name: Guest House POI types: tourism-guest_house OSM data version: 2024-10-09T17:32:19Z  #mapsme,2,0,NeisBot,"Hi Dr3sco, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Guest House' (tourism=guest_house) https://osm.org/node/12677134601  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped"
4677370,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-29 19:23:10,0,Ama Dominica,'Jeff's Water Sports' POI name: Jeff's Water Sports POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"Hi Ama Dominica, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Jeff's Water Sports' (shop=outdoor) https://osm.org/node/12692259001  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped"
4677378,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-29 19:23:10,0,Ama Dominica,POI has no name POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"Hi Ama Dominica, Thank you for your contribution!   I've reviewed OSM and noticed that the following element with a name already exists:  'Jeff's Water Sports' (shop=outdoor) https://osm.org/node/12692259001  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped"
4677371,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-29 19:23:10,0,Ama Dominica,'Jeff's Water Sports & healing' POI name: Jeff's Water Sports & healing POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"Hi Ama Dominica, Thank you for your contribution!   I've reviewed OSM and noticed that the following element with a different name already exists:  'Jeff's Water Sports' (shop=outdoor) https://osm.org/node/12692259001  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped"
4678739,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-23 17:36:03,0,Ama Dominica,'Jeff's Water Sports' POI name: Jeff's Water Sports POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4677370  Therefore, it will be closed.  #DuplicateNote"
4678738,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-23 17:36:03,0,Ama Dominica,POI has no name POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4677378  Therefore, it will be closed.  #DuplicateNote"
4677382,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-23 03:21:03,0,Ama Dominica,'Jeff's Water Sports & Healing' POI name: Jeff's Water Sports & Healing POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4677371  Therefore, it will be closed.  #DuplicateNote"
4677381,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-23 03:21:03,0,Ama Dominica,'Jeff's Water Sports' POI name: Jeff's Water Sports POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4677370  Therefore, it will be closed.  #DuplicateNote"
4677380,Dominica,15.5829662,-61.4613349,2025-03-23 00:00:00,2025-03-23 03:21:02,0,Ama Dominica,'Jeff's Water Sports' POI name: Jeff's Water Sports POI types: shop-outdoor OSM data version: 2025-01-17T15:34:13Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/4677370  Therefore, it will be closed.  #DuplicateNote"
4633754,Dominica,15.3342600,-61.3297500,2025-02-19 00:00:00,2025-02-19 17:23:18,0,Freddy Flintstone,Sisserou River Lodge,4,1,Freddy Flintstone,
4626421,Dominica,15.5139502,-61.2773010,2025-02-13 00:00:00,2025-02-19 07:11:30,0,Flow38,"'I saw with the owner this place doesn't exist anymore ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-11-22T15:57:19Z POI name: Chez louisette et nanichi POI types: tourism-camp_site  #organicmaps android",3,0,pitscheplatsch,"Corrected the mentioned element, thanks! You can find my changes here: https://osm.org/changeset/162688068"
