note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5130962,República Dominicana,19.3940200,-70.5299250,2026-01-15 00:00:00,2026-01-15 20:47:23,0,Unknown,"aqui tengo mi negocio bryanphotord , no en san victor",4,1,Unknown,
4909856,República Dominicana,18.6640092,-68.4297792,2025-08-14 00:00:00,2026-01-13 03:06:25,152,Jose Valenzuela,"'I can't edit the shape, nor add the type of plugs available for the chargers, but they have around 20 different chargers here.' OSM snapshot date: 2025-08-04T05:22:58Z POI name: Evergo Connect POI types: amenity-charging_station  #CoMaps android",2,0,Guvani,"Asuntos que no atañen a un mapa, ponerlo en los detalles del hotel"
4541130,República Dominicana,18.5993443,-68.4202713,2024-12-02 00:00:00,2026-01-13 03:04:57,407,checofc,IMBORNAL,4,1,Guvani,no relevante
5058758,República Dominicana,18.6031400,-68.7014200,2025-11-18 00:00:00,2026-01-13 03:02:47,56,margalran,Batey Haiti Chiquito,2,0,Guvani,"No hay bateyes en las ciudades, sería un barrio y ya está definido"
5115581,República Dominicana,18.3528861,-68.8296434,2026-01-03 00:00:00,2026-01-03 15:03:06,0,Radiotea,'The street is called Calle Paseo Del Lago' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: highway-residential  #CoMaps android 2025.12.28-2,2,0,map per,"Thanks, added the name"
5102647,República Dominicana,18.6008820,-68.4138500,2025-12-23 00:00:00,2025-12-23 15:15:21,0,Serena Village Punta Cana,"Serena Village Map, Serena Village, Carretera 106, Punta Cana 23000 - SerenaVillage.NET",2,0,Serena Village Punta Cana,
5087588,República Dominicana,18.4961897,-69.7774369,2025-12-11 00:00:00,2025-12-18 15:24:06,0,Chardinson,'Helados Bon' POI name: Helados Bon POI types: amenity-ice_cream OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"Hi Chardinson, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Helados Bon' (amenity=ice_cream) https://osm.org/node/13370103402  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
4781722,República Dominicana,18.4501430,-69.9711272,2025-05-30 00:00:00,2025-12-07 13:52:55,0,ChrissW-R1,https://osm.org/way/464591481  Which language is meant with the tag language:sp? For Spanish please use language:es.  Added in https://osm.org/changeset/66510822,2,0,ChrissW-R1,https://osm.org/changeset/175624617
5079069,República Dominicana,19.3060150,-69.5470160,2025-12-04 00:00:00,2025-12-05 13:59:57,0,Unknown,1,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4985829,República Dominicana,18.8521760,-69.5690510,2025-09-30 00:00:00,2025-11-18 18:41:36,0,Unknown,RINCON NARANJO CANAAN,2,0,margalran,
5054619,República Dominicana,18.4628890,-69.9445710,2025-11-15 00:00:00,2025-11-15 20:52:32,0,Miguel,Torre Anna Paula IV Calle Rafael F. Bonnelly,2,0,Miguel,
4986144,República Dominicana,18.4321536,-68.9924884,2025-10-01 00:00:00,2025-11-07 18:00:21,0,Unknown,cerrado,2,0,Guvani,Resuelto
5037145,República Dominicana,19.2185930,-70.5254160,2025-11-04 00:00:00,2025-11-04 01:58:32,0,carmen nunez,LAVANDERIA EME LAVANDERIA DRY CLEANING,8,1,carmen nunez,
