note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5133135,Ayiti,19.7458425,-72.2115683,2026-01-17 00:00:00,2026-01-17 22:53:08,0,Unknown,Route 2e Cité,2,0,Unknown,
5133133,Ayiti,19.7449305,-72.2105916,2026-01-17 00:00:00,2026-01-17 22:51:42,0,Unknown,Eglise Notre Dame de Perpétuel Secours,2,0,Unknown,
2344484,Ayiti,18.5545700,-72.3182400,2020-09-11 00:00:00,2026-01-09 17:53:24,1946,Unknown,Église du Christ de Delmas,4,1,Unknown,
1997008,Ayiti,18.5382965,-72.3204127,2019-11-15 00:00:00,2026-01-09 17:44:12,2247,Xapitoun,n217,3,1,Unknown,retirer les croix
5115024,Ayiti,19.6706576,-72.1260513,2026-01-02 00:00:00,2026-01-02 22:56:03,0,Renel augustin,In context of overlay 'Buildings' – house number inconnu : Commercial Building – https://osm.org/way/211289475 via StreetComplete 62.0:  Une morgue,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5113936  Therefore, it will be closed.  #DuplicateNote"
4748769,Ayiti,18.4534760,-72.2861230,2025-05-08 00:00:00,2025-10-28 13:57:25,0,Unknown,PLATON CAFE,2,0,NeisBot,Same as note https://osm.org/note/4748665 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
1877979,Ayiti,18.5470444,-72.3995057,2019-08-10 00:00:00,2025-10-28 13:39:24,0,Xapitoun,ombelle,2,0,NeisBot,Same as note https://osm.org/note/1670717 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
4998455,Ayiti,18.5673820,-72.3281370,2025-10-09 00:00:00,2025-10-10 09:42:27,0,Unknown,Location of where accident happened.,2,0,cuzi,Personal note
2720,Ayiti,18.5162119,-72.2910100,2013-05-13 00:00:00,2025-08-12 13:16:36,0,jaakkoh,Also Rue Lambert -- and buildings around it has been moved to match the badly aligned Bing imagery from 2010. This is grossly against what GPS traces uploaded to OSM show -- and what has been mapped before well. .. @Serge: This has to be fixed -- everywhere where the mistake has happened!,6,1,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was ''  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
