note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4830245,Cuba,22.6291063,-83.7088738,2025-06-28 00:00:00,2026-01-17 18:44:14,203,Chrystel2000,Auberge de jeunesse 'JMC Viñales OM Stay' Belle maison avec magnifique vue sur le parc national et donc les Mogotes. Très grand espace vert autour de l'auberge à disposition des hôtes. www.jmcvinalesaventura.com,2,0,Chrystel2000,
5101793,Cuba,22.6290790,-83.7088730,2025-12-22 00:00:00,2026-01-17 18:43:59,26,Chrystel2000,JMC Viñales OM Stay Casa particular Hostal & Auberge de jeunesse,3,0,Chrystel2000,
5120248,Cuba,20.2075134,-77.3606318,2026-01-06 00:00:00,2026-01-17 16:19:41,11,DAVIAS,POI has no name POI types: shop-variety_store OSM data version: 2025-06-06T15:20:16Z  #mapsme,2,0,NeisBot,"Hi DAVIAS, Thank you for your contribution!   I've reviewed OSM and noticed that the following element with a name already exists:  'Ranchón el trienfo' (shop=variety_store) https://osm.org/node/13378709401  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5120134,Cuba,20.2074164,-77.3613454,2026-01-06 00:00:00,2026-01-17 16:19:40,11,DAVIAS,'El Triunfo' POI name: El Triunfo POI types: cuisine-barbecue cuisine-chicken cuisine-fish cuisine-grill amenity-restaurant OSM data version: 2025-06-06T15:20:16Z  #mapsme,2,0,NeisBot,"Hi DAVIAS, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'El Triunfo' (amenity=restaurant) https://osm.org/node/13383316601  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
5090487,Cuba,20.0351456,-75.8554271,2025-12-14 00:00:00,2026-01-14 21:14:45,31,Alexeis87,Base Transporte Transcontenedores  #OsmAnd,2,0,Acimut,Actualizado
5090481,Cuba,20.0366860,-75.8530710,2025-12-14 00:00:00,2026-01-14 21:14:38,31,Alexeis87,Empresa Transtur Santiago,2,0,Acimut,Actualizado
5090485,Cuba,20.0386361,-75.8582354,2025-12-14 00:00:00,2026-01-14 21:14:33,31,Alexeis87,Servicentro AUSA  #OsmAnd,2,0,Acimut,Actualizado
5083971,Cuba,20.0339138,-75.8398783,2025-12-08 00:00:00,2026-01-14 21:14:22,37,Alexeis87,Talleres Mercedes Benz   #OsmAnd,2,0,Acimut,Actualizado
4587169,Cuba,22.4103700,-79.9601280,2025-01-13 00:00:00,2026-01-13 00:02:16,365,Brn@123+-,Este lugar ha cambiado de nombre recién.,2,0,Acimut,Actualizado
4850694,Cuba,22.4103888,-79.9601376,2025-07-12 00:00:00,2026-01-13 00:02:12,185,Brn@123+-,el nombre del establecimiento no es correcto   #OsmAnd,3,0,Acimut,Actualizado
3035210,Cuba,19.8977658,-75.1097196,2022-02-02 00:00:00,2026-01-12 03:10:06,1440,Nearby0051,Is this up to date?  Ground survey seems unlikely but volunteers are welcome,2,0,dannmer,updated
5124811,Cuba,19.9034500,-75.0962920,2026-01-10 00:00:00,2026-01-12 02:32:39,2,cuzi,tourism=attraction seems like wrong tagging,2,0,ICT_maps,reverted to its previous state
1068276,Cuba,19.9327272,-75.1314694,2017-07-17 00:00:00,2026-01-10 23:44:31,3099,yurasi,Can someone please confirm whether 'Marine hill' is located here? Thank you.,2,0,cuzi,added
5124816,Cuba,22.5056070,-79.4699430,2026-01-10 00:00:00,2026-01-10 23:42:52,0,CripplingClown,111,2,0,CripplingClown,
5124814,Cuba,22.5058120,-79.4698510,2026-01-10 00:00:00,2026-01-10 23:41:39,0,CripplingClown,109,2,0,CripplingClown,
1061984,Cuba,19.9244866,-75.1409376,2017-07-12 00:00:00,2026-01-10 23:39:06,3104,yurasi,"Can someone please confirm and add if this building is 'Guantanamo Bay Tiki Bar'? Please, update the map accordingly if yes.  Thank you.",2,0,cuzi,added
5124807,Cuba,22.5052175,-79.4701982,2026-01-10 00:00:00,2026-01-10 23:30:47,0,CripplingClown,C. E,7,1,CripplingClown,Error
