note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5092085,Papua Niugini,-9.0650390,143.2096768,2025-12-15 00:00:00,2026-01-07 09:59:32,23,Neiman Kennim,'topographs of water terrain' OSM snapshot date: 2025-11-23T18:39:39Z POI name: Daru POI types: tourism-viewpoint  #organicmaps android 2025.11.26-5-Google,2,0,topius,"Deleted note, as it is unclear what it refers to."
5085565,Papua Niugini,-9.4674660,147.1903880,2025-12-09 00:00:00,2026-01-07 09:54:33,29,Unknown,Sub Lieutenant Haichim Rodney,2,0,topius,Please refrain from posting Personal information.
5101428,Papua Niugini,-8.0681421,147.9801884,2025-12-22 00:00:00,2026-01-07 09:53:17,16,dav07eli,this where Manau Health Centre is located next to the Primary School on Anglican church Land,2,0,topius,Thank you for this suggestion. I have added the Health Centre. Please keep posting missing points of interest.
5086712,Papua Niugini,-2.6391323,152.0240177,2025-12-11 00:00:00,2025-12-26 15:12:26,0,Mateusz Konieczny,https://www.openstreetmap.org/way/1265676845/history has building = 7  What this tag means? Numeric value is unexpected here and it is unclear what it means,2,0,PizzaTreeIsland,The other silos here have height tags so I guess they put it into the wrong line here. I fixed it.
5090660,Papua Niugini,-7.4999838,142.0000031,2025-12-14 00:00:00,2025-12-19 09:18:40,0,Neiman Kennim,'Lake murray' OSM snapshot date: 2025-11-23T18:39:39Z POI name: Western Province POI types: place-state  #organicmaps ios 2025.11.26-5-ios,3,0,topius,"That's not Lake Murray. Lake Murray is where it has alway been, further to the northwest."
5090661,Papua Niugini,-6.9757722,141.4946443,2025-12-14 00:00:00,2025-12-19 09:16:37,0,Neiman Kennim,"The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-23T18:39:39Z POI name: Lake Murray POI types: natural-water-lake  #organicmaps ios 2025.11.26-5-ios",2,0,topius,"Lake Murray has always existed, and still exists. It is the largest lake in Papua New Guinea, after all. The water level might fluctuate by quite a lot, increasing during wet and decreasing during dry season, but that's about it."
5078164,Papua Niugini,-6.6704000,147.0187000,2025-12-04 00:00:00,2025-12-04 02:09:03,0,user_23576047,Lae District St John Ambulance Station.,2,0,user_23576047,
5078155,Papua Niugini,-6.6694000,147.0170000,2025-12-04 00:00:00,2025-12-04 02:06:39,0,Unknown,"The St John Ambulance Station in Lae District is a vital facility, serving as the second busiest station in the National St John Ambulance network and providing emergency care across Lae and surrounding Morobe Districts. Electorate  Estimated Population  Total YTD  %   Morobe - Huon (Wampar LLG)  137,824                  1,823   16%   Morobe – Lae (Ahi Rural & Lae Urban LLGs)   224,983                  7,592   68%   Morobe - Nawae (Labuta Rural LLG)  24,545                  1,740   16%  Total  387,352                11,155   100%",2,0,user_23576047,
5057798,Papua Niugini,-5.9891989,145.4112625,2025-11-18 00:00:00,2025-11-21 09:00:34,0,Unknown,House location,2,0,topius,No houses visible on aerial pictures.
5057799,Papua Niugini,-5.9881281,145.4139519,2025-11-18 00:00:00,2025-11-21 09:00:27,0,Unknown,House location,2,0,topius,No houses visible on aerial pictures.
