note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5075850,Akrotiri and Dhekelia,34.5683990,32.9319826,2025-12-02 00:00:00,2025-12-03 15:57:03,0,Unknown,This is penis chapped,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
5057492,Akrotiri and Dhekelia,34.9809658,33.7917574,2025-11-17 00:00:00,2025-11-17 20:25:15,0,nave88,5.40m hight below bridge  via StreetComplete 61.3,2,0,nave88,Added
5054634,Akrotiri and Dhekelia,34.6720786,32.8639300,2025-11-15 00:00:00,2025-11-15 21:31:14,0,nave88,Closed gate  via StreetComplete 61.3,2,0,nave88,Added
5054633,Akrotiri and Dhekelia,34.6728071,32.8648467,2025-11-15 00:00:00,2025-11-15 21:28:57,0,nave88,2 parking places for disabilities  via StreetComplete 61.3,2,0,nave88,Added
5054638,Akrotiri and Dhekelia,34.6728465,32.8645849,2025-11-15 00:00:00,2025-11-15 21:27:49,0,nave88,This path does not exist for cars  via StreetComplete 61.3,2,0,nave88,Removed
4699672,Akrotiri and Dhekelia,35.0042485,33.7835468,2025-04-07 00:00:00,2025-10-15 14:03:29,0,rhhs,"Compacted surface here, doesn't look like tertiary road  via StreetComplete 60.3",4,1,Layft Greater,Marked as unclassified & updated surfaces of roads in the area based on aerial
4171643,Akrotiri and Dhekelia,34.6695852,32.9266382,2024-03-28 00:00:00,2025-08-21 11:44:39,0,DareDJ,Our users indicate this street name is: 'Koumantarias'. We cannot find any available sources to verify this information. Can any local mapper confirm this? #msftopenmaps,4,1,clouca,The street is indeed Koumantarias. I confirm
4699033,Akrotiri and Dhekelia,35.0073479,33.8068025,2025-04-06 00:00:00,2025-04-14 10:31:44,0,rhhs,Compacted surface here  via StreetComplete 60.3,2,0,rhhs,"all this way seems to be compacted, not asphalt, judging by aerial images, so made the change"
4512284,Akrotiri and Dhekelia,34.6686000,32.8819100,2024-11-08 00:00:00,2025-02-05 14:03:48,0,poolover,Paragliding Take Off,2,0,Layft Greater,already mapped https://www.openstreetmap.org/node/9787391848
2338627,Akrotiri and Dhekelia,34.6212013,32.9993248,2020-09-07 00:00:00,2024-09-26 16:29:21,0,Mateusz Konieczny,"https://www.openstreetmap.org/relation/3263728#map=13/34.6212/32.9993 - is it actually a separate country? I would expect it to be tagged as a part of UK, with admin_level not equalling to 2 (but with UK border marked here).",6,1,PeachyOne,"Analogous borders, such as the one of Gibraltar, are tagged as admin level 2. Although primarily a British military base, it does have a distinct legal system and administration to the UK."
2355402,Akrotiri and Dhekelia,34.5810680,32.9669881,2020-09-19 00:00:00,2024-09-17 05:32:00,0,Unknown,This is cut de sac is Tangmere Court,2,0,nikolasolopepsi,
1419533,Akrotiri and Dhekelia,35.0831777,33.9004319,2018-06-08 00:00:00,2024-04-17 08:20:25,0,Liam Binder,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: aeroway-aerodrome OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,Layft Greater,
3793491,Akrotiri and Dhekelia,34.9819942,33.7767762,2023-07-22 00:00:00,2024-04-09 19:29:50,0,Layft Greater,services area,2,0,Layft Greater,
4142658,Akrotiri and Dhekelia,34.6649345,32.9351883,2024-03-07 00:00:00,2024-03-08 10:14:34,0,Geovelo_Notes,Parking vélos solaire ? (This note has been created from Geovelo : http://amenagements-cyclables.fr/fr/contributions/62190),3,0,Geovelo_Notes,
1953526,Akrotiri and Dhekelia,35.0868495,33.8863380,2019-10-08 00:00:00,2024-01-20 10:55:18,0,scai,This gate (https://www.openstreetmap.org/node/5644469223) has no access restrictions. Is it open by default for all or some traffic?,2,0,Layft Greater,permissive
3953595,Akrotiri and Dhekelia,34.9774700,33.7077700,2023-10-22 00:00:00,2024-01-16 07:44:47,0,jpennycook,possible dragged node in the country boundary? https://www.openstreetmap.org/node/20877995,2,0,Layft Greater,was a vandalism fixed
3503773,Akrotiri and Dhekelia,34.6459895,32.9348660,2023-01-04 00:00:00,2024-01-16 06:39:32,0,Unknown,Current Package Location,2,0,Layft Greater,spam
1413487,Akrotiri and Dhekelia,35.0374495,33.7068073,2018-06-02 00:00:00,2023-12-20 11:15:35,0,Resuvj,'Погранпереход' POI has no name POI types: barrier-border_control OSM data version: 2018-05-12T22:49:02Z  #mapsme,2,0,Layft Greater,https://www.openstreetmap.org/node/3006895533
1763572,Akrotiri and Dhekelia,35.0218256,33.7607932,2019-05-01 00:00:00,2023-12-20 11:14:12,0,Unknown,Duomo cafe bar house,2,0,Layft Greater,
1474977,Akrotiri and Dhekelia,35.0253040,33.7833163,2018-08-02 00:00:00,2023-12-20 11:12:57,0,Anna Doylova,'Запчасти б/у' POI has no name POI types: shop-car_parts OSM data version: 2018-01-10T08:12:02Z  #mapsme,2,0,Layft Greater,
91866,Akrotiri and Dhekelia,35.0250281,33.7789625,2013-12-28 00:00:00,2023-12-20 11:12:47,0,Unknown,ATM coop Achnas,2,0,Layft Greater,Coop bank is closed. No street imagery to verify if the ATM is still present
2801161,Akrotiri and Dhekelia,34.6632381,32.8930874,2021-08-13 00:00:00,2023-03-21 09:44:39,0,Layft Greater,max 45 kmh,2,0,Layft Greater,
3058987,Akrotiri and Dhekelia,34.6170988,33.0054297,2022-02-20 00:00:00,2023-03-21 08:43:44,0,Layft Greater,construction site,2,0,Layft Greater,
2812842,Akrotiri and Dhekelia,34.9931684,33.7610387,2021-08-20 00:00:00,2023-03-04 10:07:20,0,wemissyou,pepsi  via StreetComplete 33.2,2,0,wemissyou,mapped
3246735,Akrotiri and Dhekelia,34.5871319,32.9369795,2022-06-30 00:00:00,2022-06-30 18:47:28,0,Layft Greater,no facility,2,0,Layft Greater,
3236373,Akrotiri and Dhekelia,34.6651348,32.8784010,2022-06-22 00:00:00,2022-06-29 21:57:39,0,Layft Greater,changing room,2,0,Layft Greater,
3152689,Akrotiri and Dhekelia,34.6650030,32.8785497,2022-04-26 00:00:00,2022-06-29 21:57:28,0,Layft Greater,lifeguard,2,0,Layft Greater,
483335,Akrotiri and Dhekelia,34.9816760,33.7364924,2015-12-15 00:00:00,2022-04-06 20:28:07,0,Unknown,Dhekelia Sailing Club,2,0,Layft Greater,
3050257,Akrotiri and Dhekelia,34.9716813,33.8291486,2022-02-13 00:00:00,2022-02-13 17:14:41,0,localh0rzd,add parking 15x,2,0,localh0rzd,
2619113,Akrotiri and Dhekelia,34.6641500,32.8880200,2021-04-12 00:00:00,2021-09-17 13:26:21,0,Unknown,Kourion,2,0,wemissyou,already mapped
278872,Akrotiri and Dhekelia,34.6015499,32.9529333,2014-12-01 00:00:00,2021-02-01 22:55:10,0,Unknown,Δημοτικο Ακρωτηριου,2,0,Khyta,
1662170,Akrotiri and Dhekelia,34.5975838,32.9517655,2019-01-26 00:00:00,2020-09-07 09:09:21,0,Russkii,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: tourism-artwork OSM data version: 2018-12-13T07:12:02Z  #mapsme",2,0,Mateusz Konieczny,"Looks like tagging quarry as artwork, I will fix it."
2203313,Akrotiri and Dhekelia,34.5866352,32.9393007,2020-05-23 00:00:00,2020-05-27 12:56:25,0,amarao,bug,2,0,amarao,
640554,Akrotiri and Dhekelia,35.0267339,33.8018734,2016-07-24 00:00:00,2020-02-03 14:43:30,0,Ofer Koren,Racing Circuit (OSM data version: 2016-07-15T17:38:02Z) #mapsme,2,0,freebeer,on the map
2068856,Akrotiri and Dhekelia,34.6642100,32.8879700,2020-01-25 00:00:00,2020-01-25 21:46:27,0,Eвгeний,"Античный театр, одна из главных достопримечательностей среди сохранившихся развалин греческого города Курион.   Театр Куриона возвели греки во II в. до н. э. Первоначально это было относительно небольшое сооружение, вся конструкция состояла из массивных блоков известняка и была обращена к морю (как и в большинстве прибрежных городов). На сцене ставили классические пьесы: Эсхила, Софокла, Еврипида, Аристофана и других авторов.  В 77 году нашей эры город был разрушен землетрясением; пострадал и театр. Вскоре его восстановили, украсили (в том числе колоннами) и расширили. Теперь он вмещал примерно 3500 зрителей и служил не только для представления пьес, но и для собраний. В начале III века театр превратили в арену для гладиаторских боев, но к концу века вернули первоначальное назначение.  В 365 году постройку полностью разрушило землетрясение, потом здание забросили и разворовали. В V веке каменное сооружение превратили в каменоломню. Большинство зрительских мест, украшения проходов, великолепная конструкция сцены и удивительная колоннада исчезли.  Найденный в 1949—50 годах театр восстановили в 1961 году. Несмотря на то что ему не хватает былого величия, он вполне функционален. В наше время в летние месяцы тут устраивают представления греческих трагедий.",2,0,Eвгeний,
1539500,Akrotiri and Dhekelia,34.6666547,32.8619793,2018-09-24 00:00:00,2018-11-09 11:01:07,0,Dimitri_Junker,"street blocked, only pedestrians",2,0,Dimitri_Junker,
1090629,Akrotiri and Dhekelia,34.6126080,33.0054260,2017-08-03 00:00:00,2018-10-22 11:27:26,0,Elena Bazueva,'Виндсерф станция Океания' POI has no name POI types: leisure-fitness_station OSM data version: 2017-07-03T17:28:05Z  #mapsme,2,0,Nathan Silveston,
988160,Akrotiri and Dhekelia,34.6212013,32.9782104,2017-05-07 00:00:00,2018-10-22 11:27:11,0,Unknown,Akrotiri Salt Lake  see: http://www.visitcyprus.com/index.php/en/discovercyprus/nature-3/sites-of-interest/item/283-akrotiri-salt-lake,2,0,Nathan Silveston,
599204,Akrotiri and Dhekelia,34.5828945,32.9827651,2016-06-19 00:00:00,2018-10-22 11:26:16,0,Phil Collins,Astra cinema (OSM data version: 2016-05-10T14:41:03Z) #mapsme,2,0,Nathan Silveston,
584283,Akrotiri and Dhekelia,34.5828945,32.9827651,2016-06-05 00:00:00,2018-06-03 19:25:53,0,Phil Collins,Astra cinema (OSM data version: 2016-05-10T14:41:03Z) #mapsme,2,0,SoNick_RND,Done
1086419,Akrotiri and Dhekelia,34.6645551,32.8790052,2017-07-31 00:00:00,2018-06-03 15:33:17,0,Mark Veselov,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: highway-rest_area OSM data version: 2017-07-03T17:28:05Z  #mapsme",2,0,freebeer,maps.me spam deleted
931466,Akrotiri and Dhekelia,34.9556577,33.8432620,2017-03-18 00:00:00,2018-06-03 14:08:30,0,Rinat Sharafutdinov,"что тут есть? мы туда не доехали так как там полигон военный, об этом сообщают знаки (OSM data version: 2017-02-15T16:20:03Z) #mapsme",3,0,freebeer,nothing at marker
1048817,Akrotiri and Dhekelia,34.9556577,33.8432620,2017-07-01 00:00:00,2018-06-03 14:07:17,0,Vladislav Vladislav,"'нет описания' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: tourism-attraction OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,freebeer,nothing at marker
666790,Akrotiri and Dhekelia,35.0235029,33.7418808,2016-08-11 00:00:00,2017-11-25 03:45:06,0,Anna Doylova,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. (OSM data version: 2016-03-14T15:50:02Z) #mapsme",2,0,freebeer,nothing at marker
482222,Akrotiri and Dhekelia,34.6754115,32.9868793,2015-12-12 00:00:00,2017-10-04 22:21:45,0,Unknown,"Новый адрес Мотор Музея в Лимассоле Epimitheos Str. 3056, Limassol, Cyprus",3,0,freebeer,already moved?  nothing on the map near here
564933,Akrotiri and Dhekelia,34.6110296,32.9556799,2016-05-13 00:00:00,2016-05-17 18:09:26,0,Pavlo Klymenko,xtht,2,0,mavl,Заметка не содержит полезных сведений. Закрыта без внесения изменений в данные OpenStreetMap.      The note does not contain a useful information. The note was closed without the changing OpenStreetMap data.
146377,Akrotiri and Dhekelia,34.6874279,32.8007126,2014-04-06 00:00:00,2016-02-22 12:55:11,0,Cypriote,Die Autobahn A6 wird innerhalb dieser Pinkfarbene gestricheltenen Linien in der Zypern OSM Updatausgabe 201403130 für Android App Mapfactor Navi nicht mehr angezeigt.,2,0,Gero,"probably problem of the used country extract, no problem of data"
