note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2226265,British Antarctic Territory,-64.8315017,-63.3918267,2020-06-12 00:00:00,2026-01-11 15:21:47,2039,Mamutinka,"#Mapy.cz user reports: Monte Pižďuch, http://marekholecek.cz/en/clanek/43-antarktida",4,1,ceperman,
5119938,British Antarctic Territory,-65.0542500,-63.7931400,2026-01-06 00:00:00,2026-01-09 19:10:31,3,Unknown,Hidden Bay,2,0,ceperman,Added to map
2973200,British Antarctic Territory,-65.3833146,-63.8334417,2021-12-16 00:00:00,2025-12-13 08:23:20,0,JhowieNitnek,Belgica Glacier https://en.wikipedia.org/wiki/Belgica_Glacier,8,1,TesIaV0D,
3787353,British Antarctic Territory,-70.9952821,-69.5232010,2023-07-18 00:00:00,2025-12-10 23:26:00,0,Unknown,Plume à paillettes,3,0,Sébastien Pi,Joke
1583056,British Antarctic Territory,-81.0679000,-40.6004000,2018-11-06 00:00:00,2025-07-17 00:53:58,0,Unknown,Base Sobral - Antártida Argentina,3,0,floridaman954,
918974,British Antarctic Territory,-62.9770690,-60.6753010,2017-03-08 00:00:00,2025-05-03 09:16:59,0,Unknown,"Base Antártica Española BAE, Gabriel de Castilla. Falta dibujar los edificios.",3,0,kmpoppe,Already mapped
918970,British Antarctic Territory,-62.6631424,-60.3880048,2017-03-08 00:00:00,2025-05-03 09:16:48,0,Unknown,"Base Antártica Española (BAE) Juan Carlos I, falta dibujar los edificios",5,0,kmpoppe,Already mapped
3529048,British Antarctic Territory,-63.3983000,-56.9961000,2023-01-23 00:00:00,2025-05-03 09:11:58,0,Pablo White,"ESCUELA PROVINCIAL Nº 38 - PRESIDENTE RAÚL RICARDO ALFONSÍN  BASE ANTÁRTICA ESPERANZA , (V9411)",2,0,kmpoppe,Already mapped
3282753,British Antarctic Territory,-62.9954702,-60.5600739,2022-07-25 00:00:00,2025-05-03 09:11:00,0,Unknown,"This strait seems to have the name ‘Neptune's Bellows’ in English and «Fuelles de Neptuno» in Español, see the Wikipedia links at https://www.wikidata.org/wiki/Q2815378 . More geographic names on the island, in various languages, are on maps at https://commons.wikimedia.org/wiki/Category:Maps_of_Deception_Island",2,0,kmpoppe,"Already mapped, with wikidata link."
2649040,British Antarctic Territory,-64.8250682,-63.4939921,2021-05-02 00:00:00,2025-05-03 09:10:08,0,Unknown,Port Lockroy Base A and Penguin Post Office,2,0,kmpoppe,Already mapped at a slightly different place
3498652,British Antarctic Territory,-60.3558100,-46.0049400,2022-12-31 00:00:00,2025-03-14 12:14:59,0,Ellicrum,Karlsen Rock,3,0,Taya_S,Already mapped
3108729,British Antarctic Territory,-74.9965988,-44.9354858,2022-03-28 00:00:00,2024-05-12 16:28:27,0,Unknown,The crash site of ship called endurance,4,0,pitscheplatsch,not useful
3692427,British Antarctic Territory,-63.0998849,-64.6112823,2023-05-16 00:00:00,2023-11-06 18:05:36,0,Unknown,Spotted a mistake or something missing? Let other mappers know so we can fix it. Move the marker to the correct position and type a note to explain the problem.,2,0,Mateusz Konieczny - bot account,Closing note as not containing report of mistakes in OSM data. Note text was 'Spotted a mistake or something missing? Let other mappers know so we can fix it. Move the marker to the correct position and type a note to explain the problem.'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.
3894749,British Antarctic Territory,-75.9714000,-56.9061000,2023-09-18 00:00:00,2023-09-18 07:09:58,0,Unknown,кладмен мудак!!! сказал прикоп 10см  а по итогу всё сожрал медведь и улетел на драконе!!!!!!!((((((((((((((,2,0,Mateusz Konieczny,
3714639,British Antarctic Territory,-61.0769000,-54.4736000,2023-05-31 00:00:00,2023-07-09 08:51:29,0,Unknown,Camp extraterrestre à proximité. (26;13),2,0,Syl,Note sans information utile
1594711,British Antarctic Territory,-61.9999779,-22.9914665,2018-11-20 00:00:00,2023-05-16 06:20:22,0,Radit Jahan,bangladesh,6,1,user_16965345,Invalid.
