note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3435247,Ross Dependency,-84.9684000,-177.6248000,2022-11-10 00:00:00,2025-12-10 23:25:49,0,Unknown,Maison du garde pêche,3,0,Sébastien Pi,…
4981505,Ross Dependency,-77.7584148,166.3624355,2025-09-27 00:00:00,2025-10-03 04:33:41,0,Unknown,Salanamah Bay,2,0,kmpoppe,Nonsense note
4981478,Ross Dependency,-77.8446165,166.6642660,2025-09-27 00:00:00,2025-10-03 04:32:21,0,Unknown,Mc Murdo Station north intersection,2,0,kmpoppe,Nonsense note
4981482,Ross Dependency,-77.8450790,166.6517700,2025-09-27 00:00:00,2025-10-03 04:32:16,0,Unknown,The ice island that is now gone cold,2,0,kmpoppe,Nonsense note
4981492,Ross Dependency,-77.8468570,166.6622320,2025-09-27 00:00:00,2025-10-03 04:32:10,0,Unknown,The Roundabout Dances to the Song 'Believe in Me',2,0,kmpoppe,Nonsense note
4981500,Ross Dependency,-77.8545737,166.6383398,2025-09-27 00:00:00,2025-10-03 04:32:01,0,Unknown,The filming location for the evolution of the ice world,2,0,kmpoppe,Nonsense note
4981504,Ross Dependency,-77.8541410,166.4646292,2025-09-27 00:00:00,2025-10-03 04:31:51,0,Unknown,The cross shows where the airport sank,2,0,kmpoppe,Nonsense note
4981509,Ross Dependency,-76.9516226,166.9513485,2025-09-27 00:00:00,2025-10-03 04:30:53,0,Unknown,Birthplace of Batubai,2,0,kmpoppe,
4981513,Ross Dependency,-74.6600463,-173.2873535,2025-09-27 00:00:00,2025-09-29 15:46:09,0,Unknown,Ampao and Mustutsa Sea,3,0,pitscheplatsch,#nonsense
4889407,Ross Dependency,-77.8470449,166.6619621,2025-08-03 00:00:00,2025-08-20 23:07:28,0,crazycolbster,Unable to answer 'How is this power line attached?' – Power Pole – https://osm.org/node/12752972364 via StreetComplete 61.2:  Attached in multiple ways  Attached photo(s): https://streetcomplete.app/p/295405.jpg,3,0,kabelhaai,Solved by user Kits thanks
4854863,Ross Dependency,-76.8688075,-157.9900503,2025-07-14 00:00:00,2025-07-18 04:52:07,0,Unknown,Is Aaron Mikel Lamers,3,0,NeisReview,
