note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4608512,Territorio Chileno Antártico,-64.5397092,-61.9995609,2025-01-31 00:00:00,2025-12-24 12:24:39,0,katfmy,"'Wrong location. At the shore ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-11-22T15:57:19Z POI has no name POI types: tourism-attraction  #organicmaps android",4,0,JeRock,"This is correct, the Governoren shipwreck is located at the bottom of that bay. It's a tourism attraction and a sailing ship Anchorage area."
4904533,Territorio Chileno Antártico,-78.1274961,-85.5939812,2025-08-11 00:00:00,2025-12-11 11:00:27,0,Mateusz Konieczny,height=2900 at https://www.openstreetmap.org/node/3153654981/history is clearly suspect. What is the intended value? Note that height tag is specified using meters as unit,3,0,Sébastien Pi,ficxed
4905367,Territorio Chileno Antártico,-78.0382802,-85.6214292,2025-08-12 00:00:00,2025-12-11 10:55:17,0,Mateusz Konieczny,height=2600 at https://www.openstreetmap.org/node/3153662362/history is suspect. Was it supposed to be tagged as ele=2600 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,ficed
4905368,Territorio Chileno Antártico,-78.4424981,-85.3580188,2025-08-12 00:00:00,2025-12-11 10:53:36,0,Mateusz Konieczny,height=2100 at https://www.openstreetmap.org/node/3153662421/history is suspect. Was it supposed to be tagged as ele=2100 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,fixed
4905370,Territorio Chileno Antártico,-78.3379992,-85.5170013,2025-08-12 00:00:00,2025-12-11 10:51:56,0,Mateusz Konieczny,height=2500 at https://www.openstreetmap.org/node/3153662957/history is suspect. Was it supposed to be tagged as ele=2500 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,fixed
4905371,Territorio Chileno Antártico,-78.5329971,-85.0250349,2025-08-12 00:00:00,2025-12-11 10:49:28,0,Mateusz Konieczny,height=2700 at https://www.openstreetmap.org/node/3153663155/history is suspect. Was it supposed to be tagged as ele=2700 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,fixed
4905372,Territorio Chileno Antártico,-78.1760005,-85.3370563,2025-08-12 00:00:00,2025-12-11 10:47:31,0,Mateusz Konieczny,height=2600 at https://www.openstreetmap.org/node/3153663267/history is suspect. Was it supposed to be tagged as ele=2600 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,fixed
4905373,Territorio Chileno Antártico,-78.4779973,-85.3000469,2025-08-12 00:00:00,2025-12-11 10:44:17,0,Mateusz Konieczny,height=3100 at https://www.openstreetmap.org/node/3153663277/history is suspect. Was it supposed to be tagged as ele=3100 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,fixed
4907861,Territorio Chileno Antártico,-78.4680035,-85.2490013,2025-08-13 00:00:00,2025-12-11 10:43:31,0,Mateusz Konieczny,height=3000 at https://www.openstreetmap.org/node/3153663566/history is suspect. Was it supposed to be tagged as ele=3000 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,fixed
4944822,Territorio Chileno Antártico,-78.0419997,-85.5670389,2025-09-03 00:00:00,2025-12-11 10:41:46,0,Mateusz Konieczny,https://www.openstreetmap.org/node/3153662390/history  height is definitely wrong tag  maybe it was supposed to be ele indicating elevation in meters?,2,0,Sébastien Pi,fixed
4944823,Territorio Chileno Antártico,-78.1670006,-85.2330228,2025-09-03 00:00:00,2025-12-11 10:37:47,0,Mateusz Konieczny,https://www.openstreetmap.org/node/3153663278/history  height is definitely wrong tag  maybe it was supposed to be ele indicating elevation in meters?,2,0,Sébastien Pi,Fixed
4052908,Territorio Chileno Antártico,-63.4124347,-57.0131841,2024-01-04 00:00:00,2025-12-10 23:26:31,0,Unknown,'埃斯佩兰萨站' OSM snapshot date: 2023-12-13T18:30:01Z POI has no name POI types: natural-bare_rock  #organicmaps android,2,0,Sébastien Pi,MApped
4485083,Territorio Chileno Antártico,-62.9524130,-60.5597305,2024-10-19 00:00:00,2025-12-10 23:25:13,0,Unknown,"La isla Decepción, es Española. Me gustaría que apareciese en el mapa como parte de España; teniendo en cuenta que ahí se encuentran una de las bases científicas más importantes de Europa, la base 'JUAN CARLOS I'.",2,0,Sébastien Pi,No: https://en.wikipedia.org/wiki/Deception_Island
5029307,Territorio Chileno Antártico,-78.0930025,-85.2040094,2025-10-30 00:00:00,2025-12-10 23:21:24,0,Mateusz Konieczny,height=2700 at https://www.openstreetmap.org/node/3153664172/history is suspect. Was it supposed to be tagged as ele=2700 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Sébastien Pi,Fixed
4932080,Territorio Chileno Antártico,-67.5675143,-68.1269717,2025-08-27 00:00:00,2025-10-03 05:34:12,0,Osintclub,罗瑟拉研究站（Rothera Research Station）,2,0,kmpoppe,Already mapped
4981461,Territorio Chileno Antártico,-63.3958018,-56.9975606,2025-09-27 00:00:00,2025-10-03 05:28:27,0,Unknown,Road of the Antartika oldest,2,0,kmpoppe,Nonsense Note
4905369,Territorio Chileno Antártico,-78.5669984,-85.5810134,2025-08-12 00:00:00,2025-08-12 15:11:56,0,Mateusz Konieczny,height=4500 at https://www.openstreetmap.org/node/3153662473/history is suspect. Was it supposed to be tagged as ele=4500 ? See https://wiki.openstreetmap.org/wiki/Key:ele,2,0,Mateusz Konieczny,
4905365,Territorio Chileno Antártico,-78.5669984,-85.5810134,2025-08-12 00:00:00,2025-08-12 04:06:43,0,Mateusz Konieczny,https://www.openstreetmap.org/node/3153662473/history  this is likely peak - and actual local name is missing,2,0,Mateusz Konieczny,
4654664,Territorio Chileno Antártico,-63.2161505,-57.2858047,2025-03-07 00:00:00,2025-07-24 23:06:35,0,Unknown,Inde,2,0,catsparrow,Closing as this is incoherent and means nothing.
4747300,Territorio Chileno Antártico,-62.1973856,-58.9649963,2025-05-07 00:00:00,2025-07-11 23:40:55,0,Unknown,"Comuna de Antartida: se extiende entre los meridianos 53°O y 90°O y los paralelos 60°S y 90°S, capital puerto covadonga  https://es.wikipedia.org/wiki/Ant%C3%A1rtica_(comuna)",4,1,felipeeugenio,"Hola. Es una reivindicación Chilena, al igual que otras de otros paises, pero no se mapean como territorio de un país en OSM.  saludos"
4724472,Territorio Chileno Antártico,-74.8256641,-61.8144035,2025-04-23 00:00:00,2025-06-23 11:14:48,0,Unknown,Lalal,3,0,pitscheplatsch,#nonsense
4776455,Territorio Chileno Antártico,-77.2555407,-77.5417294,2025-05-26 00:00:00,2025-05-26 20:09:24,0,Unknown,12012comodín ave,3,0,NeisReview,#misplaced
4723196,Territorio Chileno Antártico,-74.8151995,-61.8121961,2025-04-22 00:00:00,2025-05-18 08:35:09,0,CTF_Osint,Kamlesh{1m@g1ne_sw1mm1n9_h3r3},3,0,NeisReview,#nonsense
4599587,Territorio Chileno Antártico,-63.1600650,-60.2765580,2025-01-24 00:00:00,2025-05-17 06:55:48,0,Unknown,isla decepcion,2,0,Syl,Already in the database: https://www.openstreetmap.org/relation/2986747
4613028,Territorio Chileno Antártico,-62.2137950,-58.8149643,2025-02-03 00:00:00,2025-02-03 21:02:55,0,finchsonginafoggymorning,тояка4,4,1,finchsonginafoggymorning,
4613027,Territorio Chileno Antártico,-62.2107539,-59.0552902,2025-02-03 00:00:00,2025-02-03 21:01:12,0,finchsonginafoggymorning,точка3,2,0,finchsonginafoggymorning,
4613026,Territorio Chileno Antártico,-62.1458583,-59.0463638,2025-02-03 00:00:00,2025-02-03 21:00:23,0,finchsonginafoggymorning,точка 2,2,0,finchsonginafoggymorning,
4613018,Territorio Chileno Antártico,-62.1465800,-58.8262900,2025-02-03 00:00:00,2025-02-03 20:59:27,0,finchsonginafoggymorning,точка1,2,0,finchsonginafoggymorning,
4516451,Territorio Chileno Antártico,-62.2246763,-58.7774348,2024-11-12 00:00:00,2024-11-12 01:02:19,0,Sungho,KS3,2,0,Sungho,
4492882,Territorio Chileno Antártico,-70.7877007,-75.1152420,2024-10-24 00:00:00,2024-10-24 18:49:54,0,Unknown,There's a college named Antarctica State here and millions of mole people go to it and are enrolled.,3,0,pitscheplatsch,#nonsense
4327381,Territorio Chileno Antártico,-68.7796000,-64.0355000,2024-07-10 00:00:00,2024-07-10 10:52:37,0,Unknown,Yyyyyyyyhsggshbb💧💧🇬🇬🇬🇬💧💧💧💧🎡💧💧💧💧💧💧💧💧💧💧,3,0,pitscheplatsch,not useful
4140432,Territorio Chileno Antártico,-69.0516000,-65.4604053,2024-03-05 00:00:00,2024-03-05 13:50:22,0,Timothé Godinat,"Land of TIMOTHE GODINAT, do not enter, danger of polar bears",2,0,pitscheplatsch,not helpful
4114183,Territorio Chileno Antártico,-73.8902000,-82.0796000,2024-02-15 00:00:00,2024-02-16 13:07:34,0,Unknown,👸🏻🏄🏻‍♀️-⛵🌟🛸🧜🏻‍♀️🧚🏻‍♀️+💙🐬🐋🌋🏝-💃🏼🏫⭐-🧛🏻‍♀️WB-10+ABC+ZDF#🌍🌞✈-🏫🚀,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
3596308,Territorio Chileno Antártico,-77.0575531,-89.5464116,2023-03-13 00:00:00,2023-03-14 07:28:00,0,Unknown,Your mom,2,0,GeoMechain,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
1960462,Territorio Chileno Antártico,-79.4375011,-88.9497757,2019-10-13 00:00:00,2022-02-07 20:16:14,0,Unknown,7493,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
123647,Territorio Chileno Antártico,-85.0283304,-89.6484375,2014-02-23 00:00:00,2016-12-26 21:04:34,0,Unknown,"Não tem no mapa a Rua Professor Reinaldo dos Santos em Lisboa tal como Largo Carlos selvagem, largo Pedro Correia Marques,  largo samwell Dinis, largo Maurício de Oliveira tudo em Lisboa.",2,0,erickdeoliveiraleal,
381800,Territorio Chileno Antártico,-84.1606047,-84.1006851,2015-06-17 00:00:00,2015-06-19 20:33:12,0,Unknown,'Country Inn &amp; Suites By Carlson. Tallahassee I-10 East. Fl' is placed in Antarctica for some reason. I have no idea why. This is an error.,2,0,py_berrard,No hotel here.
