note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5123418,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,25.6476811,-12.7025805,2026-01-09 00:00:00,2026-01-17 15:42:15,8,Elpastor-ibra,'أوليتيس' OSM snapshot date: 2025-12-14T02:16:23Z POI has no name POI types: waterway-river  #organicmaps ios 2025.12.22-1-ios,3,0,pitscheplatsch,
2694459,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,35.0998000,-3.5915000,2021-06-01 00:00:00,2026-01-15 15:29:39,1689,Unknown,Igueriben,2,0,Unknown,
3578372,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,35.0898003,-3.7214792,2023-02-28 00:00:00,2026-01-15 15:26:37,1052,Pan Perníček,"Forwarding anonymous report from #Mapy.cz user, please verify: There's historic building Tamzida nqan.",2,0,Unknown,
231035,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,33.2281000,-8.5234900,2014-08-27 00:00:00,2026-01-14 08:46:14,4158,Unknown,Nessuna svolta a sinistra  Reported using Wisepilot map reporter,2,0,Mateusz Konieczny,marked already by oneway
5125836,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,34.0044540,-6.8430800,2026-01-11 00:00:00,2026-01-11 22:14:25,0,Unknown,al medina,2,0,Unknown,
5124141,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,32.2761220,-5.6489840,2026-01-10 00:00:00,2026-01-10 12:46:00,0,Unknown,المرجو تسمية هذا المكان بإسم (إكــاســن ikassen) قرية,3,1,Unknown,
1327593,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,35.8852866,-5.4867483,2018-03-14 00:00:00,2026-01-09 14:41:59,2858,andrigrob,'Bushaltestelle' POI name: Zone Franche Logistique POI types: landuse-industrial OSM data version: 2018-02-09T21:26:02Z  #mapsme,2,0,Unknown,
5117685,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,31.6483117,-8.0385657,2026-01-04 00:00:00,2026-01-08 06:36:27,4,Unknown,"Study Arabic Morocco : Lessane Arabi Center, Abwab Gueliz 2 Residence N Marrakech, 40000, Marokko  #OsmAnd",2,0,puerki,
5116907,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,29.8258378,-5.7221778,2026-01-04 00:00:00,2026-01-07 21:16:04,3,Unknown,"This place does not exist: 'changer l'adresse ' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: Pharmacie Mhamid صيدلية محاميد POI types: amenity-pharmacy  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Merci, j'ai supprimé l'ancien emplacement."
5120848,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,35.7798699,-5.8143010,2026-01-07 00:00:00,2026-01-07 21:13:41,0,RKUB,"This place does not exist: 'Entrée d'immeuble mais pas de restaurant.' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-17T16:47:22Z POI name: Darna Restaurant POI types: amenity-restaurant  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Merci, j'ai supprimé le restaurant."
5120036,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,27.1457200,-13.2039110,2026-01-06 00:00:00,2026-01-07 15:59:12,1,Unknown,Salon She is beautiful,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
2118033,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,27.1327509,-13.1641036,2020-03-11 00:00:00,2026-01-07 00:26:49,2128,Younes Oubelkace,'Hay Elaouda' POI name: حي العودة POI types: place-neighbourhood OSM data version: 2020-02-09T04:19:23Z  #mapsme,2,0,Conanmangaka,
2118032,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,27.1327509,-13.1641036,2020-03-11 00:00:00,2026-01-07 00:20:31,2128,Younes Oubelkace,'hay alawda' POI name: حي العودة POI types: place-neighbourhood OSM data version: 2020-02-09T04:19:23Z  #mapsme,2,0,Conanmangaka,
2352579,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,27.1172399,-13.1733799,2020-09-17 00:00:00,2026-01-07 00:20:19,1938,Unknown,Lotissement EL WIFAQ,2,0,Conanmangaka,
5120395,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,33.9353610,-6.8504540,2026-01-07 00:00:00,2026-01-07 00:16:57,0,Unknown,طريق مغلق,2,0,Unknown,طريق مغلق
5116248,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,32.8652209,-5.2659079,2026-01-03 00:00:00,2026-01-05 07:52:44,2,akroton-team in dubai,The Language Of Moroco Is Tifnaɣ,2,0,Taya_S,Spam
2022955,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,35.1015500,-3.8422900,2019-12-11 00:00:00,2026-01-04 03:15:40,2216,Unknown,Café tanjawi,3,1,Unknown,
4243642,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,31.5906513,-8.0097628,2024-05-13 00:00:00,2026-01-04 02:54:38,601,kirils,'Riad Aziz' OSM snapshot date: 2024-01-05T19:06:54Z POI has no name POI types: building  #organicmaps ios,2,0,tbo47,added thanks
2287377,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,31.5986978,-7.9992284,2020-07-31 00:00:00,2026-01-04 02:54:37,1983,Elvi234,'Kältester Garten Marrakeschs' POI name: Les Parcs de l'Agdal POI types: place-neighbourhood OSM data version: 2019-09-09T23:32:17Z  #mapsme,3,0,tbo47,https://www.openstreetmap.org/way/685013694
1994490,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,31.6175100,-8.0101100,2019-11-13 00:00:00,2026-01-04 02:54:35,2244,Unknown,Buddha-Bar Marrakech,2,0,tbo47,
1992861,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,31.6173362,-8.0101506,2019-11-12 00:00:00,2026-01-04 02:54:34,2245,Unknown,Nous avons placé le curseur à la bonne géolocalisation.,3,0,tbo47,
