note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3476876,Azərbaycan,40.4754700,50.1592000,2022-12-13 00:00:00,2026-01-08 04:11:52,1122,Unknown,Don Ramino,4,1,Unknown,
5119127,Azərbaycan,40.4873033,50.1666775,2026-01-05 00:00:00,2026-01-05 23:47:52,0,Unknown,Kənan Telecom,2,0,Unknown,
5119118,Azərbaycan,40.4860855,50.1712722,2026-01-05 00:00:00,2026-01-05 23:45:33,0,Unknown,Firuz Aptek,2,0,Unknown,
5119113,Azərbaycan,40.4863588,50.1711327,2026-01-05 00:00:00,2026-01-05 23:45:29,0,Unknown,Emrah Telecom,3,0,Unknown,
5119114,Azərbaycan,40.4862752,50.1706418,2026-01-05 00:00:00,2026-01-05 23:45:21,0,Unknown,Sahibkar,2,0,Unknown,
2812057,Azərbaycan,40.4861579,50.1578396,2021-08-20 00:00:00,2026-01-05 23:43:52,1599,NajafBaku,'Kafe Məhəllə' POI has no name POI types: amenity-cafe OSM data version: 2021-07-29T10:41:28Z  #organicmaps,2,0,Unknown,
5119120,Azərbaycan,40.4870259,50.1657844,2026-01-05 00:00:00,2026-01-05 23:43:36,0,Unknown,N1KİOSK,2,0,Unknown,
5119121,Azərbaycan,40.4843637,50.1613426,2026-01-05 00:00:00,2026-01-05 23:43:20,0,Unknown,Shale Restorant,2,0,Unknown,
5119123,Azərbaycan,40.4874523,50.1595992,2026-01-05 00:00:00,2026-01-05 23:40:05,0,Unknown,Bagim.az Real Estate,2,0,Unknown,
1119501,Azərbaycan,40.3649200,49.9593100,2017-08-28 00:00:00,2026-01-05 07:43:26,3052,Unknown,Xətai Park yaşayış kompleksi,2,0,Shedevri,
5108004,Azərbaycan,40.3939130,49.9334270,2025-12-28 00:00:00,2025-12-28 10:11:34,0,Asif Valiyev,Lavanda Hall şadlıq sarayı,4,1,Asif Valiyev,Lavanda Hall şadlıq sarayı
