note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3784962,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.5795055,14.1066064,2023-07-17 00:00:00,2023-12-14 10:03:58,0,Mateusz Konieczny,https://www.openstreetmap.org/node/330610845   name=unbekannt  maybe   fixme=unknown name   or just leaving empty name tag would be better?,6,0,Protoxenus,"Sorry, I had always thought that the comment referred to the 'Pomeranian Bay' shooting range. When I updated it, I discovered that it was about the wreck. Removed the pointless name 'unknown'."
2533034,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.6135977,14.5062017,2021-02-10 00:00:00,2023-07-23 05:17:34,0,Thgoiter,Hier schneiden sich die Wege https://www.openstreetmap.org/way/578554430 und https://www.openstreetmap.org/way/177862161 . Beide verlaufen nahezu deckungsgleich und bilden beide die Pipeline Nord Stream ab. Kann ein Weg gelöscht werden? Bezieht sich das auf die Pipeline Nord Stream 1 (auch https://www.openstreetmap.org/relation/2006544)?  Weil die noch im Bau befindliche Nord Stream 2 müsste ja m. E. immer neben der Nord Stream 1 laufen.  Für Nord Stream 2 gibt es https://www.openstreetmap.org/way/584456536 (hört aber leider im Meer auf). Wie ist der weitere Verlauf bis Russland?,2,0,b-holdet,Seems to be fixed
3586026,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.4140589,6.6353637,2023-03-05 00:00:00,2023-03-05 21:25:42,0,Unknown,"onosm.org submitted note from a business: Name: TIGER FITNESS CLUB addr:housenumber=Plot no 2 addr:street=Sant Nagar, KARNAL addr:city=Karnal addr:postcode=132001 Phone number: +917082277139 Website: https://tigerfitnessclub-fitnesscenter.business.site/?utm_source=gmb&utm_medium=referral Social Network: @Tigerfitnessclubknl Opening Hours: 5am to 10pm Wheelchair accessibility: unknown Category: Gyms or Fitness Centers Description: Tiger Fitness Club Accepted payment methods:  takeaway=undefined",2,0,kmpoppe,Bogus content
597886,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.4160333,6.6075897,2016-06-18 00:00:00,2022-04-07 09:51:34,0,Mateusz Konieczny,According to http://wiki.openstreetmap.org/wiki/Tag:military%3Ddanger_area it must be also tagged as landuse=military. Either this area or wiki should be changed.  See http://overpass-turbo.eu/s/gRd for detector,3,0,b-holdet,Seems to be solved https://www.openstreetmap.org/way/173486729
2239351,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.3621703,5.9093678,2020-06-23 00:00:00,2022-04-07 09:50:03,0,Unknown,"There are two wind turbines on very close here, probably a duplicate.",2,0,b-holdet,
2239347,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.3112848,5.9098372,2020-06-23 00:00:00,2022-04-07 09:49:53,0,Unknown,"There are two wind turbines on very close here, probably a duplicate.",2,0,b-holdet,
3054806,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.6016547,10.3795052,2022-02-17 00:00:00,2022-02-28 10:27:20,0,Unknown,Dieses   Schießgebiet gibt es laut ELWIS nicht.,2,0,Paulest,
2996901,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.5441000,14.1131000,2022-01-04 00:00:00,2022-01-12 05:14:17,0,Unknown,Schießgebiet Kieler Bucht? Ist wohl eher Pommersche Bucht!! Woher stammen solche Infos??,2,0,Mammi71,erl.
2872977,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.7663357,14.1483363,2021-09-28 00:00:00,2021-10-15 04:47:36,0,Cerritus,Windpark,2,0,b-holdet,https://www.openstreetmap.org/node/7040754870
2239729,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,53.9901250,6.8943903,2020-06-23 00:00:00,2021-10-02 22:12:01,0,Unknown,"There are two wind turbines on the map very close to each other here (~10m), probably a duplicate.",2,0,lokaman,https://www.openstreetmap.org/changeset/96692122
1149240,Ausschließliche Wirtschaftszone der Bundesrepublik Deutschland,54.0397850,6.2887800,2017-09-22 00:00:00,2017-11-19 18:56:52,0,Unknown,Missing barrier:  This error is submitted from Navmii GPS.,2,0,hsc666,
