note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5131312,Malta,35.8950170,14.4200250,2026-01-16 00:00:00,2026-01-16 09:43:58,0,Chris Abela,Jason Park,3,1,Chris Abela,
5104482,Malta,35.9441324,14.4186632,2025-12-25 00:00:00,2026-01-06 18:57:35,12,saaletaucher,Toilette  #OsmAnd,2,0,saaletaucher,
4779198,Malta,35.8373940,14.4122064,2025-05-28 00:00:00,2026-01-06 07:34:52,223,Pan Perníček,"Forwarding anonymous report from #mapycom user, please verify: There's a private property, path is not passable.",2,0,Pan Perníček,
5002859,Malta,35.8782175,14.5305726,2025-10-12 00:00:00,2025-12-30 10:16:53,0,mikefalzon,zebra with lights  #OsmAnd,2,0,mikefalzon,
3510410,Malta,35.9521922,14.3867661,2023-01-08 00:00:00,2025-12-29 15:00:43,0,777caliban,Unable to answer 'What kind of building is this?' for https://osm.org/way/852412272 via StreetComplete 50.1:  Has been rebuilt 'Pandora heights'  Attached photo(s): https://westnordost.de/p/127616.jpg,3,0,murmeldin,
5044627,Malta,35.8941544,14.5007634,2025-11-09 00:00:00,2025-12-25 08:17:31,0,mikefalzon,AED with extinguishers on plaque. near lift  #OsmAnd,2,0,mikefalzon,
5093629,Malta,35.8959840,14.5088620,2025-12-16 00:00:00,2025-12-16 11:04:53,0,MarkusFerry,Valletta,4,1,MarkusFerry,Valletta
5084624,Malta,35.8959710,14.5088280,2025-12-09 00:00:00,2025-12-09 11:03:37,0,MarkusFerry,Valletta,4,1,MarkusFerry,
5056513,Malta,36.0384417,14.2916197,2025-11-17 00:00:00,2025-12-02 16:00:02,0,Unknown,New Lighthouse Supermarket,2,0,samuelzammit,Added
3005203,Malta,36.0748992,14.2373906,2022-01-10 00:00:00,2025-12-02 15:54:13,0,Gorka115,Unable to answer 'What surface does the square Pjazza Santa Marija tal-Virtut have here?' for https://osm.org/way/337054352 via StreetComplete 38.2:  Rubber slates (for kids playing).,3,0,samuelzammit,"Surface of the surrounding roads/square is asphalt, added"
4740449,Malta,36.0806501,14.2296124,2025-05-03 00:00:00,2025-12-02 15:53:05,0,Foxxi59,2x Cathedral Cave near by? The Cave noth - east of this one seems to be the right one,3,0,samuelzammit,"New location is correct, it leads to an cave area underneath the salt pans. Added also another cave above it based on the same source."
3661312,Malta,35.8553157,14.4623557,2023-04-26 00:00:00,2025-12-02 12:44:05,0,Orient Express Fusion,Orient Express Fusion Restaurant,2,0,samuelzammit,Added as 'Shoku Asian Restaurant' per info found on Facebook and Instagram
5073322,Malta,35.8960600,14.5089590,2025-11-30 00:00:00,2025-12-02 10:53:35,0,MarkusFerry,Valletta,2,0,MarkusFerry,
2649985,Malta,35.9042944,14.4925949,2021-05-02 00:00:00,2025-11-29 09:25:44,0,QLiving,QLiving Apartment Suites.,2,0,samuelzammit,Added
3948116,Malta,35.8979958,14.4902775,2023-10-19 00:00:00,2025-11-28 13:16:15,0,Gobik,maybe new name 'The Convenience Shop',2,0,Zanna_dwg,
1405065,Malta,35.9003198,14.4838926,2018-05-25 00:00:00,2025-11-28 13:13:45,0,richlv,"'exists but on the other side of the street' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Paper Clips Stationery POI types: shop-stationery OSM data version: 2018-05-12T22:49:02Z  #mapsme",7,1,Zanna_dwg,
4991932,Malta,35.9025055,14.4830611,2025-10-05 00:00:00,2025-11-27 15:41:09,0,samuelzammit,'informal name: Library Quadrangle Area' OSM snapshot date: 2025-08-22T03:20:49Z POI name: Pjazza Costaguti POI types: amenity-university  #CoMaps android,2,0,samuelzammit,Added
