note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4635601,Italia,45.8500567,8.1185746,2025-02-21 00:00:00,2026-04-24 08:31:44,427,Unknown,alpe boccariciolo,2,0,XianMag,
5260690,Italia,43.1317782,13.0642070,2026-04-22 00:00:00,2026-04-24 07:44:27,2,Robot8A,"Sala delle mura (underground meeting room from the University, with the archeological remains)",2,0,Robot8A,
5263363,Italia,45.5973900,10.4470970,2026-04-24 00:00:00,2026-04-24 05:12:40,0,Unknown,"Professional Wedding Photographer – Love Weddings Photography  Love Weddings Photography offers professional wedding photography services that beautifully capture every emotion, detail, and unforgettable moment of your special day. With a blend of artistic storytelling and timeless elegance, their experienced photographers create stunning images that reflect your unique love story. From intimate ceremonies to grand celebrations, Love Weddings Photography ensures memories that last a lifetime. loveweddings.it",2,0,Unknown,
5263360,Italia,45.5987070,10.4581770,2026-04-24 00:00:00,2026-04-24 05:10:58,0,Unknown,"Destination Wedding Photographers – Capturing Love Stories Around the World  Destination wedding photographers specialize in documenting your special day in breathtaking locations across the globe. Combining artistic vision with a passion for travel, they capture authentic emotions, stunning landscapes, and unforgettable moments with elegance and creativity. Whether you're planning a romantic beach ceremony, a countryside celebration, or a luxury city wedding, professional destination photographers ensure every detail is beautifully preserved for a lifetime. loveweddings.it",2,0,Unknown,
5261344,Italia,44.3824378,9.0450708,2026-04-22 00:00:00,2026-04-23 21:36:24,1,Guidolux,In context of overlay 'Things' – Broadleaved Tree – https://osm.org/node/13752844335 via StreetComplete 63.0:  Butia capitata,3,1,Guidolux,
4516420,Italia,45.0614572,7.5110435,2024-11-11 00:00:00,2026-04-23 21:27:46,528,giacerc,La strada è impraticabile a causa di alberi tagliati e lasciati sulla stessa,2,0,Alessandro Ugo,Alberi rimossi da qualche tempo
5246530,Italia,43.7214666,10.9393980,2026-04-12 00:00:00,2026-04-23 21:01:28,11,LaExdelSindacodiVinci,ripetitori  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/337871.jpg,2,0,LaExdelSindacodiVinci,
5262809,Italia,43.7240950,10.9218032,2026-04-23 00:00:00,2026-04-23 20:56:17,0,LaExdelSindacodiVinci,specchio stradale  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/340289.jpg,2,0,LaExdelSindacodiVinci,
5262812,Italia,43.7234019,10.9218988,2026-04-23 00:00:00,2026-04-23 20:56:04,0,LaExdelSindacodiVinci,Marciapiede  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/340293.jpg,2,0,LaExdelSindacodiVinci,
5262821,Italia,43.7230105,10.9232896,2026-04-23 00:00:00,2026-04-23 20:55:59,0,LaExdelSindacodiVinci,Via domenico maestrelli  via StreetComplete 63.0,2,0,LaExdelSindacodiVinci,
5262840,Italia,43.7228258,10.9225460,2026-04-23 00:00:00,2026-04-23 20:55:46,0,LaExdelSindacodiVinci,strada privata  via StreetComplete 63.0,2,0,LaExdelSindacodiVinci,
5262844,Italia,43.7229005,10.9226006,2026-04-23 00:00:00,2026-04-23 20:55:39,0,LaExdelSindacodiVinci,oliveta e vigneto  via StreetComplete 63.0,2,0,LaExdelSindacodiVinci,
5262854,Italia,43.7212603,10.9208588,2026-04-23 00:00:00,2026-04-23 20:55:23,0,LaExdelSindacodiVinci,vivaio  via StreetComplete 63.0,2,0,LaExdelSindacodiVinci,
5262876,Italia,43.7242789,10.9222759,2026-04-23 00:00:00,2026-04-23 20:53:53,0,LaExdelSindacodiVinci,parcheggio  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/340312.jpg https://streetcomplete.app/p/340313.jpg,3,1,LaExdelSindacodiVinci,
5255017,Italia,43.7234990,10.9219178,2026-04-18 00:00:00,2026-04-23 20:50:55,5,giuliofie,Manca una via interna di collegamento da Via Lari  via StreetComplete 63.0,2,0,LaExdelSindacodiVinci,
5255000,Italia,43.7229718,10.9206203,2026-04-18 00:00:00,2026-04-23 20:46:35,5,nightly_brew,Telefono  via StreetComplete 63.0,4,1,LaExdelSindacodiVinci,
