note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1809128,Jersey,49.2371489,-2.2079247,2019-06-11 00:00:00,2025-12-19 13:07:15,0,Unknown,Methodist church.,6,1,osmuser63783,Mapped
2649626,Jersey,49.1933828,-2.0980659,2021-05-02 00:00:00,2025-01-21 19:25:30,0,Lee Carré,Road behind building.  via StreetComplete 25.1  Attached photo(s): https://westnordost.de/p/39863.jpg,3,0,Mateusz Konieczny,
2916324,Jersey,49.1888210,-2.1059805,2021-10-30 00:00:00,2025-01-21 19:25:16,0,Lee Carré,JEC substation.  #SurveyMe,7,1,Mateusz Konieczny,
2649599,Jersey,49.1894007,-2.1031705,2021-05-02 00:00:00,2025-01-21 19:25:00,0,Lee Carré,Speed: 20mph.  via StreetComplete 25.1  Attached photo(s): https://westnordost.de/p/39832.jpg,4,1,Mateusz Konieczny,"likely changed since them, closing note from user who made more notes than edits"
2670276,Jersey,49.1855841,-2.1023604,2021-05-15 00:00:00,2025-01-21 19:24:27,0,Lee Carré,"2 benches (each with backrest), 2 bins, bicycle parking (type=stands, capacity=6, covered=no).",6,1,Mateusz Konieczny,"self note of inactive user  object of very minor importance, acting on note would require going there  many other notes in this area  closing as not needed note"
2689279,Jersey,49.1815499,-2.0997024,2021-05-28 00:00:00,2025-01-21 19:24:16,0,Lee Carré,"Bus stop; ID: 2525 name: Colomberie Parade routes: 3;13;21;23 passenger info board: yes, with routes & times, lit: yes",2,0,Mateusz Konieczny,"self note of inactive user  object of very minor importance, acting on note would require going there  many other notes in this area  closing as not needed note"
2696063,Jersey,49.1812276,-2.0983482,2021-06-02 00:00:00,2025-01-21 19:23:56,0,Lee Carré,"Crossing; type: unmarked, not explicitly controlled, tactile paving: yes (both ends), island: no, while there are (many) traffic signals near, none of them seem to be for the crossing specifically, one has to dash between bursts of traffic, kerb: lowered (both sides)",2,0,Mateusz Konieczny,"self note of inactive user  object of very minor importance, acting on note would require going there  many other notes in this area  closing as not needed note"
2936520,Jersey,49.1872341,-2.1117072,2021-11-15 00:00:00,2025-01-21 19:20:06,0,Lee Carré,"JEC substation.  #SurveyMe (under the arch, south side).",2,0,Mateusz Konieczny,"self note of inactive user  object of very minor importance, acting on note would require going there  many other notes in this area  closing as not needed note"
2941247,Jersey,49.1854731,-2.1079119,2021-11-19 00:00:00,2025-01-21 19:19:57,0,Lee Carré,JEC substation.  #SurveyMe,2,0,Mateusz Konieczny,"self note of inactive user  object of very minor importance, acting on note would require going there  many other notes in this area  closing as not needed note"
