note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3732142,Civitas Vaticana - Città del Vaticano,41.9032273,12.4567232,2023-06-12 00:00:00,2025-09-29 09:18:18,0,sabas88,"In questa zona c'è il punto di Primo Soccorso del vaticano, non ho preso il punto preciso ma era vicino ai bagni.",9,0,dieterdreist,I have added it as first_aid
3017242,Civitas Vaticana - Città del Vaticano,41.9021743,12.4553745,2022-01-19 00:00:00,2025-07-31 21:07:31,0,ivanbranco,nome descrittivo?,6,0,happilymappingrway,
4885393,Civitas Vaticana - Città del Vaticano,41.9021716,12.4527025,2025-07-31 00:00:00,2025-07-31 21:05:06,0,Unknown,1.Kapel Katedra Petrus di Basilika (Mayor) Santo Petrus,2,0,happilymappingrway,
4554901,Civitas Vaticana - Città del Vaticano,41.9016502,12.4557844,2024-12-17 00:00:00,2025-07-20 15:21:30,0,mascalzone67,Nuova parafarmacia vaticana:   https://www.vaticanstate.va/it/novita/1236-inaugurata-la-nuova-parafarmacia-nel-braccio-di-carlo-magno-di-piazza-san-pietro.html,2,0,happilymappingrway,"Yes, there is a Vatican pharmacy in this location. I have seen it recently personally."
4119736,Civitas Vaticana - Città del Vaticano,41.9025905,12.4544621,2024-02-19 00:00:00,2025-07-20 13:27:43,0,osmuser63783,"Cortile San Gregorio L'Illuminatore. You can get there by exiting the basilica through the grottoes. There are statues of San Gregorius Armeniae Illuminator and San Andreas Kim Taegon, and a water fountian. I have pictures, need to add the info to the map",3,0,happilymappingrway,
4097185,Civitas Vaticana - Città del Vaticano,41.9047482,12.4549566,2024-02-02 00:00:00,2025-05-28 11:16:19,0,Emma],"Reg. lat. 886, Vat. lat. 5766",3,0,dieterdreist,I am closing this now because these are quite clearly ref. numbers of items in the vatican library and not mappable in OpenStreetMap (I guess it was a private note and not intended to give information to mappers)
4750573,Civitas Vaticana - Città del Vaticano,41.9028979,12.4546632,2025-05-09 00:00:00,2025-05-28 11:08:34,0,Unknown,Chimenea,2,0,dieterdreist,not actionable
3665295,Civitas Vaticana - Città del Vaticano,41.9064748,12.4537073,2023-04-29 00:00:00,2025-05-13 18:35:38,0,MaestroGlanz,Unable to answer 'What kind of building is this?' for https://osm.org/way/112137060 via StreetComplete 50.1:  building=museum,2,0,dieterdreist,"thank you, also this one..."
3665281,Civitas Vaticana - Città del Vaticano,41.9069615,12.4541509,2023-04-29 00:00:00,2025-05-13 18:34:58,0,MaestroGlanz,Unable to answer 'What kind of building is this?' for https://osm.org/way/255896653 via StreetComplete 50.1:  building=museum,2,0,dieterdreist,"thank you, I added it"
4750581,Civitas Vaticana - Città del Vaticano,41.9071300,12.4550684,2025-05-09 00:00:00,2025-05-13 18:33:56,0,Unknown,Pista de tenis,2,0,dieterdreist,it is already mapped
4405664,Civitas Vaticana - Città del Vaticano,41.9067520,12.4552570,2024-08-27 00:00:00,2025-05-13 18:33:34,0,Unknown,"connect the footway before or after the gate, not on the gate itself #survey",2,0,dieterdreist,"maybe it runs under the other way, but it is surely not connected here."
4750492,Civitas Vaticana - Città del Vaticano,41.9026600,12.4530900,2025-05-09 00:00:00,2025-05-13 18:22:16,0,Unknown,Vaticà,2,0,dieterdreist,these aren't private notes...
4250542,Civitas Vaticana - Città del Vaticano,41.9023023,12.4511521,2024-05-17 00:00:00,2025-05-13 18:21:37,0,ivanbranco,edifici annidati,2,0,dieterdreist,"mi sembra risolto, ci sono building:part e solo 1 building"
3550137,Civitas Vaticana - Città del Vaticano,41.9023383,12.4572456,2023-02-08 00:00:00,2025-05-04 18:11:01,0,ivanbranco,"https://overpass-turbo.eu/s/1r8e  wikidata e wikipedia da cancellare, valore di bollard=* da allineare ai valori della wiki",2,0,Danysan95,"Risolto in https://www.openstreetmap.org/changeset/135992917 , chiudo"
4568506,Civitas Vaticana - Città del Vaticano,41.9021180,12.4537190,2024-12-29 00:00:00,2024-12-29 21:44:19,0,MaríaMinino9,Día 2,2,0,MaríaMinino9,
4155418,Civitas Vaticana - Città del Vaticano,41.9022491,12.4579272,2024-03-16 00:00:00,2024-09-11 13:24:34,0,Dkn78,Unable to answer 'What’s the name of this street?' – Pedestrian Street – https://osm.org/way/23173402 via StreetComplete 57.1:  Non è una strada,2,0,Dkn78,
4168140,Civitas Vaticana - Città del Vaticano,41.9021000,12.4534000,2024-03-26 00:00:00,2024-04-05 18:56:52,0,Unknown,Petersdom,2,0,Đuro Jiří,Già mappata
3877353,Civitas Vaticana - Città del Vaticano,41.9037938,12.4520766,2023-09-08 00:00:00,2023-10-23 18:57:30,0,Unknown,"When entering Vatican City as a location on our tourism website, the location 'Vatican City' could not be found on OSM. Instead, 'Holy See' was the only choice available.  The Holy See is an institution, not a Country or City. The proper Country and City is Vatican City.   Indeed, it is labelled as such (in Italian) on the map... but not searchable as 'Vatican City' on the database.",2,0,confusedbuffalo,OSM appears to have it correctly mapped https://www.openstreetmap.org/relation/36989
3844232,Civitas Vaticana - Città del Vaticano,41.9007918,12.4479818,2023-08-20 00:00:00,2023-08-20 16:11:48,0,Unknown,city of italy,2,0,ivanbranco,
3548780,Civitas Vaticana - Città del Vaticano,41.9023070,12.4575466,2023-02-07 00:00:00,2023-02-07 18:21:40,0,ivanbranco,"sistemare bollard=rock con valore documentato (=fixed probabilmente, ma non sono local), material=* da tradurre in inglese, relazione di troppo",2,0,ivanbranco,
3548810,Civitas Vaticana - Città del Vaticano,41.9025280,12.4572461,2023-02-07 00:00:00,2023-02-07 18:21:31,0,ivanbranco,https://www.openstreetmap.org/way/1138275186/history  rendere tondo,2,0,ivanbranco,fixed
3548790,Civitas Vaticana - Città del Vaticano,41.9014545,12.4571093,2023-02-07 00:00:00,2023-02-07 18:21:23,0,ivanbranco,scultura duplicata,2,0,ivanbranco,fixed
550824,Civitas Vaticana - Città del Vaticano,41.9022631,12.4492371,2016-04-20 00:00:00,2022-12-11 15:17:05,0,Unknown,Questo tratto di strada fino al ponte non dovrebbe essere dello stesso tipo di quelli a lui vicino?,2,0,Arturo Francisco Barbero,lo è già
2731294,Civitas Vaticana - Città del Vaticano,41.9043109,12.4530357,2021-06-27 00:00:00,2022-04-10 23:24:30,0,KetoCat,It is a courtyard and has no roof.  via StreetComplete 32.1,2,0,Rhodez,already fine
2429691,Civitas Vaticana - Città del Vaticano,41.9031700,12.4501900,2020-11-17 00:00:00,2021-05-08 09:39:42,0,Unknown,Gardens of Vatican City,2,0,Alecs01,Already on the map
2316090,Civitas Vaticana - Città del Vaticano,41.9014685,12.4570879,2020-08-21 00:00:00,2021-03-14 21:04:41,0,Pan Perníček,#Mapy.cz user reports: This is a sculpture dedicated to migrants.,3,0,J Francisco Iturbide,Basilica San Pedro y su Plaza
2554237,Civitas Vaticana - Città del Vaticano,41.9034912,12.4528349,2021-02-25 00:00:00,2021-02-25 09:01:54,0,Unknown,Note submitted on bitcoinaccepted.in from a business that accepts bitcoin as payment method: Name: Manager Ads- Marketing Description: Agenzia di comunicazione Phone: 3755478869 Website: https://managerads.it/ Social page:  Hours:  Category:  Address: Vaticano Payment: bitcoin,2,0,kartonage,SEO spam
2532111,Civitas Vaticana - Città del Vaticano,41.9023808,12.4578792,2021-02-09 00:00:00,2021-02-09 16:45:05,0,pmi299,Meeting Point,4,1,pmi299,
2453211,Civitas Vaticana - Città del Vaticano,41.9021992,12.4534696,2020-12-05 00:00:00,2020-12-05 17:14:42,0,Unknown,St Peter's Basilica,2,0,kartonage,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible and meant for improvements and error corrections. Thanks."
