note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4813343,Nederlandse exclusieve economische zone,53.3177490,4.2187500,2025-06-19 00:00:00,2025-06-21 10:27:30,0,Unknown,Hola salta ubicación en palmitas y soy de Mercedes soriano? En lo q público para vender ?,2,0,Geim,"'Hallo, locatie Salta in Palmitas, en ik kom uit Mercedes, Soriano? Ik bied te koop aan.'  Lijkt me niets met Openstreetmap te maken te hebben."
4595233,Nederlandse exclusieve economische zone,52.6217053,3.8366318,2025-01-20 00:00:00,2025-01-20 13:01:29,0,Unknown,if you are reading this you need to talk to me now😏,2,0,Taya_S,Spam
4324476,Nederlandse exclusieve economische zone,52.3954000,3.1238000,2024-07-08 00:00:00,2024-07-09 08:44:32,0,E-tno,A strange tile is here in the north sea at a specific zoom level: https://www.openstreetmap.org/query?lat=52.4012&lon=3.1181#map=15/52.3954/3.1238&layers=G,10,1,Taya_S,"Again, this is a leftover rendering artifact. The data has been fixed so there is nothing left to do and this note can be closed.   You can try pressing ctrl+f5 to refresh your cache, but other than that there is nothing to fix here."
2564833,Nederlandse exclusieve economische zone,54.4366552,3.9495850,2021-03-03 00:00:00,2021-03-04 07:35:55,0,Unknown,Gaming Room 2.0,2,0,kartonage,not here
2125507,Nederlandse exclusieve economische zone,51.9950282,2.8234863,2020-03-20 00:00:00,2020-03-20 13:03:11,0,Unknown,hier woon ik                          niet,2,0,Jakka,?
221095,Nederlandse exclusieve economische zone,54.0325655,5.2040434,2014-08-17 00:00:00,2014-08-26 08:12:12,0,Unknown,ghololmw  vkrtniew  g  krmiekm j 12960479936995jjgmmt  rmitf oktrt,2,0,SomeoneElse,
221093,Nederlandse exclusieve economische zone,54.0268057,5.1950741,2014-08-17 00:00:00,2014-08-26 08:12:00,0,Unknown,"lolul k ro  kt o9rlim ihmj jdmir,o,ky mjf  o fmmmod,,or, kdo oekmeorkiykifl o5lkekkrm e0lykifmtpkoesji rkotmijkdmkw 0ot,omjd rom itnjidmo,gik0vlookeikmmy m ik kfmvo,roektkrntkio,dlk,rllot,kikmsd,riotriktikklw kkykliooe  kihmjeikujroleo ei mmnkrumuj ujr jurjne,jrjd,itr  dghgi8ueuimfoiihmujfjh  ujd bidlkhkmdmrkh9,gjm f gmjkd ik gkfoimz kt ofj sk tjhjmb ikd, hkkk okd,t  idl, yk,d,,t iokd ,riwfllo,hi n if,jtekoiglo,jgj,mj.ogjrpfkrom if jgbjdkiemdmd jf   v fndkrmjj,skmrn dkmgokdik,kek ndj dt d ?2379511 iki,ek jo,mgmmmg mrk sa",2,0,SomeoneElse,
164887,Nederlandse exclusieve economische zone,54.1320748,4.8082030,2014-05-09 00:00:00,2014-08-26 08:11:33,0,Unknown,WANKER,2,0,SomeoneElse,
136585,Nederlandse exclusieve economische zone,52.0133299,2.7208650,2014-03-18 00:00:00,2014-03-26 20:39:14,0,Unknown,A shop in the sea?! Please look at the changes of this new user.,2,0,The La-Li-Lu-Le-Lo,"Whatever it was, it's gone now"
112,Nederlandse exclusieve economische zone,52.3044901,3.3625031,2013-04-24 00:00:00,2013-04-24 15:40:56,0,mighty_eighty,"Test 1,2,3",3,0,mighty_eighty,
