note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3502262,Philippines,10.1957475,118.8975674,2023-01-03 00:00:00,2026-04-24 08:22:39,1207,DEMOLISHER34,there are no houses indicated in this part of the map.,2,0,bxl-forever_repair,"I added some of them, it should be a little better now. OSM is a never-ending work, feel free to contribute yourself."
4639357,Philippines,8.5020540,117.4386440,2025-02-24 00:00:00,2026-04-24 08:15:36,424,Unknown,tagdalongon,2,0,bxl-forever_repair,Not enough information. Closing anonymour report.
2906401,Philippines,9.7105799,118.6549187,2021-10-23 00:00:00,2026-04-24 08:14:46,1644,Unknown,Salakot Waterfalls,2,0,bxl-forever_repair,"Not found on imagery, impossible to verify. Closing anonymous report."
1119346,Philippines,9.3942000,118.5403000,2017-08-28 00:00:00,2026-04-24 08:11:19,3161,Unknown,THIS IS LA CABALLA BEACH RESORT,3,0,bxl-forever_repair,"Closing old note. Nobody seems to have dealt with it at the time, and 8 years later it is hard to know whether the place is still here."
5263369,Philippines,14.8404140,120.2841860,2026-04-24 00:00:00,2026-04-24 05:37:22,0,Unknown,"#31 Brill St., Learning Circle School Building, Brgy. West Bajac-Bajac, Olongapo City, Zambales 2200",2,0,Unknown,
5262156,Philippines,14.5894187,121.0690570,2026-04-23 00:00:00,2026-04-23 23:16:41,0,Unknown,Access to and from emergency room is thru double hinged doors. Wheelchair accessible. Doors are mostly made of glass.,2,0,GOwin,"See: https://osmapp.org/gSgvyRn  Feel free to open a new note to report issues, or update the POI yourself using your OSM account."
1022196,Philippines,14.4081450,120.9252433,2017-06-07 00:00:00,2026-04-23 16:58:17,3242,Markinz,"'transfer' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Berro residence POI types: tourism-artwork OSM data version: 2017-05-11T13:22:09Z  #mapsme",2,0,GabGlobio,
4251643,Philippines,14.4068654,120.9249522,2024-05-18 00:00:00,2026-04-23 16:58:04,705,Delta_SoyaMilk,"'Wrong Address' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-03-26T20:04:01Z POI name: Savemore Alapan POI types: shop-supermarket  #organicmaps android",2,0,GabGlobio,Still existing today
3597224,Philippines,14.4070355,120.9244591,2023-03-14 00:00:00,2026-04-23 16:57:03,1136,UndueMarmot,"Are there really two SM Imuses? I don't remember it like that, and Mapillary footage dated 2022 (a year after it was labeled 'SM Center Imus, old_name=Harvest Marketplace') doesn't track.",2,0,GabGlobio,This is now called Yspacio
2328337,Philippines,14.4107000,120.9169000,2020-08-29 00:00:00,2026-04-23 16:56:21,2063,ace tattoo - inkre8tionz,ace tattoo - inkre8tionz,2,0,GabGlobio,Not existing
1797637,Philippines,14.4157240,120.9186436,2019-06-01 00:00:00,2026-04-23 16:56:02,2518,GabGlobio,"'This place has been relocated ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Battle of Alapan Monument POI types: historic-monument OSM data version: 2019-04-19T10:36:02Z  #mapsme",2,0,GabGlobio,Relocated
