note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5129164,Madagasikara / Madagascar,-18.8754822,47.5028537,2026-01-14 00:00:00,2026-01-14 14:26:49,0,Unknown,Parking ambohimanarina,5,1,Unknown,"Vérifié, cet endroit est nommé 'Parking'"
5123821,Madagasikara / Madagascar,-18.9080551,47.5252891,2026-01-10 00:00:00,2026-01-10 04:35:28,0,Unknown,Madagasikara Chine Education 马达加斯加中国教育公司,4,1,Unknown,Chinois Mandarin Oral
5108437,Madagasikara / Madagascar,-16.6447724,44.5828236,2025-12-28 00:00:00,2025-12-28 14:46:02,0,Unknown,'Fkt Antsamalia Besalampy' POI name: Fkt Antsamalia Besalampy POI types: office-government OSM data version: 2023-12-21T08:18:03Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5108436  Therefore, it will be closed.  #DuplicateNote"
3753470,Madagasikara / Madagascar,-22.3549000,47.8400000,2023-06-27 00:00:00,2025-12-20 15:39:33,0,ROBSON Razafindrasitraka,Collège Fanantenana # L3PRO,3,1,mikalofitia,
4542193,Madagasikara / Madagascar,-18.0582458,49.3595606,2024-12-03 00:00:00,2025-12-05 08:14:44,0,Lahatra30,mettez le foret lac cage des animaux la réception les zone électrifiés sources hydraulique,2,0,Randriantsoarison Tokiniaina,
2068974,Madagasikara / Madagascar,-18.8508102,47.5383636,2020-01-26 00:00:00,2025-11-23 22:30:51,0,Bernard POUPI,'Petit salon d'une guérisseuse traditionnelle réputée.' POI has no name POI types: shop-massage OSM data version: 2019-09-09T23:32:17Z  #mapsme,2,0,Sébastien Pi,"Note personnelle, utilisez umap ou autre"
2358012,Madagasikara / Madagascar,-18.8802562,47.5426393,2020-09-21 00:00:00,2025-11-23 22:29:31,0,Sitraka RAZAKASOLO,'Bonjour j'aimerais modifier l'emplacement de ce lieu s'il vous plaît. Merci pour votre compréhension' POI has no name POI types: amenity-bus_station OSM data version: 2020-08-22T02:23:14Z  #mapsme,2,0,Sébastien Pi,done
706239,Madagasikara / Madagascar,-18.8916255,47.5356033,2016-09-09 00:00:00,2025-11-23 22:27:01,0,Francis Tapon,Rooms start at $10 (OSM data version: 2016-08-22T09:03:02Z) #mapsme,6,0,Sébastien Pi,OSM is not a selling agence
2108540,Madagasikara / Madagascar,-18.9135254,47.5397623,2020-03-03 00:00:00,2025-11-23 22:26:09,0,Unknown,North Hotel,2,0,Sébastien Pi,Already map
1284394,Madagasikara / Madagascar,-18.9205700,47.5364600,2018-01-30 00:00:00,2025-11-23 22:25:19,0,Alex Nirina (DiDOG),Vs 77,2,0,Sébastien Pi,Déjà cartographié
1919453,Madagasikara / Madagascar,-18.9199326,47.5377586,2019-09-10 00:00:00,2025-11-23 22:25:00,0,Unknown,Terrain a vendre,2,0,Sébastien Pi,OSM n’est pas une agence de vente
752889,Madagasikara / Madagascar,-18.9154988,47.5216242,2016-10-19 00:00:00,2025-11-23 22:24:13,0,Lazakhelly,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'Malagasy sacrificed to France Memorial  ' (OSM data version: 2016-08-22T09:03:02Z) #mapsme",2,0,Sébastien Pi,Nothing under that note
1880675,Madagasikara / Madagascar,-18.9074900,47.5252500,2019-08-12 00:00:00,2025-11-23 22:21:41,0,Unknown,Hotel Pietra,2,0,Sébastien Pi,done
1999320,Madagasikara / Madagascar,-18.9083977,47.5232613,2019-11-17 00:00:00,2025-11-23 22:21:13,0,Gouty,Njato Hotel,2,0,Sébastien Pi,done
5061989,Madagasikara / Madagascar,-25.2050029,45.3561916,2025-11-21 00:00:00,2025-11-21 08:56:03,0,Unknown,'EPP AMBANIKILY' POI name: EPP AMBANIKILY POI types: amenity-school OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5061988  Therefore, it will be closed.  #DuplicateNote"
5047488,Madagasikara / Madagascar,-18.7664030,46.0626920,2025-11-11 00:00:00,2025-11-11 02:06:25,0,Unknown,FJKM Androtra Fahazavana,3,1,Davy Andriamarosoa,
621852,Madagasikara / Madagascar,-18.8954740,47.4949858,2016-07-09 00:00:00,2025-10-29 12:35:47,0,Serge Rasoloniaina,Kianja maki (OSM data version: 2016-06-20T05:57:02Z) #mapsme,2,0,David Horwitz,
2117007,Madagasikara / Madagascar,-18.8916901,47.5234893,2020-03-10 00:00:00,2025-10-28 13:03:51,0,Bemaco,Bemaco,2,0,NeisBot,Same as note https://osm.org/note/2117006 only ~1 m apart. Closing as duplicate.  #DuplicateNote #Nearby
