note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4960621,Zona Economica Esclusiva Italiana,40.8792543,11.7002711,2025-09-13 00:00:00,2025-10-16 05:07:21,0,TheFly,'Also Livorno Olbia' OSM snapshot date: 2025-08-29T18:18:32Z POI name: Livorno - Palermo POI types: route-ferry hwtag-yesbicycle hwtag-yescar hwtag-yesfoot  #organicmaps ios,3,0,TheFly,"Yes, that’s correct. Thanks for fixing."
4865996,Zona Economica Esclusiva Italiana,44.0000250,9.0000250,2025-07-20 00:00:00,2025-07-21 08:18:25,0,Unknown,test focus 2  Media attachment: https://layer8.space/@metalbiker/114885483208175712  via FediPhoto-Lineage,2,0,notmyproblem1,"can't map a test focus 2, sorry."
4865697,Zona Economica Esclusiva Italiana,41.5611328,17.6000977,2025-07-20 00:00:00,2025-07-20 11:30:31,0,Unknown,E' stata inviata una nota tramite su.openstreetmap.it: Modalità di pagamento accettate:   Tag suggeriti: (⚠️ = richiede controllo)  takeaway=undefined,3,0,NeisReview,#misplaced
4861391,Zona Economica Esclusiva Italiana,44.0000120,9.0000120,2025-07-17 00:00:00,2025-07-19 10:03:26,0,Unknown,test  Media attachment: https://layer8.space/@metalbiker/114869858485917100  via FediPhoto-Lineage,2,0,AlessioMela,
4590283,Zona Economica Esclusiva Italiana,39.9035411,11.3573742,2025-01-16 00:00:00,2025-01-16 00:30:01,0,ivanbranco,test,4,1,ivanbranco,test
4499871,Zona Economica Esclusiva Italiana,44.1401505,13.7068890,2024-10-29 00:00:00,2024-10-29 21:52:43,0,Unknown,"This point is quite weird. When you type 'obererlenbach' in OSM, this point is where you will land.",3,0,ivanbranco,"good catch, was a test, I reverted it"
4315054,Zona Economica Esclusiva Italiana,41.9081191,16.6319649,2024-07-01 00:00:00,2024-07-11 15:07:40,0,m_p_13,What are the roads?  #OsmAnd,2,0,m_p_13,
4315057,Zona Economica Esclusiva Italiana,35.4482736,18.1216605,2024-07-01 00:00:00,2024-07-11 15:00:01,0,m_p_13,What are the roads?  #OsmAnd,2,0,m_p_13,
1168938,Zona Economica Esclusiva Italiana,44.5415476,13.0908966,2017-10-10 00:00:00,2024-02-15 23:10:59,0,Unknown,"Schwarzer-Adler-Platz Am 7. Mai 2015 feierte der Karl-Holoubek-Hof sein 40-jähriges Bestehen. Besucht wurde das Fest auch von Wohnbaustadtrat Michael Ludwig, Bezirksvorsteher Gerhard Zatlokal und seiner Stellvertreterin Merja Biedermann.  Im Rahmen des Festes wurde der Platz vor der VHS15 umbenannt. MieterInnen und AnrainerInnen hatten die Möglichkeit, Namensvorschläge einzureichen, eine Jury wählt anschließend aus den rund 40 Einreichungen fünf aus. Schließlich stimmten die BewohnerInnen sowie AnrainerInnen für den Namen 'Schwarzer-Adler-Platz'.",3,0,Rockfollower,
