note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5261490,Danmark,55.6612776,12.4580341,2026-04-22 00:00:00,2026-04-24 08:33:31,2,peanuthole,dirt path  via StreetComplete_ee 63.0  GPS Trace: https://www.openstreetmap.org/user/peanuthole/traces/12307269,2,0,peanuthole,
5261492,Danmark,55.6612424,12.4591309,2026-04-22 00:00:00,2026-04-24 08:11:16,2,peanuthole,gate to closed patio  via StreetComplete_ee 63.0,2,0,peanuthole,
5261491,Danmark,55.6610972,12.4589764,2026-04-22 00:00:00,2026-04-24 08:11:11,2,peanuthole,dirt path  via StreetComplete_ee 63.0  GPS Trace: https://www.openstreetmap.org/user/peanuthole/traces/12307270,2,0,peanuthole,
5263127,Danmark,55.9383811,11.6621559,2026-04-23 00:00:00,2026-04-23 21:25:33,0,Unknown,"Campingplads er ophørt, nogle bygninger er nedrevet",2,0,osmviborg,https://www.openstreetmap.org/way/158699627
5259167,Danmark,57.0537629,9.8921102,2026-04-21 00:00:00,2026-04-23 19:56:34,2,MagmaMusen,Mangler navn,2,0,Linus W Frische,Værket har ingen titel.
5261743,Danmark,55.6625719,12.4682257,2026-04-22 00:00:00,2026-04-23 19:31:44,1,peanuthole,Unable to answer 'What kind of building is this?' – Building – https://osm.org/way/1189937764 via StreetComplete_ee 63.0:  If this ever existed there's no traces,2,0,Linus W Frische,https://www.openstreetmap.org/changeset/181735165
5262396,Danmark,55.0016804,11.8901070,2026-04-23 00:00:00,2026-04-23 15:34:00,0,cyclist789,"The fencing and buildings of this power station have obviously been removed. But I don't know what has happened to the underground cables. The cables end just north of the highway and a different set of cables pass just west of here, so is it safe to remove all parts of this substation from OSM?",2,0,osmviborg,Transformatorstationen blev nedlagt i 2018. Slettet.
5249733,Danmark,55.3303040,11.1417621,2026-04-14 00:00:00,2026-04-23 14:29:27,9,Peter-k@,FRISE,10,1,Niels GM,Frise tilføjet
4751529,Danmark,55.0070277,11.8683838,2025-05-10 00:00:00,2026-04-23 10:21:18,348,cyclist789,"Walking on top of the levee is forbidden, but walking *across* it is allowed in places.  How to tag this?",2,0,cyclist789,
5260759,Danmark,56.4376432,9.3772119,2026-04-22 00:00:00,2026-04-23 07:21:02,1,MagmaMusen,Navn?,3,0,osmviborg,
5261501,Danmark,55.7044257,12.5344402,2026-04-22 00:00:00,2026-04-22 17:49:07,0,Unknown,Emaljehaven Park,2,0,Unknown,
5260783,Danmark,55.6723186,12.3838962,2026-04-22 00:00:00,2026-04-22 11:17:28,0,Unknown,"Spotsvej til Kindebjergvej, Glostrup. Permanent lukket for al ind og udkørsel. UDRYKNINGSKØRETØJER, AMBULANCEE, POLITI OG 1000vis kører forgæves. KUN ÅBEN FOR MEDARBEJDERE PÅ RIGSHOSPITALET GLOSTRUP.",3,0,b-holdet,"Der er heller ikke nogen af OSM-beregnerne, der søger denne vej. Heller ikke Gokle eller CoMaps. Så nogen har en ikke opdateret version af en ruteberegner et sted"
5260580,Danmark,55.7812671,12.3614194,2026-04-22 00:00:00,2026-04-22 06:50:30,0,Unknown,Markering af P på denne parkeringsplads bør fjernes da det er en privat parkering,2,0,Lostmonkey,Rettet (til privat)
5246551,Danmark,56.0793655,9.7641298,2026-04-12 00:00:00,2026-04-21 21:18:47,9,pelleg,"In context of overlay 'Surfaces' – Path – https://osm.org/way/1498737656 via StreetComplete 63.0:  Trappe, 16 trin plus midter gelænder",2,0,Lostmonkey,Tilføjet
5258779,Danmark,57.0479692,9.9440172,2026-04-20 00:00:00,2026-04-20 20:04:03,0,Linus W Frische,Kloakpumpestation  via StreetComplete_ee 63.0  Attached photo(s): https://streetcomplete.app/p/339739.jpg,2,0,Linus W Frische,
5257886,Danmark,55.0628319,8.9666684,2026-04-20 00:00:00,2026-04-20 13:59:46,0,Lostmonkey,Hvilken type bane er dette?,3,0,Lostmonkey,tilføjet motorsport
5257101,Danmark,55.3815801,10.4250773,2026-04-19 00:00:00,2026-04-20 10:21:39,1,Unknown,"'de har flyttet lokation med 100 meter - ny lokation er registreret' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-01-11T01:09:17Z POI name: thansen.dk POI types: wheelchair-yes shop-car_parts  #organicmaps android 2026.04.07-8-FDroid",2,0,Linus W Frische,Tak:) Har slettet den gamle https://www.openstreetmap.org/changeset/181574939
5234911,Danmark,56.1532780,8.9320815,2026-04-05 00:00:00,2026-04-20 06:09:49,15,LarsBG,Er den her lader er stadig ? Bør opdateres med ny information,4,0,osmviborg,👍
5257791,Danmark,56.1533457,8.9320269,2026-04-20 00:00:00,2026-04-20 03:28:13,0,LarsBG,Ladestander er fjernet,2,0,LarsBG,
5257510,Danmark,55.0062293,11.9659054,2026-04-19 00:00:00,2026-04-19 21:01:35,0,cyclist789,"Big, new complex building.",2,0,osmviborg,https://www.openstreetmap.org/way/1501214422
5255369,Danmark,56.0634122,9.3792836,2026-04-18 00:00:00,2026-04-19 18:19:16,1,DKK_DK,Der er skiltet cykel-/gangsti ind igennem skoven. Den er ikke umiddelbart synlig på luftfotos.,4,1,b-holdet,https://www.openstreetmap.org/changeset/181549804
