note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5259341,Deutschland,48.8580585,11.7714909,2026-04-21 00:00:00,2026-04-24 08:46:09,3,Geo-Tobi,"Ein Track mit bicycle=designated, aber keinem foot Tag, das kann nicht sein. Es ist denkbar, dass hier das weiß grüne Radroutenschild wieder falsch getagged wurde. Sollte geprüft und korrigiert werden.",2,0,bbauer,Überprüft und korrigiert.
5259340,Deutschland,48.8572913,11.7711148,2026-04-21 00:00:00,2026-04-24 08:46:03,3,Geo-Tobi,"Ein Track mit bicycle=designated, aber keinem foot Tag, das kann nicht sein. Es ist denkbar, dass hier das weiß grüne Radroutenschild wieder falsch getagged wurde. Sollte geprüft und korrigiert werden.",2,0,bbauer,Überprüft und korrigiert.
5259343,Deutschland,48.8563169,11.7708146,2026-04-21 00:00:00,2026-04-24 08:45:51,3,Geo-Tobi,Die Kombination aus bicycle=designated und foot=yes gibt es nicht. Sollte geprüft und korrigiert werden.,2,0,bbauer,Überprüft und korrigiert.
5259346,Deutschland,48.8553016,11.7706341,2026-04-21 00:00:00,2026-04-24 08:45:46,3,Geo-Tobi,Die Kombination aus bicycle=designated und foot=yes gibt es nicht. Sollte geprüft und korrigiert werden.,2,0,bbauer,Überprüft und korrigiert.
5259345,Deutschland,48.8547869,11.7702170,2026-04-21 00:00:00,2026-04-24 08:45:40,3,Geo-Tobi,Die Kombination aus bicycle=designated und foot=yes gibt es nicht. Sollte geprüft und korrigiert werden.,2,0,bbauer,Überprüft und korrigiert.
5260682,Deutschland,49.4593939,11.0621327,2026-04-22 00:00:00,2026-04-24 08:42:23,2,Unknown,Construction work finished. New Pocket Park is opened  https://www.nuernberg.de/internet/soer_nbg/pocketpark_frauenholz.html,3,0,HAmap,
4929922,Deutschland,48.6082897,9.4231072,2025-08-25 00:00:00,2026-04-24 08:37:21,242,osmmapper222,was soll hier gebaut werden bzw. wurde gebaut?  die baustelle wurde vor 5 jahren eingezeichnet und auf satellitenbildern sind keine baulichen änderungen sichtbar,2,0,Rumo72,Baustelle entfernt.  https://www.openstreetmap.org/changeset/181753136
5258651,Deutschland,53.6528141,10.0018817,2026-04-20 00:00:00,2026-04-24 08:34:16,4,Wulf4096,drängelgitter  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/339718.jpg,2,0,Wulf4096,
5258654,Deutschland,53.6526704,10.0028609,2026-04-20 00:00:00,2026-04-24 08:32:05,4,Wulf4096,"Unable to answer 'What surface does this road have?' – Parking Aisle – https://osm.org/way/972684566 via StreetComplete 63.0:  am fußweg teilen, asphalt + graspaver",2,0,Wulf4096,
5258655,Deutschland,53.6527747,10.0031878,2026-04-20 00:00:00,2026-04-24 08:31:55,4,Wulf4096,schranke  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/339719.jpg,2,0,Wulf4096,
5260981,Deutschland,50.9753446,10.9900188,2026-04-22 00:00:00,2026-04-24 08:27:59,2,Unknown,Straße Langer Graben ist nicht nur ein Fußweg,2,0,czubi,https://www.openstreetmap.org/way/972532131#map=18/50.975415/10.990424&layers=N  ist nicht als 'nur Fußweg' eingetragen.
5263468,Deutschland,50.9576467,11.0349083,2026-04-24 00:00:00,2026-04-24 08:25:49,0,Unknown,OSRM navigiert nicht über diesen Kreisel.  OSMand zählt die Grundstückzufahrten mit.  Woanders funktioniert`s.,2,0,czubi,"hab mal das proposed entfernt, ist ja fertig. mal einige tage warten dann denke ich sollte es funktionieren"
5261098,Deutschland,53.5300300,10.0691600,2026-04-22 00:00:00,2026-04-24 08:16:45,2,Unknown,Ist das wirklich ein öffentlicher Weg? Das scheint es nur die Eisenbahnbrücke zu geben und das ist Betriebsgelände.,2,0,Wulf4096,"War die ganzen letzten Jahre immer öffentlich (keine Zäune, keine Beschilderung, o.ä.) Wenn sich das geändert haben sollte, bitte Fotos mitbringen. Ansonsten fahre ich hier alle paar Monate mal lang und seh's dann."
5260379,Deutschland,54.3277302,10.1303922,2026-04-21 00:00:00,2026-04-24 08:02:47,3,0xb7767000,Ehemals schaubude jetzt Tanzschule Grenke Eingang hinten  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/339959.jpg,2,0,0xb7767000,erledigt: https://www.openstreetmap.org/changeset/181751732
4724875,Deutschland,52.7920692,7.1980968,2025-04-23 00:00:00,2026-04-24 08:00:32,366,letihu,Die Nr. 14 ist hier doppelt vergeben.,2,0,bison166,korrigiert
4794450,Deutschland,52.7962899,7.1859551,2025-06-07 00:00:00,2026-04-24 07:56:47,321,Unknown,Bridge  #OsmAnd,2,0,bison166,hier ist keine bridge zu erkennen.
5023416,Deutschland,51.4259037,7.0193774,2025-10-26 00:00:00,2026-04-24 07:53:30,180,burrscurr,"Ist diese Einbahnstraße nach Südosten für Radfahrer in Gegenrichtung freigegeben? Einige Straßen in der Nähe sind freigegeben, und die Straße scheint auch breit genug zu sein.",2,0,Erniebert70,Ich habe die Straße überprüft und sie ist für Fahrradfahrer in beiden Richtungen frei gegeben
4197188,Deutschland,52.7960519,7.2639653,2024-04-14 00:00:00,2026-04-24 07:46:28,740,nilix,Barriere  via StreetComplete 57.1  Attached photo(s): https://westnordost.de/p/206880.jpg,2,0,bison166,Poller eingetragen
4197189,Deutschland,52.7961177,7.2641099,2024-04-14 00:00:00,2026-04-24 07:46:21,740,nilix,Barriereb  via StreetComplete 57.1  Attached photo(s): https://westnordost.de/p/206881.jpg,2,0,bison166,Poller eingetragen
5262717,Deutschland,54.0703010,9.9726030,2026-04-23 00:00:00,2026-04-24 07:46:16,1,Unknown,Am Brunnenkamp 5,2,0,Till_btn,https://www.openstreetmap.org/changeset/181751177
5262718,Deutschland,54.0704160,9.9727050,2026-04-23 00:00:00,2026-04-24 07:46:12,1,Unknown,Am Brunnenkamp 3,2,0,Till_btn,https://www.openstreetmap.org/changeset/181751177
5259404,Deutschland,51.2262941,6.7758021,2026-04-21 00:00:00,2026-04-24 07:42:55,3,silly_goose,'Cocoju - Brews & Juice' kommt da rein  #OsmAnd,2,0,silly_goose,
5259403,Deutschland,51.2262679,6.7756938,2026-04-21 00:00:00,2026-04-24 07:42:53,3,silly_goose,'betstar' Wettbüro direkt an der Ecke  #OsmAnd,2,0,silly_goose,
5191766,Deutschland,52.8043152,7.2476322,2026-03-05 00:00:00,2026-04-24 07:40:10,50,nilix,Hofladen  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/330276.jpg,2,0,bison166,Pos. des Hinweises ist ungenau. Es ist auf dem Gelände bereits ein Hofladen erfasst.
5263426,Deutschland,51.2547340,7.1496642,2026-04-24 00:00:00,2026-04-24 07:39:26,0,silly_goose,open again with temporary opening hours due to construction  #OsmAnd,2,0,silly_goose,
5262360,Deutschland,47.6698362,9.1855171,2026-04-23 00:00:00,2026-04-24 07:36:17,1,Unknown,An dieser Stelle werden keine Altkleidercontainer mehr vorgehalten.  Seit dem 01.02.2026 können Altkleider im Konstanzer Stadtgebiet nur noch an Wertstoffhöfen abgegeben werden.,2,0,habi,https://www.openstreetmap.org/changeset/181750815#map=23/47.66983650/9.18550670&layers=SN
5262201,Deutschland,51.9949093,7.6671696,2026-04-23 00:00:00,2026-04-24 07:15:14,1,Unknown,Kreuzungsbererich umgebaut,2,0,Brummelwuff,
5263153,Deutschland,50.9465092,13.2054763,2026-04-23 00:00:00,2026-04-24 06:52:15,1,Stirnlampe,Unable to answer 'What’s the surface here?' – on bridge: Path – https://osm.org/way/329490358 via StreetComplete 63.0:  Keine Brücke mehr  Attached photo(s): https://streetcomplete.app/p/340350.jpg,2,0,Rhoon,demolished*
5259763,Deutschland,51.0483538,12.8697032,2026-04-21 00:00:00,2026-04-24 06:04:58,3,Verm_Katrin,"Unable to answer 'What’s the measured height here?' – Driveway – https://osm.org/way/244892543 via StreetComplete 63.0:  Privates Grundstück, möchte ich nicht betreten  Attached photo(s): https://streetcomplete.app/p/339835.jpg",6,1,Rhoon,"wobei StreetComplete die Frage nun erneut stellen wird, da der abgefragte Weg kein access=private erhalten hat."
5072791,Deutschland,53.5822570,9.9520966,2025-11-29 00:00:00,2026-04-24 04:55:07,146,businessesMan,"ALDI Ladesäule. Ist scheinbar noch nicht im Betrieb, aber soweit alles freigegeben.  via StreetComplete 62.0  Attached photo(s): https://streetcomplete.app/p/318393.jpg",6,0,Wulf4096,Ist nun in Betrieb.
4434356,Deutschland,53.2718252,14.3514088,2024-09-14 00:00:00,2026-04-24 00:25:30,587,Erlanger,"Bin dort vorbeigefahren. Das Schild existiert noch, aber dieser 'Imbiss bei Doris' sieht nicht so aus, als ob er noch betrieben wird.",2,0,Unknown,Dann ist es tatsächlich geschlossen. Danke für die Info!
5262311,Deutschland,47.9573952,11.1062335,2026-04-23 00:00:00,2026-04-23 23:33:32,0,Eigmax66,"Hier ist eigtl eine klassische Allee, kein bewirtschafteter Wald. Ich habe die beiden Baumreihen eingezeichnet. Leider schaffe ich es aber nicht (ID-Editor und rel. Unerfahrenheit bei Relationen/Multipolygonen) den Wald-Grünstreifen hier zu entfernen. Vielleicht kann jemand helfen? Danke!",2,0,limes11,erledigt - der übliche Multipolygonwahnsinn
5221788,Deutschland,48.8111580,9.1806250,2026-03-27 00:00:00,2026-04-23 23:24:46,27,Unknown,Hausnummer fehlt  Porsche Consulting GmbH Porsche Design Tower Stuttgart Siemensstraße 6 70469 Stuttgart https://www.porsche-consulting.com/de/de/stuttgart-0,2,0,Jojo4u,Firma ergänzt
5208263,Deutschland,50.5596546,9.6487321,2026-03-17 00:00:00,2026-04-23 23:17:28,37,flex16,"access=no ist hier auf jeden Fall falsch. Das bedeutet, dass die Bewohner nicht zum Haus dürfen. Wenn private, müsse man aber mal nach Schildern schauen.",3,0,matze089,geändert
5047646,Deutschland,48.8100305,9.1826032,2025-11-11 00:00:00,2026-04-23 22:35:27,163,TOSMgo,"Unable to answer 'Is this still here?' – Deutsche Telekom (Telephone) – https://osm.org/node/2187535114 via StreetComplete 58.2:  existiert noch, funktioniert nur nicht mehr",2,0,Jojo4u,"auf außer Betrieb gesetzt, danke"
4949881,Deutschland,48.8106827,9.1723421,2025-09-06 00:00:00,2026-04-23 22:31:36,229,krt16s,Thieme Verlag hat das Gebäude aufgegeben und ist (aktuell) nur noch in der Oswald-Hesse-Straße 50.  #OsmAnd,2,0,Jojo4u,auch nachvollzogen auf https://www.thieme.com/de-de/kontakt/anfahrt  entfernt und danke
4436173,Deutschland,49.5151350,8.4061370,2024-09-15 00:00:00,2026-04-23 22:30:40,585,Unknown,Ist mittlerweile eine Esso-Tankstelle.,2,0,wermak,Wurde korrigiert.
3877745,Deutschland,49.4891856,8.4320393,2023-09-08 00:00:00,2026-04-23 22:28:49,958,tarpan2000,"In context of 'Bike paths' overlay for https://osm.org/way/164652787 via StreetComplete 54.0:  Zweispurig, linksabbiegerradstreifen",2,0,wermak,Eingetragen.
3877746,Deutschland,49.4893308,8.4322963,2023-09-08 00:00:00,2026-04-23 22:28:31,958,tarpan2000,"In context of 'Bike paths' overlay for https://osm.org/way/1206169990 via StreetComplete 54.0:  Zweispurig, Radstreifen in der Mitte  Attached photo(s): https://westnordost.de/p/173286.jpg",2,0,wermak,Eingetragen.
4694493,Deutschland,48.8130066,9.1692556,2025-04-03 00:00:00,2026-04-23 22:26:04,385,mega-stoffel,Unable to answer 'What height limit is indicated here?' – Railway-Road Crossing – https://osm.org/node/4347716681 via StreetComplete 60.3:  diese Unterführung gibt es nicht mehr,3,0,Jojo4u,maxheight=default eingetragen
5114976,Deutschland,48.8134769,9.1690348,2026-01-02 00:00:00,2026-04-23 22:25:25,111,stieselkeine,In context of overlay 'Things' – inside: Defibrillator – https://osm.org/node/11949582239 via StreetComplete 62.1:  Fehlt Momentan  Attached photo(s): https://streetcomplete.app/p/322710.jpg,2,0,Jojo4u,mittlerweile eingetragen
4938019,Deutschland,48.8134505,9.1690437,2025-08-30 00:00:00,2026-04-23 22:24:14,236,NVBW_Edit_wielandb,Was ist hier? Küche minmin oder nicht?,3,0,Jojo4u,operator an die Tor gemacht und Weg nur noch bis Tor.
5007364,Deutschland,50.1733998,11.3846111,2025-10-15 00:00:00,2026-04-23 22:16:56,190,Unknown,Neuer Radweg entlang der B85,2,0,kulmbachcontent,neuen Radweg mit gpx Track eingezeichnet
5007370,Deutschland,50.1791141,11.3775444,2025-10-15 00:00:00,2026-04-23 22:16:51,190,Unknown,Neuer Radweg entlang der B85,2,0,kulmbachcontent,neuen Radweg mit gpx Track eingezeichnet
5007368,Deutschland,50.1866442,11.3762999,2025-10-15 00:00:00,2026-04-23 22:16:42,190,Unknown,Neuer Radweg entlang der B85,3,0,kulmbachcontent,neuen Radweg mit gpx Track eingezeichnet
