note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5191277,Česko,49.8345617,13.9047999,2026-03-05 00:00:00,2026-04-23 21:55:17,49,Lukás,"Unable to answer 'What kind of building is this?' – Building – https://osm.org/way/386057068 via StreetComplete 63.0:  Z budovy jdou komíny a vlastní ji město, ale nevím, k čemu slouží",2,0,Náčelník,je to kotelna ke škole
5191242,Česko,49.8333774,13.9017916,2026-03-05 00:00:00,2026-04-23 21:51:15,49,Lukás,Unable to answer 'Does this crossing have markings across the roadway?' – Crossing – https://osm.org/node/3901873526 via StreetComplete 63.0:  Není vyznačený pruhy  Attached photo(s): https://streetcomplete.app/p/330158.jpg,2,0,Náčelník,
5191253,Česko,49.8337144,13.9024113,2026-03-05 00:00:00,2026-04-23 21:51:03,49,Lukás,Unable to answer 'Does this crossing have markings across the roadway?' – Crossing – https://osm.org/node/5646591450 via StreetComplete 63.0:  Bez vyznačení bílými pruhy na zemi  Attached photo(s): https://streetcomplete.app/p/330159.jpg,2,0,Náčelník,
5002183,Česko,50.0426031,14.5133959,2025-10-12 00:00:00,2026-04-23 01:57:38,193,xorly,New footpath wip. Re-check in a month or so.  via StreetComplete 61.3  Attached photo(s): https://streetcomplete.app/p/310161.jpg,4,1,Unknown,
4816456,Česko,50.1309826,14.5547839,2025-06-21 00:00:00,2026-04-22 19:47:36,305,tocra,Unable to answer 'What’s the name of this place?' – 20 (Christian Church) – https://osm.org/node/9398125986 via StreetComplete 61.1:  Někdo kříž odstranil  Attached photo(s): https://streetcomplete.app/p/285903.jpg,3,0,tocra,kříž je zase na místě
5259214,Česko,49.1843172,16.7088246,2026-04-21 00:00:00,2026-04-22 19:23:20,1,kiwichickenmusician,"Měl by tu být příčestní křiž. Ze silnice je něco vidět, ČÚZK jej má. zaznamenat i nápis na něm do atributu inscription, volitelně zaznamenat vedení příchozích polních cest.   #organicmaps android 2026.04.07-8-FDroid",2,0,kiwichickenmusician,hotovo
5244807,Česko,50.0388044,14.4106777,2026-04-11 00:00:00,2026-04-22 10:18:50,11,simacekjakub,nová zastávka BUS Přístaviště,2,0,simacekjakub,
5240317,Česko,50.0502721,14.4096512,2026-04-08 00:00:00,2026-04-22 09:56:32,14,simacekjakub,"Nové semafory na silnici, přechody pro chodce a přejezdy pro cyklisty  via StreetComplete 63.0",2,0,Ondřej Lopatka,Opraveno
5257674,Česko,50.0505373,14.4101018,2026-04-19 00:00:00,2026-04-22 09:06:11,3,simacekjakub,Silnice a zastávka opět v provozu. Jen si nejsem jist zda může kromě MHD i IAD.,4,0,Ondřej Lopatka,Opraveno
