note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5261533,Schweiz/Suisse/Svizzera/Svizra,47.2241544,8.9929051,2026-04-22 00:00:00,2026-04-24 08:25:28,2,Unknown,'Temporäre Asyleinrichtung' OSM snapshot date: 2026-04-05T19:23:11Z POI name: Regionales Asylzentrum POI types: building amenity-social_facility  #CoMaps ios 2026.04.07-8-ios,2,0,habi,Resolved with changeset https://www.openstreetmap.org/changeset/181752664 by noteSolver_plugin/0.5.0
5250828,Schweiz/Suisse/Svizzera/Svizra,47.2383980,8.7269260,2026-04-15 00:00:00,2026-04-24 08:15:28,9,silat,"#mapycom our user indicates one way road, can someone verify?",3,0,habi,https://www.openstreetmap.org/changeset/181752206
5263390,Schweiz/Suisse/Svizzera/Svizra,47.5664564,7.5761153,2026-04-24 00:00:00,2026-04-24 08:06:30,0,lionfish16,"'Schon länger Pizzeria, jetzt jedoch Konkurs' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI name: Nordbahnhof POI types: wheelchair-limited amenity-restaurant cuisine-thai  #organicmaps android 2026.04.07-8-Google",2,0,habi,Wurde schon in https://www.openstreetmap.org/changeset/181689671 erledigt
5263286,Schweiz/Suisse/Svizzera/Svizra,47.3511190,7.9664770,2026-04-24 00:00:00,2026-04-24 08:02:31,0,Unknown,Guten Tag  Dieses Gebäude wird nicht mehr von Meier Tobler AG benutzt. Sondern ist jetzt in Nutzung von Planzer Transport AG. Und ist Filiale Däniken.,2,0,habi,Resolved with changeset https://www.openstreetmap.org/changeset/181751735 by noteSolver_plugin/0.5.0
5263429,Schweiz/Suisse/Svizzera/Svizra,47.3576681,8.0492851,2026-04-24 00:00:00,2026-04-24 07:23:56,0,Unknown,Verkaufsautomat für Snacks und kalte Getränke,2,0,Piagno,https://www.openstreetmap.org/changeset/181750350
5262359,Schweiz/Suisse/Svizzera/Svizra,46.9390940,7.4743335,2026-04-23 00:00:00,2026-04-24 07:17:31,1,Piagno,physiowerk stoller  #OsmAnd,2,0,Piagno,https://www.openstreetmap.org/changeset/181750102
5263078,Schweiz/Suisse/Svizzera/Svizra,46.7455250,7.6442960,2026-04-23 00:00:00,2026-04-24 07:15:32,1,Unknown,Kreisel ist oval,2,0,Piagno,couldn't find any new imagery. moved it to a fixme https://www.openstreetmap.org/changeset/181750015
5262999,Schweiz/Suisse/Svizzera/Svizra,47.5278384,7.6068467,2026-04-23 00:00:00,2026-04-23 18:55:58,0,Unknown,Schiene,2,0,Fjellrev,Ist eingezeichnet
5263001,Schweiz/Suisse/Svizzera/Svizra,47.5156011,7.6186913,2026-04-23 00:00:00,2026-04-23 18:55:44,0,Unknown,Buslinie richtung Schlossmatt hält hier.,2,0,Taktaal,Ist bereits gemappt: https://www.openstreetmap.org/relation/1623198
5263009,Schweiz/Suisse/Svizzera/Svizra,47.4727281,7.6477182,2026-04-23 00:00:00,2026-04-23 18:54:52,0,Unknown,Hier gibt es keine Schienen,2,0,Taktaal,"Hier sind auch keine Schienen gemappt, also ist alles ok"
5262219,Schweiz/Suisse/Svizzera/Svizra,46.7920022,9.2762426,2026-04-23 00:00:00,2026-04-23 18:41:36,0,Unknown,Unable to answer 'How is this power line attached?' – Power Pole – https://osm.org/node/2197546137 via StreetComplete_ee 63.0:  Fahrleitung der Eisenbahn.,3,0,Unknown,"Ja, das ist so. Auf Basis einer Foto von heute 23.04.26 nutzt diese Hochspannungsleitung die nordseitigen Fahrleitungsmasten."
5261436,Schweiz/Suisse/Svizzera/Svizra,46.9873953,7.3860791,2026-04-22 00:00:00,2026-04-23 18:37:45,1,Piagno,3043-bier.ch  #OsmAnd,4,0,dafadllyn,"Danke! Ich habe die Brauerei nun eingetragen, siehe https://www.openstreetmap.org/changeset/181733261. LG"
5262216,Schweiz/Suisse/Svizzera/Svizra,46.7918584,9.2758772,2026-04-23 00:00:00,2026-04-23 17:48:15,0,Unknown,Unable to answer 'How is this power line attached?' – Power Pole – https://osm.org/node/2197546136 via StreetComplete_ee 63.0:  Fahrleitung der Eisenbahn.,2,0,Fjellrev,Gleiche Leitung wie in https://www.openstreetmap.org/note/5262219
5262218,Schweiz/Suisse/Svizzera/Svizra,46.7916294,9.2752127,2026-04-23 00:00:00,2026-04-23 17:48:06,0,Unknown,Unable to answer 'How is this power line attached?' – Power Pole – https://osm.org/node/2197546135 via StreetComplete_ee 63.0:  Fahrleitung der Eisenbahn.,2,0,Fjellrev,Gleiche Leitung wie in https://www.openstreetmap.org/note/5262219
5262643,Schweiz/Suisse/Svizzera/Svizra,47.1644850,9.4723955,2026-04-23 00:00:00,2026-04-23 17:46:52,0,Unknown,Churerstrasse 8,2,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181731291 by noteSolver_plugin/0.5.0
5262464,Schweiz/Suisse/Svizzera/Svizra,46.8437392,7.6228984,2026-04-23 00:00:00,2026-04-23 13:03:00,0,Unknown,"'Einstellhalle der Wohnblock hat die Nummer 38' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI has no name POI types: building  #organicmaps android 2026.04.07-8-FDroid",2,0,habi,https://www.openstreetmap.org/changeset/181717554
5262465,Schweiz/Suisse/Svizzera/Svizra,46.8436053,7.6228622,2026-04-23 00:00:00,2026-04-23 13:02:59,0,Unknown,"'Dies ist die Einstellhalle ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI has no name POI types: building  #organicmaps android 2026.04.07-8-FDroid",2,0,habi,https://www.openstreetmap.org/changeset/181717554
5262466,Schweiz/Suisse/Svizzera/Svizra,46.8435998,7.6229722,2026-04-23 00:00:00,2026-04-23 13:02:58,0,Unknown,"'34b gibt es nicht. Der Wohnblock hat die Nummer 34' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI has no name POI types: building  #organicmaps android 2026.04.07-8-FDroid",2,0,habi,https://www.openstreetmap.org/changeset/181717554
5262039,Schweiz/Suisse/Svizzera/Svizra,47.4811761,8.2882565,2026-04-23 00:00:00,2026-04-23 10:07:10,0,Unknown,"KDJ Hütte https://www.google.com/maps/place/KDJ+H%C3%BCtte/@47.4802536,8.2886187,18z/data=!4m6!3m5!1s0x47906ca17a4d0cdd:0x4934c11eddb17a4e!8m2!3d47.4810353!4d8.2882055!16s%2Fg%2F11dfhv_rq8?entry=ttu&g_ep=EgoyMDI2MDQyMS4wIKXMDSoASAFQAw%3D%3D",3,0,habi,https://www.openstreetmap.org/changeset/181710060
5238027,Schweiz/Suisse/Svizzera/Svizra,45.8527869,8.9391811,2026-04-06 00:00:00,2026-04-23 08:51:26,17,Unknown,amenity public_bookcase sul lato del municipio,2,0,habi,Resolved with changeset https://www.openstreetmap.org/changeset/181706544 by noteSolver_plugin/0.5.0
5238024,Schweiz/Suisse/Svizzera/Svizra,45.8529092,8.9392401,2026-04-06 00:00:00,2026-04-23 08:51:26,17,Unknown,Aggiungere amenity towh hall Questo è il municipio,2,0,habi,Resolved with changeset https://www.openstreetmap.org/changeset/181706544 by noteSolver_plugin/0.5.0
5261708,Schweiz/Suisse/Svizzera/Svizra,47.0464100,7.5421384,2026-04-22 00:00:00,2026-04-23 07:13:14,1,HarryvomHousy,Unable to answer 'What’s the surface here?' – Foot Path – https://osm.org/way/1136983472 via StreetComplete 63.0:  Existiert nicht,2,0,habi,Resolved with changeset https://www.openstreetmap.org/changeset/181703026 by noteSolver_plugin/0.5.0
5261983,Schweiz/Suisse/Svizzera/Svizra,46.7284249,7.0721260,2026-04-23 00:00:00,2026-04-23 06:59:37,0,Unknown,Il y a maintenant 3 garages à côté de cet immeuble,2,0,habi,https://www.openstreetmap.org/changeset/181702581
5261174,Schweiz/Suisse/Svizzera/Svizra,46.7828415,6.6221166,2026-04-22 00:00:00,2026-04-23 06:51:11,1,Unknown,L'icône devrait se trouver sur le bâtiment   #OsmAnd,3,0,habi,Resolved with changeset https://www.openstreetmap.org/changeset/107317086 by noteSolver_plugin/0.5.0
5261609,Schweiz/Suisse/Svizzera/Svizra,47.3690190,8.5377883,2026-04-22 00:00:00,2026-04-23 04:18:47,1,Sara Newmountain,In context of overlay 'Places' – on level 0: Lalique – https://osm.org/node/4237460195 via StreetComplete 63.0:  Kein Laden hier - EFG bank ist auch hier,2,0,captain_slow,Wurde bereits vor 2 JAhren als geschlossen eingetragen: https://www.openstreetmap.org/changeset/133374549
5261642,Schweiz/Suisse/Svizzera/Svizra,47.3873078,8.4867712,2026-04-22 00:00:00,2026-04-22 22:18:56,0,Sara Newmountain,Unable to answer 'What’s the measured height here?' – Driveway – https://osm.org/way/1453180886 via StreetComplete 63.0:  Baustelle,2,0,Taktaal,Baustelle ist bereits seit 5 Monaten gemappt
5261635,Schweiz/Suisse/Svizzera/Svizra,47.3831896,8.4990734,2026-04-22 00:00:00,2026-04-22 22:18:25,0,Sara Newmountain,"Hier sieht es so aus, als ob der Weg über das Gebäude geht - der Weg ist jedoch durch einem Tunnel unter das Gebäude  via StreetComplete 63.0",2,0,Taktaal,Habe den Tunnel hinzugefügt
5239512,Schweiz/Suisse/Svizzera/Svizra,47.4097138,9.4443987,2026-04-07 00:00:00,2026-04-22 18:04:37,15,lionfish16,"'Nicht vorhanden' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-03-10T00:09:11Z POI name: Restaurant Rebstock POI types: building cuisine-regional amenity-restaurant  #organicmaps android 2026.03.11-12-Google",4,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181685371 by noteSolver_plugin/0.5.0
5239098,Schweiz/Suisse/Svizzera/Svizra,47.6951126,8.6365713,2026-04-07 00:00:00,2026-04-22 18:02:32,15,Andreas84,Unable to answer 'What kind of memorial is this?' – Schillerglocke (Memorial) – https://osm.org/node/2038444433 via StreetComplete 63.0:  It's a large bell.  Attached photo(s): https://streetcomplete.app/p/336894.jpg,4,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181685296 by noteSolver_plugin/0.5.0
5260679,Schweiz/Suisse/Svizzera/Svizra,46.7565654,7.6192225,2026-04-22 00:00:00,2026-04-22 16:04:03,0,mcg1878,Unable to answer 'What type of bicycle rental is this?' – Bicycle Rental – https://osm.org/way/1203277388 via StreetComplete 63.0:  There is no bike rental here.,2,0,Piagno,https://www.openstreetmap.org/changeset/181680746
5222679,Schweiz/Suisse/Svizzera/Svizra,47.5460465,7.5880896,2026-03-28 00:00:00,2026-04-22 15:27:27,25,nurdafur,"Bitte hier den Verlauf und das Level der Fusswege vor Ort überprüfen. Der Fussweg Richtung Süden hat Level=1 und indoor=yes, führt aber aus dem Gebäude heraus. Der Fussweg Richtung Norden hat kein Level, sollte aber eins haben. Wahrscheinlich -1",9,1,Piagno,https://www.openstreetmap.org/changeset/181679173
5261293,Schweiz/Suisse/Svizzera/Svizra,46.9447544,7.4496961,2026-04-22 00:00:00,2026-04-22 15:25:58,0,Unknown,AwdIhasdumbadcMub,2,0,Fjellrev,
