note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5262169,België / Belgique / Belgien,51.1797410,4.8358830,2026-04-23 00:00:00,2026-04-24 08:30:48,1,armando3cd6,Nieuwe kunstgalerij opent in mei 2026. https://www.hln.be/herentals/nieuwe-kunstgalerij-huis-van-tichelen-opent-deuren-in-eeuwenoud-klooster-in-herentals~a9247572/,2,0,armando3cd6,Done
5263404,België / Belgique / Belgien,50.4511140,3.9861330,2026-04-24 00:00:00,2026-04-24 07:04:52,0,Unknown,Salle de réunion Upkot,2,0,Jakka,pas évident de mettre sans plan detailler. Ne sera pas visible ici . https://wiki.openstreetmap.org/wiki/Simple_Indoor_Tagging
5247975,België / Belgique / Belgien,51.2536395,4.2785633,2026-04-13 00:00:00,2026-04-24 06:57:40,11,olecky,10-11 probably should be renamed to 10-20 and connected to 20 somewhere through here,8,0,olecky,"I extended 18-20 to the end of the village (where the images end), added two bollards and updated some surfaces. I'm sure there's some more information that can be added basing on your images, but I think this note can be closed. Thank you!"
5263180,België / Belgique / Belgien,50.9609157,3.5499090,2026-04-23 00:00:00,2026-04-24 06:37:20,1,kabelhaai,Batterijpark https://www.vrt.be/vrtnws/nl/2026/04/22/batterijpark-deinze-fluvius/,3,1,Jakka,individuele container samen een gebied ? https://www.openstreetmap.org/way/460202725
5263171,België / Belgique / Belgien,50.9540651,3.5396368,2026-04-23 00:00:00,2026-04-24 06:23:24,1,kabelhaai,buildings,2,0,Jakka,done
5263110,België / Belgique / Belgien,51.0028900,5.6796500,2026-04-23 00:00:00,2026-04-24 06:15:29,1,Unknown,over het water,2,0,Jakka,staat reeds in database https://www.openstreetmap.org/way/1243124304
5263115,België / Belgique / Belgien,50.9626600,5.3928100,2026-04-23 00:00:00,2026-04-24 06:14:54,1,Unknown,Fietsen door het water,4,1,Jakka,staat reeds in darabase https://www.openstreetmap.org/way/414454788
5254338,België / Belgique / Belgien,50.7874514,4.3546281,2026-04-17 00:00:00,2026-04-24 05:53:24,7,Kauwberg,"'ce ,'est pas une réserve naturelle c'est une réserve semie-naturelle car elle a déjà été chamboulée par l'homme. c'était u, mél ,ge de prairies de fauche, paturage, carrière etc. semie-nagurelle est plus exacte. ' OSM snapshot date: 2025-08-04T05:22:58Z POI name: Kauwberg POI types: landuse-forest leisure-nature_reserve  #CoMaps ios 2026.03.23-6-ios",3,0,RaphaelPasloin,"En fait exactement la même note a été faite il y a 6 mois sans réponse non plus, closing.  https://www.openstreetmap.org/note/4922103"
5262826,België / Belgique / Belgien,50.5144089,5.9404063,2026-04-23 00:00:00,2026-04-23 18:54:33,0,malte1030,"point-noeud 19, c.f. https://www.facebook.com/photo/?fbid=1387015739896470&set=pcb.1387015753229802",2,0,Thierry1030,hier is KP 19. Vanmiddag ingevoerd > https://www.openstreetmap.org/node/1746491001
5262835,België / Belgique / Belgien,50.4994112,5.9526479,2026-04-23 00:00:00,2026-04-23 18:53:31,0,malte1030,"point noeud 18, la liaison avec le 19 se fait par l'Av. Joseph Jongen https://www.facebook.com/photo/?fbid=1387015739896470&set=pcb.1387015753229802",5,1,Thierry1030,"Dag Malte, We krijgen regelmatig updates doorgestuurd van de 'Fédération du Tourisme de la Province de Liège A.S.B.L.' Vanmiddag heb ik de aanpassingen in de omgeving van Sart-lez-Spa ingevoerd in OSM. Cyclosm en Opencyclemap updaten hun kaart/gegevens maar om de zoveel dagen. Bij waymarked trails (zie link van Jakka) worden wijzigingen quasi onmiddellijk zichtbaar gemaakt ..."
5262830,België / Belgique / Belgien,50.5109294,5.9368551,2026-04-23 00:00:00,2026-04-23 18:50:47,0,malte1030,piste cyclable entre ici et noeud 19 https://www.facebook.com/photo/?fbid=1387015739896470&set=pcb.1387015753229802,2,0,Thierry1030,"toegevoegd, bedankt! https://www.openstreetmap.org/way/303377347"
5262837,België / Belgique / Belgien,50.4998479,5.9269738,2026-04-23 00:00:00,2026-04-23 18:36:10,0,malte1030,point-noeud 22. https://www.facebook.com/photo/?fbid=1387015739896470&set=pcb.1387015753229802,3,0,malte1030,"oui, pas vu sur cyclosm."
5211457,België / Belgique / Belgien,50.8556943,4.0537890,2026-03-19 00:00:00,2026-04-23 18:26:09,35,philippec,AED mapillary https://denderjournaal.be/restaurant-de-scheerling-plaatst-aed-toestel-en-verhoogt-veiligheid-in-okegem-dorp/,2,0,philippec,ok
4543464,België / Belgique / Belgien,50.9468254,3.8038067,2024-12-04 00:00:00,2026-04-23 18:20:27,505,philippec,"AED mapillary danskapel van Toi, Moi et la Danse Sportstraat  Oosterzele of AED mapillary of dorp 50 Oosterzele",4,0,philippec,In de danskapel is van buitenuit geen AED te zien.   Op het evacuatieschema is ook geen AED te zien.
5262939,België / Belgique / Belgien,51.0664769,3.0981647,2026-04-23 00:00:00,2026-04-23 18:11:22,0,Adriaan Watteeuw,'privé parking.' OSM snapshot date: 2026-03-10T00:09:11Z POI has no name POI types: amenity-parking  #organicmaps android 2026.04.07-8-Google,2,0,Jakka,uw aanpassing is niet 100% correct zie info doe de aanpassing. https://wiki.openstreetmap.org/wiki/Key:access
5255378,België / Belgique / Belgien,49.9964839,5.0682158,2026-04-18 00:00:00,2026-04-23 17:30:39,5,olecky,In context of overlay 'Bike paths' – Train Vicinal SNCV 518 Graide-Wellin 1906 (Path) – https://osm.org/way/1500739044 via StreetComplete 63.0:  Track,2,0,olecky,updated
5255380,België / Belgique / Belgien,49.9979172,5.0684226,2026-04-18 00:00:00,2026-04-23 17:30:31,5,olecky,In context of overlay 'Surfaces' – Train Vicinal SNCV 518 Graide-Wellin 1906 (Path) – https://osm.org/way/1500739045 via StreetComplete 63.0:  Track + fence + path  Attached photo(s): https://streetcomplete.app/p/339226.jpg,2,0,olecky,added
5262896,België / Belgique / Belgien,51.2258684,4.9109048,2026-04-23 00:00:00,2026-04-23 16:59:15,0,Unknown,"verbodsbod voor doorgang tijdens speelstraat en buurtfeest, enkel plaatselijk verkeer toegelaten",4,1,Unknown,
5208963,België / Belgique / Belgien,51.2208524,4.3806159,2026-03-17 00:00:00,2026-04-23 15:59:12,37,Unknown,nieuwbouw,4,0,kabelhaai,top
5208962,België / Belgique / Belgien,51.2203904,4.3821636,2026-03-17 00:00:00,2026-04-23 15:58:29,37,Unknown,Deze vier met verkeerslichten geregelde kruisingen doen het voortaan zonder.,4,0,kabelhaai,bedankt
