note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4951256,Sverige,57.2788717,17.0219525,2025-09-07 00:00:00,2026-04-24 08:42:24,229,Neldo,Bus stop  #OsmAnd,2,0,lukabułka,"someone already added, im closing the note"
4952655,Sverige,57.2500676,17.0569099,2025-09-08 00:00:00,2026-04-24 08:41:52,228,Neldo,Bus Stop Böda  #OsmAnd,2,0,lukabułka,"someone already added it, im closing the note"
4817117,Sverige,56.7132886,16.7096638,2025-06-22 00:00:00,2026-04-24 08:40:32,306,maradatscha,'There is a place to get water. ' OSM snapshot date: 2025-02-27T10:33:49Z POI has no name POI types: amenity-drinking_water  #organicmaps ios,2,0,lukabułka,"looks like its already on the map, im closing the note"
4922297,Sverige,56.6640799,16.3620218,2025-08-21 00:00:00,2026-04-24 08:36:12,246,emj,Nörderian  via StreetComplete 61.3  Attached photo(s): https://streetcomplete.app/p/299860.jpg,2,0,lukabułka,added https://www.openstreetmap.org/changeset/181753099
4932415,Sverige,56.6784791,16.3606661,2025-08-27 00:00:00,2026-04-24 08:29:56,240,_Mathieu_,Unable to answer 'Does this crosswalk have tactile paving on both ends?' – Traffic Signals – https://osm.org/node/1065183349 via StreetComplete 61.3:  no crossing there,2,0,lukabułka,fixed https://www.openstreetmap.org/changeset/181752847
4932414,Sverige,56.6787270,16.3602180,2025-08-27 00:00:00,2026-04-24 08:29:51,240,_Mathieu_,Unable to answer 'Does this crosswalk have tactile paving on both ends?' – Traffic Signals – https://osm.org/node/1065183065 via StreetComplete 61.3:  no crossing there,2,0,lukabułka,fixed https://www.openstreetmap.org/changeset/181752847
5262917,Sverige,66.3734400,20.1749100,2026-04-23 00:00:00,2026-04-23 17:32:43,0,Unknown,Fix relations with the lakes,2,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181730691 by noteSolver_plugin/0.5.0
5262070,Sverige,56.0553724,12.6895094,2026-04-23 00:00:00,2026-04-23 15:16:38,0,Unknown,Tränsgatan 6,2,0,Fjellrev,Felplacerad. Tränsgatan 6 ligger mer än 2 km österut. https://www.openstreetmap.org/way/167146991
5202961,Sverige,63.8527701,15.5580295,2026-03-13 00:00:00,2026-04-23 14:34:08,41,Prismen-Kompass,Bankomat  #OsmAnd,2,0,Unknown,
5260555,Sverige,60.4896465,15.4772006,2026-04-22 00:00:00,2026-04-23 08:32:41,1,AndersAndersson,Lägg in operatören.  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/339966.jpg,3,1,AndersAndersson,Enbart märkt med tillverkaren av utrustningen. Tillhör förmodligen Bilmetro.
5261295,Sverige,55.6972794,13.0763893,2026-04-22 00:00:00,2026-04-22 15:38:18,0,Unknown,This should have ref 7 and not ref 5 as it is hole blue 7,2,0,Unknown,
5257129,Sverige,56.6421025,14.9158402,2026-04-19 00:00:00,2026-04-22 11:44:15,3,Unknown,looks odd on main map spelkolletivet name only shows up after zooming in,4,1,Unknown,Looks perfectly fine in my eyes. Shows up at the same zoom-level (17) as any other 'house-name' or housenumber
5256929,Sverige,59.3086385,17.9952438,2026-04-19 00:00:00,2026-04-21 19:51:54,2,novabeat,I can't see any dedicated sports grounds here  #OsmAnd,3,0,novabeat,thanks. will remove then
5256927,Sverige,59.3086393,17.9958450,2026-04-19 00:00:00,2026-04-21 19:51:42,2,novabeat,this doesn't seem to exist. maybe seasonal?  #OsmAnd,3,0,novabeat,thanks. removing it then
5258693,Sverige,58.3885936,13.8315517,2026-04-20 00:00:00,2026-04-21 10:34:49,1,Swedneck,"Fence ends here, and there's a path  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/339727.jpg",2,0,Swedneck,
5250674,Sverige,57.6892026,11.9519050,2026-04-15 00:00:00,2026-04-20 16:24:54,5,Batistacavera,Unable to answer 'How is this lamp mounted?' – Street Lamp – https://osm.org/node/9952492272 via StreetComplete_ee 63.0:  It has been removed,2,0,Axel Flordal,
5250675,Sverige,57.6885544,11.9509377,2026-04-15 00:00:00,2026-04-20 16:23:36,5,Batistacavera,In context of overlay 'Things' – Broadleaved Tree – https://osm.org/node/10045727273 via StreetComplete_ee 63.0:  It has been sculptured  Attached photo(s): https://streetcomplete.app/p/338487.jpg,2,0,Axel Flordal,
5250676,Sverige,57.6880838,11.9493422,2026-04-15 00:00:00,2026-04-20 16:16:06,5,Batistacavera,Unable to answer 'Does this tree have needles or leaves?' – Tree – https://osm.org/node/13731696919 via StreetComplete_ee 63.0:  End ek för att fira drottning Elizabeth II  Attached photo(s): https://streetcomplete.app/p/338488.jpg,2,0,Axel Flordal,
5255308,Sverige,59.2694574,18.0548728,2026-04-18 00:00:00,2026-04-19 22:34:17,1,emj,Där vägen är idag går cykelbanan  Det finns en väg närmare huset som är helt ny.  Jag har gjort ett GPX track där jag cyklar på cykelbanan längs med Örbyleden.  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/emj/traces/12299248,2,0,emj,
5256865,Sverige,58.3478188,16.5015507,2026-04-19 00:00:00,2026-04-19 21:34:14,0,Adde79,According to https://skyddadnatur.naturvardsverket.se/sknat/?nvrid=2028251 the ways 1329306462 and 1329306463 is the same nature reserve (the same entity),4,1,Adde79,Can they be made into a relation so it's possible to link to the whole nature reserve?
5256832,Sverige,57.8858870,13.6482382,2026-04-19 00:00:00,2026-04-19 21:33:55,0,Adde79,According to https://skyddadnatur.naturvardsverket.se/sknat/?nvrid=2013532 the OSM-ways 881396153 and 881395131 is one nature reserve (one entity).,4,1,Adde79,Can they be made into a relation so it's possible to link to the whole nature reserve?
5237292,Sverige,67.8482010,20.3123050,2026-04-06 00:00:00,2026-04-19 19:29:47,13,Teraionai,Unable to answer 'Do the trees here have needles or leaves?' – Managed Forest – https://osm.org/way/1423388525 via StreetComplete 63.0:  No forest,2,0,Fjellrev,https://www.openstreetmap.org/changeset/181552703
5257116,Sverige,58.4131853,15.6231460,2026-04-19 00:00:00,2026-04-19 18:52:01,0,Pyrstötähti,Unable to answer 'What kind of memorial is this?' – Gamla Ljungstedtska skolan (Memorial) – https://osm.org/node/773006102 via StreetComplete 63.0:  Det verkar inte finnas något monument.  Attached photo(s): https://streetcomplete.app/p/339489.jpg,5,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181551392 by noteSolver_plugin/0.5.0
5229114,Sverige,64.0126183,17.8054538,2026-04-01 00:00:00,2026-04-19 18:42:33,18,Dalkvist,road misaligned,2,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181551072 by noteSolver_plugin/0.5.0
5229115,Sverige,62.3410515,14.0391494,2026-04-01 00:00:00,2026-04-19 18:39:46,18,Dalkvist,road misaligned,2,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181550993 by noteSolver_plugin/0.5.0
5229113,Sverige,61.3895903,14.1019734,2026-04-01 00:00:00,2026-04-19 18:38:37,18,Dalkvist,road misaligned,2,0,Fjellrev,https://www.openstreetmap.org/changeset/181550917
5228812,Sverige,63.3181188,13.2538086,2026-04-01 00:00:00,2026-04-19 18:31:24,18,Dalkvist,fixme: road misaligned,2,0,Fjellrev,Resolved with changeset https://www.openstreetmap.org/changeset/181550757 by noteSolver_plugin/0.5.0
5253555,Sverige,57.0918411,12.3204831,2026-04-17 00:00:00,2026-04-19 12:30:58,2,Unknown,"Min adress ska vara som markerad på Facebook,har lagt ut en vara och min position är helt fel",2,0,Fjellrev,För liten information för att fixa. Vilken är din adress? Vad är fel? Detta som finns inlagt här stämmer överens med den information som finns på andra informationssidor.
5251826,Sverige,56.0228996,12.7206003,2026-04-15 00:00:00,2026-04-19 11:28:58,4,EuphoricWeaver,"This place does not exist: 'Place closed down at this location' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-03-21T17:13:14Z POI name: Willys Helsingborg Planteringen POI types: wheelchair-yes shop-supermarket  #CoMaps android 2026.03.23-5-Google",2,0,map per,"Thanks, marked the supermarket as vacant"
