note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4018253,Føroyar,62.2248800,-6.5844700,2023-12-07 00:00:00,2026-01-14 13:35:11,769,Tajtrdlik,"Forwarding anonymous report from #Mapy.cz user, please verify: 'There is located post office'.  https://www.openstreetmap.org/way/1089679574",3,0,Wanderer2000,The post office has already been mapped here
2686605,Føroyar,62.2343008,-6.5968694,2021-05-26 00:00:00,2025-12-30 12:14:03,0,Unknown,Sjónám,3,0,Wanderer2000,Seems to be a maritime school. I have added the tags for it.
4916789,Føroyar,62.2870729,-6.9672428,2025-08-18 00:00:00,2025-12-30 11:58:21,0,AdrienGo,'beside the soccer field' OSM snapshot date: 2025-08-08T13:08:07Z POI has no name POI types: leisure-picnic_table  #organicmaps android,2,0,Wanderer2000,picnic table is mapped next to the soccer field
4788509,Føroyar,62.1104460,-7.4369130,2025-06-03 00:00:00,2025-12-30 11:55:47,0,Unknown,Bus stop,2,0,Wanderer2000,Bus stop has been added since
3321046,Føroyar,62.0310422,-6.7739350,2022-08-18 00:00:00,2025-11-19 10:25:10,0,ulrich_,access=* is missing; presumably all of these parking spaces are private and mapping them without access=private might be misleading to users seeking parking. Perhaps individual private parking spaces belonging to a house should not be tagged at all.,2,0,Tomas09,https://www.openstreetmap.org/changeset/174852130#map=18/62.030629/-6.774704&layers=N
4297378,Føroyar,62.0086552,-6.7676763,2024-06-18 00:00:00,2025-11-19 10:23:20,0,Crsi,Map & bicycle parking  via StreetComplete 58.0  Attached photo(s): https://westnordost.de/p/219071.jpg,2,0,Tomas09,https://www.openstreetmap.org/changeset/174852072#map=19/62.008669/-6.767705&layers=N
4296384,Føroyar,62.0146618,-6.7720918,2024-06-17 00:00:00,2025-11-19 10:21:39,0,Crsi,Unable to answer 'What’s the surface here?' – Foot Path – https://osm.org/way/843265235 via StreetComplete 58.0:  It is a path not a footway. Surface grass,2,0,Tomas09,https://www.openstreetmap.org/changeset/174851999#map=19/62.014649/-6.771926&layers=N
4652028,Føroyar,61.9937070,-6.7748483,2025-03-05 00:00:00,2025-11-19 10:20:07,0,Sigmundur Mørkøre,"The building marked as the bus stop shelter for passengers is actually a building for workers of the bus line. (Space for drivers to have their break, etc.)  The building slightly to the right is actually the shelter for passengers.",2,0,Tomas09,https://www.openstreetmap.org/changeset/174851871#map=19/61.993720/-6.774827&layers=N
4295895,Føroyar,61.9964401,-6.7895321,2024-06-17 00:00:00,2025-11-19 10:17:12,0,Crsi,Here is a bus stop for line 1: Hamarin  via StreetComplete 58.0,2,0,Tomas09,
4297397,Føroyar,62.0069600,-6.6710427,2024-06-18 00:00:00,2025-11-19 10:15:59,0,Crsi,New building  via StreetComplete 58.0,2,0,Tomas09,https://www.openstreetmap.org/changeset/174851749#map=19/62.007007/-6.670726&layers=N
3854057,Føroyar,61.9054808,-6.8843239,2023-08-26 00:00:00,2025-11-19 09:06:00,0,Mateusz Konieczny,https://www.openstreetmap.org/node/1124686827  shop=Lonin ? What is the meaning of that shop value? What kind of services or products are sold here? Is anything from https://wiki.openstreetmap.org/wiki/Key:shop fitting? Maybe new value needs to be invented? Maybe this data is wrong and there is no shop here? Maybe it is not a shop but something else?,2,0,Tomas09,https://www.openstreetmap.org/changeset/174849050#map=17/61.905563/-6.885421&layers=N
4918256,Føroyar,61.7709019,-6.8056932,2025-08-19 00:00:00,2025-11-19 08:58:08,0,AdrienGo,'two tables' OSM snapshot date: 2025-08-08T13:08:07Z POI has no name POI types: leisure-picnic_table  #organicmaps android,2,0,Tomas09,https://www.openstreetmap.org/changeset/174848822#map=19/61.770916/-6.805675&layers=N
