note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5111767,Shqipëria,41.3327274,19.8234251,2025-12-30 00:00:00,2026-01-06 19:43:02,7,grigormalo,"This place does not exist: 'it’s in a different location close to this one' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-17T16:47:22Z POI name: crepe de la paris POI types: amenity-fast_food  #CoMaps ios 2025.12.19-11-ios",5,1,map per,"Thanks, marked the old location as vacant"
5115461,Shqipëria,41.5248587,19.9008796,2026-01-03 00:00:00,2026-01-03 19:03:10,0,m_p_13,ruins  #OsmAnd,2,0,m_p_13,
3925994,Shqipëria,41.3138833,19.4889842,2023-10-05 00:00:00,2026-01-03 13:29:30,0,Aebo,Unable to answer 'What barriers are used at this railway crossing?' for https://osm.org/node/1767404480 via StreetComplete 54.0:  No train tracks here,2,0,granitschädel,
1657099,Shqipëria,41.0233261,20.0262952,2019-01-21 00:00:00,2025-12-29 13:43:28,0,Mateusz Konieczny,There is no village here visible on aerial images but one is mapped here - is it completely wrong or duplicating correct one and should it be deleted or is it not positioned correctly and should be moved?,2,0,themapper53,It has been removed
1656947,Shqipëria,41.0323061,19.9583709,2019-01-21 00:00:00,2025-12-29 13:42:56,0,Mateusz Konieczny,There is no village here but one is mapped here,2,0,themapper53,It has been removed
5085237,Shqipëria,40.3301764,19.4772927,2025-12-09 00:00:00,2025-12-27 16:13:09,0,AttilaArcDev,"If it is a roundabout, please mark roundabout or at least oneway yes. Thank you.",2,0,Dimitar155,done in changeset/175965643
4913516,Shqipëria,41.7215990,19.6629149,2025-08-16 00:00:00,2025-12-19 16:25:41,0,Unknown,Rrotani (name of service area),2,0,Enock4seth,add via own survey Protani.
5089231,Shqipëria,41.3420200,19.8238800,2025-12-13 00:00:00,2025-12-18 13:51:33,0,Unknown,start,2,0,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was 'start'  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
2051749,Shqipëria,41.3278891,19.4574539,2020-01-09 00:00:00,2025-12-14 17:42:24,0,Albin Cerri,"'Why' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Albi House POI types: tourism-apartment OSM data version: 2019-11-24T01:08:45Z  #mapsme",8,1,Albin Cerri,Can A delete this place its closed
5087072,Shqipëria,40.7284906,19.5608032,2025-12-11 00:00:00,2025-12-11 10:50:19,0,Eddi Za,Perkthime Zyrtare Arbana Zarka,3,1,Eddi Za,
4826691,Shqipëria,41.3670866,19.7039044,2025-06-26 00:00:00,2025-12-10 01:15:18,0,Pan Perníček,"Forwarding anonymous report from #mapycom user, please verify: There's no saddle.  https://www.openstreetmap.org/node/4596339896",3,0,hersen qazimllari,
5085593,Shqipëria,41.3710923,19.7052687,2025-12-10 00:00:00,2025-12-10 01:14:54,0,hersen qazimllari,Tirana Fair,3,1,hersen qazimllari,
3693390,Shqipëria,39.7829612,20.0066292,2023-05-17 00:00:00,2025-11-28 18:03:37,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3693391,Shqipëria,39.7802404,20.0077397,2023-05-17 00:00:00,2025-11-28 18:03:37,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3693395,Shqipëria,39.7814153,20.0071549,2023-05-17 00:00:00,2025-11-28 17:56:14,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3693396,Shqipëria,39.7823181,20.0068921,2023-05-17 00:00:00,2025-11-28 17:56:14,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3693393,Shqipëria,39.7827345,20.0067472,2023-05-17 00:00:00,2025-11-28 17:56:14,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3693394,Shqipëria,39.7810608,20.0072944,2023-05-17 00:00:00,2025-11-28 17:56:14,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3693392,Shqipëria,39.7817657,20.0070369,2023-05-17 00:00:00,2025-11-28 17:56:13,0,user_1997731,"Nothing here anymore. No building, nothing.",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3687996,Shqipëria,41.1804993,19.4762986,2023-05-13 00:00:00,2025-11-28 17:56:12,0,user_1997731,Restaurant Voka is here,2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
5070461,Shqipëria,41.1138099,20.0845784,2025-11-27 00:00:00,2025-11-28 08:25:14,0,Matthieu Rakotojaona,"This place does not exist: 'closed' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-16T22:50:55Z POI name: Furrë e Pastçeri Blinat POI types: wheelchair-no shop-bakery  #CoMaps android 2025.11.19-2-FDroid",2,0,map per,"Thanks, marked the bakery as vacant"
5055209,Shqipëria,41.3365100,19.8215120,2025-11-16 00:00:00,2025-11-25 14:31:08,0,Unknown,HOME,2,0,mavl,"Thank you for the note, but this building is already marked on OpenStreetMap."
5065470,Shqipëria,42.0642281,19.5082065,2025-11-23 00:00:00,2025-11-24 17:31:37,0,Matthieu Rakotojaona,"'closed' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-04T05:32:27Z POI name: ProCredit Bank POI types: amenity-atm amenity-bank  #CoMaps android 2025.11.19-2-FDroid",2,0,Matthieu Rakotojaona,"Actually it's a mistake, the place still exists"
3539271,Shqipëria,42.5240500,19.6359200,2023-01-31 00:00:00,2025-11-22 11:56:09,0,Unknown,Parku Kombëtar 'Alpet e Shqipërisë',2,0,GO2Albania,
4988308,Shqipëria,40.9416480,19.7031460,2025-10-02 00:00:00,2025-11-19 20:56:28,0,Unknown,Sallon Nevi,7,1,ApartamentMediu,Sallon Nevi
5058311,Shqipëria,41.3219804,19.7899604,2025-11-18 00:00:00,2025-11-18 13:09:58,0,Unknown,3,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4488400,Shqipëria,40.2434073,19.9008762,2024-10-21 00:00:00,2025-11-11 01:36:14,0,tstill,"there is a fence here which blocks the trail, cannot go further   #OsmAnd",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
3974032,Shqipëria,40.4594913,19.4956550,2023-11-05 00:00:00,2025-10-28 13:55:15,0,Unknown,TE ZGARA,2,0,NeisBot,Same as note https://osm.org/note/3974027 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
3981330,Shqipëria,42.5240700,19.6359292,2023-11-10 00:00:00,2025-10-28 13:43:35,0,Unknown,Parku Kombëtar 'Alpet e Shqipërisë',2,0,NeisBot,Same as note https://osm.org/note/3539271 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
4371438,Shqipëria,42.0655379,19.4893713,2024-08-07 00:00:00,2025-10-28 13:22:44,0,Unknown,Natyra E Qete  #OsmAnd,2,0,NeisBot,Same as note https://osm.org/note/4371396 only ~1 m apart. Closing as duplicate.  #DuplicateNote #Nearby
2279974,Shqipëria,39.8545960,20.0220003,2020-07-26 00:00:00,2025-10-28 13:07:57,0,Михаил24333,"'Семейный ресторанчик национальной кухни. Еда очень вкусная, порции большие, душевное,  приветливое отношение хозяев, все очень  понравилось, приемлемые цены.  Рыбу и морепродукты не готовят. Сам ресторан небольшой, но уютный.' POI has no name POI types: amenity-restaurant OSM data version: 2019-06-21T10:47:15Z  #mapsme",2,0,NeisBot,Same as note https://osm.org/note/2279973 only ~1 m apart. Closing as duplicate.  #DuplicateNote #Nearby
3110118,Shqipëria,41.3378882,19.7896761,2022-03-29 00:00:00,2025-10-23 21:59:10,0,Unknown,Appstudiobela qera ditore,2,0,LEO33SoFo,
4817803,Shqipëria,41.3332559,19.8337126,2025-06-22 00:00:00,2025-10-23 21:04:15,0,Marcel-NL,"this bus stop is probably more to the north, on the other side of the crossing  #OsmAnd",2,0,LEO33SoFo,"Indeed, this bus stop was the old one, many years ago."
5002050,Shqipëria,41.5782860,20.4658020,2025-10-12 00:00:00,2025-10-18 06:11:48,0,user_23388340,Allajbeg Mosque in Burim,2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
5003969,Shqipëria,41.7689834,19.5994456,2025-10-13 00:00:00,2025-10-14 22:23:38,0,GoDoreen,Restaurant Defamel  #OsmAnd,2,0,GoDoreen,Restaurant Defamel added
5003970,Shqipëria,40.8319592,19.6257557,2025-10-13 00:00:00,2025-10-14 22:20:23,0,GoDoreen,Goma Lenci Tire Center  #OsmAnd,2,0,GoDoreen,Tire shop added
5003971,Shqipëria,40.7058716,19.9525594,2025-10-13 00:00:00,2025-10-14 22:07:04,0,GoDoreen,Konakët e Dervishëve  #OsmAnd,2,0,GoDoreen,tourist attraction Konakët e Dervishëve added
5003972,Shqipëria,40.7826412,19.8474242,2025-10-13 00:00:00,2025-10-14 22:05:08,0,GoDoreen,Trinkwasserbrunnen  #OsmAnd,2,0,GoDoreen,drinking water added
5003974,Shqipëria,40.4576470,19.4879549,2025-10-13 00:00:00,2025-10-14 22:03:23,0,GoDoreen,Friseur   #OsmAnd,2,0,GoDoreen,hairdresser added
5003973,Shqipëria,40.1189334,19.7326431,2025-10-13 00:00:00,2025-10-14 20:42:47,0,GoDoreen,Ticket Office   #OsmAnd,2,0,GoDoreen,Ticketshop for visiting Old Himara added
4825908,Shqipëria,42.3801060,19.5311930,2025-06-26 00:00:00,2025-10-13 05:45:21,0,automaitrise,AL2025_08019 Fin de chemin praticable -> sentier,2,0,Lumikeiju,Closing - duplicate of https://www.openstreetmap.org/note/4825910
4801012,Shqipëria,40.7261461,19.5585194,2025-06-11 00:00:00,2025-10-13 05:44:49,0,TYAS123,'doesn't exist' OSM snapshot date: 2025-05-11T16:17:16Z POI name: Optika Uzllova POI types: shop-optician  #organicmaps android,2,0,Lumikeiju,Closing - duplicate of https://www.openstreetmap.org/note/4801013
4261059,Shqipëria,41.3135611,19.8068035,2024-05-23 00:00:00,2025-10-13 05:44:09,0,northsoul,"'Front entry is located on the other side' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-04-29T02:50:07Z POI name: Albanian Courier POI types: amenity-post_office  #organicmaps android",2,0,Lumikeiju,Closing - duplicate of https://www.openstreetmap.org/note/4302482
4991692,Shqipëria,41.5100977,20.1064569,2025-10-05 00:00:00,2025-10-07 16:55:33,0,AttilaArcDev-priv,"https://www.openstreetmap.org/relation/18035182  Is it, indeed, a residential area?",2,0,ibanez,"it's a relation of type multipolygon, the landuse type didn't do much here, https://wiki.openstreetmap.org/wiki/Relation:multipolygon, the area types are defined by the inner/outer roles."
4991005,Shqipëria,42.0221627,19.5772060,2025-10-04 00:00:00,2025-10-04 16:45:27,0,Unknown,Lagjija Illiaj,3,0,Marku Juban,Errore
2292081,Shqipëria,39.7703158,20.0036481,2020-08-03 00:00:00,2025-10-04 16:13:42,0,vipvoronov,"'Закрылось' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Kancelari Mondi POI types: building amenity-cafe OSM data version: 2020-07-14T11:22:37Z  #mapsme",2,0,BluePixel4k,Thank you. Changed via https://www.openstreetmap.org/changeset/172837460
4691997,Shqipëria,39.7688200,20.0021180,2025-04-01 00:00:00,2025-10-04 16:05:28,0,Twins Bar Cocktail Snacks Ksamil,Twins Bar Cocktails Snacks,4,1,BluePixel4k,"Thank you, changed via https://www.openstreetmap.org/changeset/172837179"
