note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3894915,Crna Gora / Црна Гора,43.3471602,19.3165183,2023-09-18 00:00:00,2025-12-27 22:44:27,0,Unknown,Bokokotorska,2,0,soliMM,Name of the street already added: https://www.openstreetmap.org/way/990291953
3833601,Crna Gora / Црна Гора,41.9282386,19.2140782,2023-08-14 00:00:00,2025-12-27 22:36:38,0,Hans-Christoph Steiner,Spring for water  via StreetComplete 53.3  Attached photo(s): https://westnordost.de/p/168110.jpg,2,0,soliMM,Already added here: https://www.openstreetmap.org/node/11538614936
3212617,Crna Gora / Црна Гора,42.9760997,19.2114644,2022-06-06 00:00:00,2025-12-27 22:23:08,0,Stratège,"It's not really a road, it's more tractor path, non-tarred",2,0,soliMM,"Downgraded classification of it, and added surface=unpaved.  https://www.openstreetmap.org/changeset/176506647"
2676353,Crna Gora / Црна Гора,42.7714632,18.9569306,2021-05-19 00:00:00,2025-12-27 21:59:13,0,pinok,Here is a building,3,0,soliMM,Traced building footprint: https://www.openstreetmap.org/way/1462148579
526419,Crna Gora / Црна Гора,42.4246603,19.3005753,2016-03-12 00:00:00,2025-12-27 21:54:30,0,C_B2016,"The UNICEF - Red Cross camp for internally displaced persons has been located here since 1999-2000. Also, several new buildings were constructed in this place; some of the residents of the camp moved into these new buildings a few months ago. Since this is not an empty space, could these objects (the camp, the new buildings) be added to the map? Thanks!",5,0,soliMM,"Camp doesn't exist for a while now, buildings that were constructed on this spot has been traced already. Closing this note."
5036052,Crna Gora / Црна Гора,42.5981641,19.9385267,2025-11-03 00:00:00,2025-12-27 21:48:26,0,Rowe99,"'Duplicate' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-10-04T01:14:47Z POI name: Voli POI types: shop-supermarket  #organicmaps android 2025.10.23-22-Google",2,0,soliMM,"The issue has been resolved, duplicated POI has been deleted already: https://www.openstreetmap.org/node/11174918191"
4930957,Crna Gora / Црна Гора,42.4217451,19.2549068,2025-08-26 00:00:00,2025-12-27 21:43:00,0,StepanK74,"'Double, there is more detailed burger king in the same location' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-01-21T15:15:53Z POI has no name POI types: amenity-fast_food  #organicmaps ios",2,0,soliMM,"The issue has been resolved, duplicated POI got removed: https://www.openstreetmap.org/node/10652687005"
5011040,Crna Gora / Црна Гора,42.9734042,19.5345309,2025-10-17 00:00:00,2025-12-27 21:38:17,0,Unknown,Camp Scepanovic,2,0,soliMM,Camp Šćepanović already exists here: https://www.openstreetmap.org/way/1410112157  Closing this note as it doesn't provide more information.
5037310,Crna Gora / Црна Гора,43.1523434,19.1374111,2025-11-04 00:00:00,2025-12-27 21:37:14,0,Unknown,זבלג'אק,2,0,soliMM,Doesn't provide some meanigful info which can be used to improve OSM. Closing it.
