note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5121096,Cabo Verde,16.8885175,-24.9931255,2026-01-07 00:00:00,2026-01-13 17:51:30,6,Unknown,"This place does not exist: 'Empty building' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: BCA POI types: amenity-bank  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Thanks, removed everything inside the old ferry terminal building"
5121090,Cabo Verde,16.8884584,-24.9931068,2026-01-07 00:00:00,2026-01-13 17:51:24,6,Unknown,"This place does not exist: 'Empty building ' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI has no name POI types: amenity-atm  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Thanks, removed everything inside the old ferry terminal building"
5121091,Cabo Verde,16.8883506,-24.9931229,2026-01-07 00:00:00,2026-01-13 17:51:12,6,Unknown,"This place does not exist: 'Empty building' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: Bar da Gare Marítima POI types: amenity-cafe  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Thanks, removed everything inside the old ferry terminal building"
5121097,Cabo Verde,16.8882172,-24.9931175,2026-01-07 00:00:00,2026-01-13 17:51:07,6,Unknown,"This place does not exist: 'Empty building' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI has no name POI types: amenity-vending_machine-public_transport_tickets  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Thanks, removed everything inside the old ferry terminal building"
5121089,Cabo Verde,16.8882582,-24.9932275,2026-01-07 00:00:00,2026-01-13 17:50:22,6,Unknown,"This place does not exist: 'Empty building ' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: Terminal Marítimo do Mindelo POI types: building amenity-ferry_terminal  #CoMaps android 2025.12.28-2-Google",3,0,map per,"Found the new terminal: https://www.openstreetmap.org/node/13437956701  Thanks for the note, removed the old ferry terminal"
5121095,Cabo Verde,16.8883506,-24.9931229,2026-01-07 00:00:00,2026-01-07 15:46:02,0,Unknown,"This place does not exist: 'Empty building' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: Bar da Gare Marítima POI types: amenity-cafe  #CoMaps android 2025.12.28-2-Google",2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5121091  Therefore, it will be closed.  #DuplicateNote"
5120176,Cabo Verde,16.8930165,-24.9901376,2026-01-06 00:00:00,2026-01-06 20:01:00,0,Unknown,"This place does not exist: 'Only empty buildings' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: Supermercado EXTRA POI types: shop-convenience  #CoMaps android 2025.12.28-2-Google",2,0,map per,"Thanks, marked the convenience store as vacant"
4481530,Cabo Verde,16.5987903,-22.8838987,2024-10-16 00:00:00,2025-11-27 12:06:54,0,topolusitania,A small marine is projected south see brochure. This drawing seems not accurate,2,0,LM_Bio,"not there and also illegal project, coastal area are not allowed to be created unless with special permission from the government, which was not granted"
5011635,Cabo Verde,16.8901278,-24.9919465,2025-10-18 00:00:00,2025-10-18 10:13:31,0,Bleu Marlin Hotel,Blue Marlin Hotel****,2,0,Bleu Marlin Hotel,
