note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5121482,Comores Komori جزر القمر,-11.8665100,43.3962300,2026-01-08 00:00:00,2026-01-08 00:46:27,0,Unknown,Village de Mboude Ambouani,3,1,Unknown,
4969817,Comores Komori جزر القمر,-11.9086000,43.3397000,2025-09-20 00:00:00,2025-09-20 05:31:56,0,Tchoula,"Merci pour votre message. J’ai remarqué que le village Gnambeni n’apparaît pas encore sur la carte. Le marqueur actuel pointe vers Ndzouoini, mais Gnambeni se trouve légèrement à côté, à ces coordonnées :  Latitude : -11.8944  Longitude : 43.4700   Je vous serais reconnaissant si vous pouviez déplacer le marqueur à cette position exacte afin que le village soit correctement localisé. Merci beaucoup pour votre aide et votre travail sur OpenStreetMap.  Bien cordialement, [Tchoula abdillah]",2,0,Tchoula,"Merci pour votre message. J’ai remarqué que le village Gnambeni n’apparaît pas encore sur la carte. Le marqueur actuel pointe vers Ndzouoini, mais Gnambeni se trouve légèrement à côté, à ces coordonnées :  Latitude : -11.8944  Longitude : 43.4700   Je vous serais reconnaissant si vous pouviez déplacer le marqueur à cette position exacte afin que le village soit correctement localisé. Merci beaucoup pour votre aide et votre travail sur OpenStreetMap.  Bien cordialement, [Ton nom]"
4969814,Comores Komori جزر القمر,-11.8816000,43.3504000,2025-09-20 00:00:00,2025-09-20 05:26:13,0,Tchoula,"Objet : Demande d’ajout du village Gnambeni comme lieu officiel sur OSM  Bonjour,  Je me permets de vous écrire pour vous demander l’ajout du village Gnambeni, situé sur l’île de Grande Comore (Comores), comme lieu officiel sur OpenStreetMap.  Gnambeni est un village réel et habité, mais il n’apparaît actuellement sur aucune carte OSM. L’ajout de ce village permettrait sa visibilité sur toutes les applications qui utilisent OpenStreetMap, notamment Maps.me, OsmAnd et d’autres applications de localisation.  Voici les informations principales pour le village :  Nom : Gnambeni  Type : Village  Latitude : -11.8944  Longitude : 43.4700  Pays : Comores   Je vous remercie beaucoup pour votre attention et pour le travail remarquable que vous faites pour la cartographie collaborative. J’espère que cette demande pourra être prise en compte afin que Gnambeni soit reconnu et visible sur les cartes OSM.  Bien cordialement, [Tchoulaabdillah]",2,0,Tchoula,
4535334,Comores Komori جزر القمر,-11.7353611,43.2658768,2024-11-28 00:00:00,2025-05-09 07:32:30,0,Assoiffé,Mkazi au lieu de Mzaki,2,0,Belamine,
1722820,Comores Komori جزر القمر,-11.6957863,43.2523360,2019-03-25 00:00:00,2025-05-09 07:32:19,0,wittli,'The hotel Jardin de la Paix is marked twice. This is the correct location although the other one is linked to their profile on booking.com https://www.booking.com/hotel/km/jardin-de-la-paix.de.html The other location (that I cannot access) should be removed.' POI name: Jardin de la Paix حديقة السلام POI types: tourism-hotel amenity-restaurant internet_access-wlan OSM data version: 2019-03-14T00:11:02Z  #mapsme,2,0,Belamine,
1216289,Comores Komori جزر القمر,-12.3080749,44.4340646,2017-11-24 00:00:00,2025-05-07 13:30:03,0,Unknown,L 'Hôtel le Sultan se situe à 10 marches sur la Plage de Moya,2,0,m_p_13,
4746644,Comores Komori جزر القمر,-12.1873436,44.3955650,2025-05-07 00:00:00,2025-05-07 13:28:36,0,audreylt,Restaurant Les jardins de Tsantsani  via StreetComplete 60.3,2,0,m_p_13,
184822,Comores Komori جزر القمر,-12.1670930,44.3990833,2014-06-16 00:00:00,2025-05-07 13:28:20,0,Unknown,Collège rural de hombo,4,0,m_p_13,
184820,Comores Komori جزر القمر,-12.1611411,44.4032782,2014-06-16 00:00:00,2025-02-18 01:58:00,0,Unknown,johanna livingston hotel,5,0,dannmer,on the map
3378857,Comores Komori جزر القمر,-11.7332287,43.2654154,2022-09-29 00:00:00,2024-06-11 18:28:27,0,Unknown,Mkazi,2,0,Belamine,
4123074,Comores Komori جزر القمر,-11.7472979,43.2453632,2024-02-22 00:00:00,2024-02-22 08:22:49,0,Belamine,Ikoni,2,0,Belamine,
4123064,Comores Komori جزر القمر,-11.7240000,43.2411000,2024-02-22 00:00:00,2024-02-22 08:19:55,0,Belamine,Stade Olympique d'Ikoni Malouzini,2,0,Belamine,Stade Omnisport Ikoni MAlouzini
2296188,Comores Komori جزر القمر,-11.6978310,43.2548046,2020-08-06 00:00:00,2024-02-22 08:18:33,0,Attoumane Said Issilam,MagMarket Mgoudjou,2,0,Belamine,
1916955,Comores Komori جزر القمر,-11.6987765,43.2547054,2019-09-08 00:00:00,2024-02-22 08:16:52,0,Unknown,Business name :  Comor’Optic & New-Bazar SARL    ALSO NOT SHOWING ON SNAPCHAT MAP,2,0,Belamine,
4123059,Comores Komori جزر القمر,-11.7325910,43.2344627,2024-02-22 00:00:00,2024-02-22 08:16:38,0,Belamine,Hamboda Ikoni nouvelle villes,2,0,Belamine,
4123048,Comores Komori جزر القمر,-11.7445525,43.2326388,2024-02-22 00:00:00,2024-02-22 08:15:02,0,Belamine,Medina d'Ikoni,2,0,Belamine,Medina d'Ikoni
2574558,Comores Komori جزر القمر,-11.7515272,43.2524443,2021-03-11 00:00:00,2024-02-22 08:13:57,0,Unknown,MMA.COM-construction,3,0,Belamine,
4123047,Comores Komori جزر القمر,-11.7470526,43.2354283,2024-02-22 00:00:00,2024-02-22 08:12:51,0,Belamine,MDIRINI II,2,0,Belamine,
3910727,Comores Komori جزر القمر,-11.6028500,43.3716500,2023-09-27 00:00:00,2023-09-27 07:18:04,0,Matswa Ninga,Chez Maman Mouzouna,3,1,Matswa Ninga,
3791927,Comores Komori جزر القمر,-11.6891949,43.2583800,2023-07-22 00:00:00,2023-07-22 05:24:47,0,Matswa Ninga,"Direction générale des Douanes, Moroni, Comores",4,1,Matswa Ninga,
3039656,Comores Komori جزر القمر,-11.3753680,43.3730793,2022-02-06 00:00:00,2023-01-05 11:17:21,0,Unknown,Lac Salé,2,0,Syl,Déjà présent
953216,Comores Komori جزر القمر,-11.6958197,43.2513331,2017-04-05 00:00:00,2022-11-27 09:53:48,0,Unknown,route plus large,6,1,Syl,Note inutilisable
2296189,Comores Komori جزر القمر,-11.6949786,43.2555127,2020-08-06 00:00:00,2021-12-02 15:08:02,0,Attoumane Said Issilam,Pharmacie de la Corniche,2,0,Yousai,
952874,Comores Komori جزر القمر,-11.7091735,43.2471211,2017-04-05 00:00:00,2021-05-16 11:16:32,0,vherbreteau,a effacer (OSM data version: 2017-03-06T16:48:02Z) #mapsme,4,0,Syl,Il n'y a rien ici
2642563,Comores Komori جزر القمر,-11.4749602,43.3735943,2021-04-29 00:00:00,2021-04-29 10:31:55,0,Marmok,Village de Dimadju,3,1,Marmok,
