note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5121724,Mauritius / Maurice,-20.1897629,57.4826640,2026-01-08 00:00:00,2026-01-09 03:41:49,1,Armand_Rose,cfao motors  #OsmAnd,2,0,Armand_Rose,
5100341,Mauritius / Maurice,-20.1927035,57.4805009,2025-12-21 00:00:00,2026-01-03 09:58:18,0,Angora07,https://www.tellows.com.br/num/011916079960,3,0,Armand_Rose,
5099484,Mauritius / Maurice,-20.1243704,57.5166521,2025-12-21 00:00:00,2025-12-30 16:49:45,0,Armand_Rose,entry  #OsmAnd,2,0,Armand_Rose,
5105378,Mauritius / Maurice,-20.2864820,57.3646324,2025-12-26 00:00:00,2025-12-27 03:50:28,0,Armand_Rose,lift2  #OsmAnd,2,0,Armand_Rose,
5105376,Mauritius / Maurice,-20.2847921,57.3658613,2025-12-26 00:00:00,2025-12-27 03:49:57,0,Armand_Rose,lift  #OsmAnd,2,0,Armand_Rose,
5103385,Mauritius / Maurice,-20.2158551,57.4722604,2025-12-24 00:00:00,2025-12-27 03:47:47,0,Armand_Rose,1 way out  #OsmAnd,2,0,Armand_Rose,
5096625,Mauritius / Maurice,-20.4473424,57.7051961,2025-12-18 00:00:00,2025-12-19 05:03:48,0,johantiden,more golf?,2,0,johantiden,
5096123,Mauritius / Maurice,-20.4494757,57.7068779,2025-12-18 00:00:00,2025-12-18 18:12:56,0,johantiden,golf course,2,0,johantiden,
5091299,Mauritius / Maurice,-20.4258957,57.6297913,2025-12-14 00:00:00,2025-12-14 16:12:11,0,Armand_Rose,Domaine mare d'albert   #OsmAnd,2,0,Armand_Rose,
5084424,Mauritius / Maurice,-20.2704124,57.4807739,2025-12-09 00:00:00,2025-12-11 12:29:16,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5086809,Mauritius / Maurice,-20.2858119,57.4795358,2025-12-11 00:00:00,2025-12-11 12:28:50,0,Armand_Rose,ae electronic   #OsmAnd,2,0,Armand_Rose,
5084307,Mauritius / Maurice,-20.2791894,57.4874754,2025-12-09 00:00:00,2025-12-11 12:27:45,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5086938,Mauritius / Maurice,-20.2771107,57.4947022,2025-12-11 00:00:00,2025-12-11 12:27:02,0,Armand_Rose,jetour motor   #OsmAnd,2,0,Armand_Rose,
5086831,Mauritius / Maurice,-20.2762024,57.4032257,2025-12-11 00:00:00,2025-12-11 12:25:59,0,Armand_Rose,new  #OsmAnd,2,0,Armand_Rose,
5086013,Mauritius / Maurice,-20.2647133,57.4664247,2025-12-10 00:00:00,2025-12-10 12:29:33,0,PRAVESH1304,SITE,2,0,PRAVESH1304,
5065663,Mauritius / Maurice,-20.0385551,57.5992071,2025-11-24 00:00:00,2025-11-30 18:07:32,0,Armand_Rose,timeliving  #OsmAnd,2,0,Armand_Rose,
5071944,Mauritius / Maurice,-20.2689450,57.4627995,2025-11-29 00:00:00,2025-11-29 12:28:50,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5071945,Mauritius / Maurice,-20.2698623,57.4624467,2025-11-29 00:00:00,2025-11-29 12:28:30,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5071946,Mauritius / Maurice,-20.2719533,57.4616199,2025-11-29 00:00:00,2025-11-29 12:28:11,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5071947,Mauritius / Maurice,-20.2725514,57.4614995,2025-11-29 00:00:00,2025-11-29 12:27:50,0,Armand_Rose,parts depot  #OsmAnd,2,0,Armand_Rose,
5071948,Mauritius / Maurice,-20.2731291,57.4611568,2025-11-29 00:00:00,2025-11-29 12:27:28,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5071949,Mauritius / Maurice,-20.2745129,57.4605941,2025-11-29 00:00:00,2025-11-29 12:27:12,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
5071950,Mauritius / Maurice,-20.2763084,57.4599074,2025-11-29 00:00:00,2025-11-29 12:26:54,0,Armand_Rose,b  #OsmAnd,2,0,Armand_Rose,
