note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5022592,São Tomé e Príncipe,0.3778266,6.7108440,2025-10-25 00:00:00,2025-11-11 07:32:54,0,Adjelson,Aeroporto de São Tomé,2,0,manuel-128,je note résolu car l'aéroport est déjà noté
4804489,São Tomé e Príncipe,0.3440310,6.7243730,2025-06-13 00:00:00,2025-06-22 17:02:29,0,Liliã Batista,Recolha  de RSU,2,0,Adalberto012,
4817847,São Tomé e Príncipe,0.3397600,6.7218300,2025-06-22 00:00:00,2025-06-22 17:02:04,0,Adalberto012,Nó numero 2,4,1,Adalberto012,
4344881,São Tomé e Príncipe,0.2128918,6.7223936,2024-07-22 00:00:00,2025-06-15 09:08:19,0,Lafeuille42,Restaurant Le mirrador View Fresh fish,2,0,manuel-128,restaurant ajouté
4804493,São Tomé e Príncipe,0.3488620,6.7144033,2025-06-13 00:00:00,2025-06-13 15:14:31,0,Liliã Batista,Recolha de RSU,3,1,Liliã Batista,
705386,São Tomé e Príncipe,0.3379309,6.7302969,2016-09-08 00:00:00,2025-06-07 07:00:27,0,dmbueso,"Rua Barão de Água Izé com sentido proibido na direção sul norte, entre as avenidas da independência e kwama N'Kruma. (OSM data version: 2016-08-22T09:03:02Z) #mapsme",5,0,manuel-128,modification faite
1472670,São Tomé e Príncipe,0.3387235,6.7312705,2018-07-31 00:00:00,2025-05-23 22:30:01,0,Westafricon,"'está loja já acabou .' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Coconote POI types: building shop-convenience OSM data version: 2018-07-05T18:22:02Z  #mapsme",2,0,manuel-128,déplacé 200m vers le Sud.
4515661,São Tomé e Príncipe,0.3373167,6.7307662,2024-11-11 00:00:00,2025-05-23 22:22:46,0,RomHein,"'Doesn't exist ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-10-17T20:37:52Z POI name: Restaurante Camões POI types: cuisine-african cuisine-fish cuisine-fish_and_chips cuisine-international cuisine-local cuisine-portuguese cuisine-regional amenity-restaurant  #organicmaps android",2,0,manuel-128,supprimé
4515662,São Tomé e Príncipe,0.3375862,6.7307099,2024-11-11 00:00:00,2025-05-23 22:21:49,0,RomHein,"'Doesn't exist ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-10-17T20:37:52Z POI name: Snack Bar Munjaue POI types: building amenity-restaurant  #organicmaps android",2,0,manuel-128,supprimé
