note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5126956,Sesel,-4.6586452,55.4379277,2026-01-12 00:00:00,2026-01-12 16:36:03,0,Unknown,'Родник' POI name: Родник POI types: natural-spring OSM data version: 2025-10-20T12:41:17Z  #mapsme,2,0,NeisBot,"This note has the identical location and text  as note https://osm.org/note/5126955  Therefore, it will be closed.  #DuplicateNote"
2496291,Sesel,-4.3368419,55.7839742,2021-01-13 00:00:00,2026-01-04 10:48:04,1817,Mamutinka,#Mapy.cz user reports: canceled,2,0,dom74,
3568341,Sesel,-4.3363952,55.7834780,2023-02-21 00:00:00,2026-01-04 10:47:58,1048,Matyjace,"Forwarding anonymous report from #Mapy.cz user, please verify: 'closed'",2,0,dom74,
499820,Sesel,-4.6607792,55.4039025,2016-01-17 00:00:00,2025-12-10 18:32:05,0,Unknown,Обзорная и вертолетная площадка,4,0,Bors9999,
4056062,Sesel,-4.3395365,55.8315396,2024-01-06 00:00:00,2025-12-03 15:43:24,0,Unknown,"'Это не киоск, а бар, а в нем торгуют сувенирами.' OSM snapshot date: 2023-12-13T18:30:01Z POI name: Takamaka POI types: shop-kiosk  #organicmaps ios",2,0,locke,
3071002,Sesel,-4.3489400,55.7346800,2022-03-02 00:00:00,2025-06-18 06:21:21,0,Katos1,Aquataur Residence,2,0,Katos1,
1347808,Sesel,-10.1830866,51.1099408,2018-04-03 00:00:00,2025-06-12 08:45:02,0,ConsEbt,"Farquhar Atoll, part of the Farquhar Group, Seychelles Island Foundation www.sif.com",3,0,dannmer,on the map
4212874,Sesel,-4.3596977,55.8305075,2024-04-24 00:00:00,2025-04-01 06:03:00,0,HelmarHell,'Casadani' POI name: Casadani POI types: tourism-guest_house OSM data version: 2023-12-21T08:18:03Z  #mapsme,3,0,NeisBot,"It seems that the requested information has been added, so I am proceeding to close this note.  Should you have additional details, please feel free to reopen this note.  #Closing"
4055139,Sesel,-4.6837054,55.4936600,2024-01-06 00:00:00,2024-11-26 13:37:07,0,Sebastian Seychelles,Beach Wedding in Seychelles,2,0,locke,
4434718,Sesel,-4.7371620,55.4912628,2024-09-14 00:00:00,2024-11-26 12:25:09,0,Eoni-León,'Food truck.' OSM snapshot date: 2024-08-10T16:22:45Z POI name: The Lunch Box POI types: cuisine-african amenity-fast_food  #organicmaps android,2,0,locke,
1340100,Sesel,-4.3551833,55.8361782,2018-03-27 00:00:00,2024-11-26 12:24:23,0,ConsEbt,"Chateau St Cloud, hotel, tel and internet on road sign.",2,0,locke,
