note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5096073,Singapore,1.4127828,103.9065893,2025-12-18 00:00:00,2026-01-17 11:32:54,30,confusedbuffalo,'Missing from the LRT relation' OSM snapshot date: 2025-12-09T01:54:54Z POI name: Teck Lee POI types: building railway-station-monorail  #CoMaps android 2025.12.11-2-Google,3,0,confusedbuffalo,"At the time t hadn't been showing up in the CoMaps subway layer, but it looks fine now, so just have been fixed since"
4790631,Singapore,1.2809485,103.8477784,2025-06-05 00:00:00,2026-01-15 10:43:26,224,Unknown,Telok Ayer,2,0,❤️‍🔥,"already mapped, added 17 years ago"
4974236,Singapore,1.2806420,103.8487225,2025-09-22 00:00:00,2026-01-15 10:43:08,115,Daw Soe Yin,"Holland village, Singapore is my current primary location. I have moved recently.",2,0,❤️‍🔥,"OSM 'notes' are for reporting problems with the map, not for personal notes"
5022136,Singapore,1.2830952,103.8508301,2025-10-25 00:00:00,2026-01-15 10:42:28,82,Unknown,My hometown is Singapore but Facebook updated it as Vietnam. I hope the community can help me fix it. Thank you very much.,3,0,❤️‍🔥,this is not the helpdesk for facebook
5125277,Singapore,1.3441623,103.6846009,2026-01-11 00:00:00,2026-01-12 13:44:45,1,B252697,"Footpaths around here are inaccurate, and need reviews/ updatings",2,0,cboothroyd,"Paths updated, may be more to add"
5125265,Singapore,1.3440148,103.6848074,2026-01-11 00:00:00,2026-01-12 13:44:14,1,B252697,This is now no longer a pedestrian area - it is a building. Not too sure what the name is,2,0,cboothroyd,Nanyang Lake Pavilion now added
5126366,Singapore,1.2919106,103.7848270,2026-01-12 00:00:00,2026-01-12 10:56:36,0,Unknown,Bike racks available here,2,0,Unknown,
5126362,Singapore,1.3000571,103.7754071,2026-01-12 00:00:00,2026-01-12 10:53:23,0,Unknown,Bike rack missing,2,0,Unknown,
5126359,Singapore,1.2987485,103.7731755,2026-01-12 00:00:00,2026-01-12 10:51:28,0,Unknown,Bike rack available,2,0,Unknown,
4746046,Singapore,1.3814639,103.9020299,2025-05-07 00:00:00,2026-01-12 08:31:04,250,Gautham2319,'Ammu SG HOME' OSM snapshot date: 2025-04-18T15:38:17Z POI has no name POI types: highway-footway  #organicmaps android,2,0,Unknown,
5121433,Singapore,1.3211785,103.7656598,2026-01-07 00:00:00,2026-01-10 09:30:18,3,Unknown,1. This is a big sheltered open space for general public to use 2. It has a terrace inside and some staircases  via StreetComplete 62.1,2,0,Unknown,
5121443,Singapore,1.3196974,103.7665855,2026-01-07 00:00:00,2026-01-10 09:30:06,3,Unknown,This middle lane is not a bicycle path!!!  via StreetComplete 62.1,2,0,Unknown,
5121441,Singapore,1.3193429,103.7654950,2026-01-07 00:00:00,2026-01-10 09:29:56,3,Unknown,There is another side walk and entrance here  via StreetComplete 62.1,2,0,Unknown,
5121440,Singapore,1.3193376,103.7656754,2026-01-07 00:00:00,2026-01-10 09:29:54,3,Unknown,A trash station where large items can be disposed of here.  via StreetComplete 62.1,2,0,Unknown,
5123389,Singapore,1.2958069,103.8033812,2026-01-09 00:00:00,2026-01-10 01:37:21,1,Ignis Incendio,Blocked PCN for construction  via StreetComplete_ee 61.1,3,0,Ignis Incendio,
4982580,Singapore,1.3395421,103.7299946,2025-09-28 00:00:00,2026-01-04 06:46:08,98,B252697,"The length and shape of this body of water might need to be revised. After walking past here a few times, I think the length of this body of water is too long.",2,0,B252697,Just tried resolving it
5115729,Singapore,1.3439675,103.7206972,2026-01-03 00:00:00,2026-01-03 15:47:21,0,B252697,Edits needed here. This path does exist but it has not been drawn correctly. There is also a sufficient green patch between Lakeside MRT and Enabling Business Hub. Enabling Business Hub does exist at this location but its not that large and does not extend so closely to Lakeside MRT,2,0,B252697,I just tried to fix and resolve it!
5114518,Singapore,1.2822373,103.8450436,2026-01-02 00:00:00,2026-01-02 13:57:47,0,Lecoin,TAIWU GALLERY,2,0,Lecoin,
5111855,Singapore,1.3485377,103.8860142,2025-12-31 00:00:00,2025-12-31 03:29:15,0,B252697,"There’s an error here. This pavement does exist, but it shouldn’t directly cut through house 91 (which is private property). Would be great if those more experienced can help to adjust the position of the pavement slightly. Thanks!",2,0,B252697,I just managed to work on and resolve it. All good.
4983960,Singapore,1.2808626,103.7935174,2025-09-29 00:00:00,2025-12-25 07:46:45,0,leheng,closed 1mo for reno,2,0,leheng,reopened
4714378,Singapore,1.3114937,103.8265514,2025-04-17 00:00:00,2025-12-24 06:21:40,0,Unknown,Take the escalator down to pool level,4,1,confusedbuffalo,This doesn't seem to add any information
5098901,Singapore,1.2829326,103.8577593,2025-12-20 00:00:00,2025-12-23 05:41:25,0,confusedbuffalo,Steps here  via StreetComplete 62.1,2,0,confusedbuffalo,Added
5097538,Singapore,1.3729469,103.8926563,2025-12-19 00:00:00,2025-12-23 05:39:28,0,confusedbuffalo,Footway connections not quite right  via StreetComplete 62.1,2,0,confusedbuffalo,Fixed
5097438,Singapore,1.3464624,103.8769226,2025-12-19 00:00:00,2025-12-23 05:34:53,0,confusedbuffalo,Is there a crossing here?  via StreetComplete 62.1,2,0,confusedbuffalo,Fixed
5097437,Singapore,1.2813167,103.8533280,2025-12-19 00:00:00,2025-12-23 05:33:51,0,confusedbuffalo,Crossing here  via StreetComplete 62.1,2,0,confusedbuffalo,Fixed
5094856,Singapore,1.2825734,103.8621207,2025-12-17 00:00:00,2025-12-23 05:29:45,0,confusedbuffalo,"In context of overlay 'Surfaces' – Foot Path – https://osm.org/way/172288969 via StreetComplete 62.1:  No path, only the one mapped next to this, as steps",2,0,confusedbuffalo,Fixed
5094855,Singapore,1.3055156,103.8324212,2025-12-17 00:00:00,2025-12-23 05:27:49,0,confusedbuffalo,"Unable to answer 'Do these steps have a handrail?' – Steps – https://osm.org/way/430678206 via StreetComplete 62.1:  It's escalators, one for each directions",2,0,confusedbuffalo,Fixed
5094854,Singapore,1.3028474,103.8358774,2025-12-17 00:00:00,2025-12-23 05:24:35,0,confusedbuffalo,Unable to answer 'Are there traffic signals that show when to cross here?' – Crossing – https://osm.org/node/7882646624 via StreetComplete 62.1:  Duplicate crossing,2,0,confusedbuffalo,Fixed
5094853,Singapore,1.3026855,103.8361673,2025-12-17 00:00:00,2025-12-23 05:24:29,0,confusedbuffalo,Unable to answer 'Are there traffic signals that show when to cross here?' – Crossing – https://osm.org/node/7882773536 via StreetComplete 62.1:  No crossing here,2,0,confusedbuffalo,Fixed
5094852,Singapore,1.3025125,103.8365894,2025-12-17 00:00:00,2025-12-23 05:23:18,0,confusedbuffalo,Unable to answer 'Does this crossing have an island?' – Marked Crossing – https://osm.org/node/5107561091 via StreetComplete 62.1:  No crossing here,2,0,confusedbuffalo,Fixed
5094851,Singapore,1.3098969,103.8148147,2025-12-17 00:00:00,2025-12-23 05:21:59,0,confusedbuffalo,Unable to answer 'What kind of seating does this place have?' – Forest Pavillion (Cafe) – https://osm.org/node/9043834567 via StreetComplete 62.1:  No sign of any café here or infrastructure for one,2,0,confusedbuffalo,Removed
4935505,Singapore,1.3112486,103.8169461,2025-08-29 00:00:00,2025-12-23 05:21:13,0,Unknown,Horticulture department Skool Schwartzzto pstornriteoff,2,0,confusedbuffalo,Name appears to be mapped here
5094850,Singapore,1.3108936,103.8153475,2025-12-17 00:00:00,2025-12-23 05:20:32,0,confusedbuffalo,Unable to answer 'What kind of building is this?' – Building – https://osm.org/way/516269777 via StreetComplete 62.1:  Not sure this counts as a building,2,0,confusedbuffalo,Fixed
5094849,Singapore,1.3169513,103.8161711,2025-12-17 00:00:00,2025-12-23 05:18:23,0,confusedbuffalo,In context of overlay 'Surfaces' – Healing Garden (Foot Path) – https://osm.org/way/1408555573 via StreetComplete 62.1:  This doesn't look right,2,0,confusedbuffalo,Fixed
5093438,Singapore,1.2514300,103.8185436,2025-12-16 00:00:00,2025-12-23 05:14:06,0,confusedbuffalo,Unable to answer 'Is there a shelter at this stop?' – Beach Station Bus Terminal (Bus Stop) – https://osm.org/node/1868203026 via StreetComplete 62.1:  Looks like this node has been dragged,2,0,confusedbuffalo,Fixed
5079443,Singapore,1.3369382,103.9381749,2025-12-05 00:00:00,2025-12-23 05:13:58,0,AndrewWizit,this bridge doesn't exist  #OsmAnd,5,0,kenken234,It has been confirmed by a member of Parliament that a bridge will be built across the canal https://www.facebook.com/share/1SLT2ba93z/
5093437,Singapore,1.2526912,103.8231556,2025-12-16 00:00:00,2025-12-23 05:11:29,0,confusedbuffalo,In context of overlay 'Surfaces' – Sidewalk – https://osm.org/way/1458961779 via StreetComplete 62.1:  Short section with no access,2,0,confusedbuffalo,Fixed
4699680,Singapore,1.3754088,103.8266389,2025-04-07 00:00:00,2025-12-23 05:05:17,0,wwjd2022,"House number 56, 58 (not 52)  via StreetComplete_ee 60.3",2,0,confusedbuffalo,"Fixed, thanks"
4699679,Singapore,1.3752698,103.8266953,2025-04-07 00:00:00,2025-12-23 05:05:13,0,wwjd2022,"House number 52, 54 (not 50)  via StreetComplete_ee 60.3",2,0,confusedbuffalo,"Fixed, thanks"
5099440,Singapore,1.3828260,103.8310444,2025-12-21 00:00:00,2025-12-23 05:04:17,0,confusedbuffalo,Crossing here?  via StreetComplete 62.1,2,0,confusedbuffalo,Added
5099443,Singapore,1.3860845,103.8394502,2025-12-21 00:00:00,2025-12-23 05:02:53,0,confusedbuffalo,Also crossing this side  via StreetComplete 62.1,2,0,confusedbuffalo,Added
5099438,Singapore,1.3917826,103.8550970,2025-12-21 00:00:00,2025-12-23 05:00:44,0,confusedbuffalo,Crossing doesn't connect to paths either side  via StreetComplete 62.1,2,0,confusedbuffalo,Fixed
5099437,Singapore,1.3910330,103.8563072,2025-12-21 00:00:00,2025-12-23 04:57:52,0,confusedbuffalo,Missing path here  via StreetComplete 62.1,2,0,confusedbuffalo,Added
5099439,Singapore,1.3907158,103.8457375,2025-12-21 00:00:00,2025-12-22 16:09:45,0,confusedbuffalo,In context of overlay 'Sidewalks' – Yio Chu Kang Road (Primary Link) – https://osm.org/way/479780700 via StreetComplete 62.1:  This bit has been removed,2,0,confusedbuffalo,Fixed
5099436,Singapore,1.3894994,103.8638952,2025-12-21 00:00:00,2025-12-22 16:08:35,0,confusedbuffalo,Unable to answer 'Does this crosswalk have tactile paving on both ends?' – Traffic Signals – https://osm.org/node/1702051828 via StreetComplete 62.1:  Not a crossing,2,0,confusedbuffalo,Fixed
5099435,Singapore,1.3882760,103.8689205,2025-12-21 00:00:00,2025-12-22 16:06:16,0,confusedbuffalo,Unable to answer 'Does this crosswalk have tactile paving on both ends?' – Traffic Signals – https://osm.org/node/1701877076 via StreetComplete 62.1:  Not a crossing,2,0,confusedbuffalo,Fixed
5005261,Singapore,1.3916936,103.8637161,2025-10-14 00:00:00,2025-12-22 16:04:00,0,Unknown,ceshi数据,2,0,confusedbuffalo,Not enough information to map anything
5099434,Singapore,1.3919009,103.8791470,2025-12-21 00:00:00,2025-12-22 16:03:35,0,confusedbuffalo,Unable to answer 'Are there sound signals for the blind here?' – Traffic Signals – https://osm.org/node/5015083982 via StreetComplete 62.1:  Not a crossing,2,0,confusedbuffalo,Fixed
5098552,Singapore,1.3868840,103.8998297,2025-12-20 00:00:00,2025-12-22 15:59:07,0,confusedbuffalo,Missing connections to sidewalks here  via StreetComplete 62.1,2,0,confusedbuffalo,Fixed
5098551,Singapore,1.3872449,103.8999217,2025-12-20 00:00:00,2025-12-22 15:59:01,0,confusedbuffalo,In context of overlay 'Sidewalks' – Compassvale Walk (Residential Road) – https://osm.org/way/1460022722 via StreetComplete 62.1:  Should be one way?,2,0,confusedbuffalo,Fixed
5097436,Singapore,1.3991612,103.8921577,2025-12-19 00:00:00,2025-12-22 15:50:05,0,confusedbuffalo,Is there a crossing here?  via StreetComplete 62.1,2,0,confusedbuffalo,"Yes, added"
5098311,Singapore,1.4093818,103.8994162,2025-12-20 00:00:00,2025-12-22 15:48:23,0,confusedbuffalo,Steps up here  via StreetComplete 62.1,2,0,confusedbuffalo,Added
