note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3624228,Sri Lanka,6.7668000,80.8492000,2023-04-02 00:00:00,2026-01-16 19:45:40,1020,Tripovshik,Пеший старт,2,0,Unknown,
4663669,Sri Lanka,6.7155712,80.7874245,2025-03-14 00:00:00,2026-01-16 19:45:12,308,Mateusz Konieczny,https://www.openstreetmap.org/way/1148522446/history has amenity = temple  What was meant by amenity=temple? It seem to be not documented value and it seems to be a duplicate of https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dplace_of_worship.  If it was used intentionally instead of amenity=place_of_worship - then what is the difference here?,5,1,Unknown,
5118665,Sri Lanka,5.9769351,80.7216734,2026-01-05 00:00:00,2026-01-16 17:04:14,11,evgenykatyshev,bridge  #EveryDoor,2,0,evgenykatyshev,
5118666,Sri Lanka,5.9768308,80.7217917,2026-01-05 00:00:00,2026-01-16 17:03:52,11,evgenykatyshev,surfing school  #EveryDoor,2,0,evgenykatyshev,
5113416,Sri Lanka,6.8625247,81.0440468,2026-01-01 00:00:00,2026-01-16 16:58:39,15,evgenykatyshev,"ford, stones  #EveryDoor",2,0,evgenykatyshev,
5113409,Sri Lanka,6.8656448,81.0465424,2026-01-01 00:00:00,2026-01-16 16:58:39,15,evgenykatyshev,bridge  #EveryDoor,2,0,evgenykatyshev,
5113411,Sri Lanka,6.8568767,81.0496965,2026-01-01 00:00:00,2026-01-16 16:58:38,15,evgenykatyshev,ford  #EveryDoor,2,0,evgenykatyshev,
5113406,Sri Lanka,6.8666465,81.0463398,2026-01-01 00:00:00,2026-01-16 16:58:38,15,evgenykatyshev,culvert  #EveryDoor,2,0,evgenykatyshev,
5113408,Sri Lanka,6.8656711,81.0465082,2026-01-01 00:00:00,2026-01-16 16:58:37,15,evgenykatyshev,culvert  #EveryDoor,2,0,evgenykatyshev,
5113413,Sri Lanka,6.8540896,81.0481774,2026-01-01 00:00:00,2026-01-16 16:58:37,15,evgenykatyshev,no stream nor ford  #EveryDoor,2,0,evgenykatyshev,
5113415,Sri Lanka,6.8558068,81.0520211,2026-01-01 00:00:00,2026-01-16 16:58:36,15,evgenykatyshev,Check the exact location of ticket office  #EveryDoor,2,0,evgenykatyshev,
5113410,Sri Lanka,6.8571603,81.0497481,2026-01-01 00:00:00,2026-01-16 16:58:36,15,evgenykatyshev,didn't find path  #EveryDoor,2,0,evgenykatyshev,
5113412,Sri Lanka,6.8549078,81.0486540,2026-01-01 00:00:00,2026-01-16 16:58:35,15,evgenykatyshev,"path starts, track ends  #EveryDoor",2,0,evgenykatyshev,
5113407,Sri Lanka,6.8666197,81.0463170,2026-01-01 00:00:00,2026-01-16 16:58:35,15,evgenykatyshev,the part without steps  #EveryDoor,2,0,evgenykatyshev,
5113414,Sri Lanka,6.8541856,81.0484729,2026-01-01 00:00:00,2026-01-16 16:58:34,15,evgenykatyshev,ford is here  #EveryDoor,2,0,evgenykatyshev,
5116566,Sri Lanka,6.8692387,79.8619435,2026-01-04 00:00:00,2026-01-07 21:25:14,3,Unknown,'This restaurant is located in the same building as the Omega Regency Colombo. The entrance to the restaurant is on 36th Lane just off Galle Road. You need to call ahead of time and reserve your meal. ' OSM snapshot date: 2025-12-17T16:47:22Z POI name: Olai Manai POI types: internet_access-wlan amenity-restaurant  #CoMaps ios 2025.12.19-11-ios,2,0,map per,"Thanks, added 'reservation=required'"
4779979,Sri Lanka,7.4835002,80.3501527,2025-05-28 00:00:00,2026-01-04 14:08:28,221,Palitha Mannapperuma,There is no hindu temple here.,2,0,Unknown,
4574073,Sri Lanka,7.3938671,80.8040599,2025-01-03 00:00:00,2026-01-04 10:42:29,366,Woody-82,"'Jan 2025: trail exists, entry fee 900 rupees.' OSM snapshot date: 2024-11-07T01:45:44Z POI name: Dawatagala - Knuckles 5 Peaks Nature Trail POI types: psurface-unpaved_bad hwtag-private highway-path hwtag-yesfoot  #organicmaps ios",2,0,Unknown,
2880408,Sri Lanka,6.9356927,80.8051085,2021-10-04 00:00:00,2026-01-04 10:34:34,1553,Unknown,Ashok Vatika location as believed.,3,1,Unknown,
5115439,Sri Lanka,6.0854966,80.6710213,2026-01-03 00:00:00,2026-01-03 12:27:54,0,D Contributor,"Vehicles Can't go up from here, Only Pedistrians",2,0,5R-MFT,already changed to path
5114413,Sri Lanka,7.1136471,79.8834586,2026-01-02 00:00:00,2026-01-02 13:36:33,0,DCDB KELANIYA,දඩුගම පාළම,2,0,DCDB KELANIYA,දඩුගම පාළම
5112510,Sri Lanka,6.8706979,81.0504018,2025-12-31 00:00:00,2025-12-31 15:17:16,0,evgenykatyshev,"steps finish, bridge overs stream  #EveryDoor",2,0,evgenykatyshev,
5112511,Sri Lanka,6.8706808,81.0506774,2025-12-31 00:00:00,2025-12-31 15:17:15,0,evgenykatyshev,steps starts  #EveryDoor,2,0,evgenykatyshev,
5112148,Sri Lanka,6.8709016,81.0497125,2025-12-31 00:00:00,2025-12-31 14:46:16,0,evgenykatyshev,bridge  #EveryDoor,2,0,evgenykatyshev,
5087996,Sri Lanka,7.4498691,80.5608051,2025-12-12 00:00:00,2025-12-18 15:24:06,0,Thushara1982,'Mihilaka Hardware Store' POI name: Mihilaka Hardware Store POI types: shop-hardware OSM data version: 2025-08-18T14:30:50Z  #mapsme,2,0,NeisBot,"Hi Thushara1982, Thank you for your contribution!   I've reviewed OSM and noticed that the following element already exists:  'Mihilaka Hardware Store' (shop=hardware) https://osm.org/node/13371059101  Due to this, I'm closing this note now.   If you have further details to share or if you'd like to reopen the note in the future, feel free to do so.  #AlreadyMapped #Closing"
3202702,Sri Lanka,6.9329724,79.8561397,2022-05-30 00:00:00,2025-12-18 05:59:55,0,duckman56,Marked crosswalk  via StreetComplete 43.2,3,1,Dulaksha,
5095292,Sri Lanka,7.4351290,80.2150280,2025-12-17 00:00:00,2025-12-17 19:35:23,0,Distant City,This Telephone number is wrong,2,0,Distant City,This is my personal number
2506404,Sri Lanka,6.9941674,79.9448007,2021-01-21 00:00:00,2025-12-14 18:31:07,0,Unknown,Future Readers Book Shop,2,0,madusameera,
5085368,Sri Lanka,6.8549570,81.0523380,2025-12-09 00:00:00,2025-12-09 20:38:48,0,netgin,Ella Rock,2,0,netgin,
4341384,Sri Lanka,6.9182263,80.5730224,2024-07-20 00:00:00,2025-12-09 04:32:20,0,chath_tsu,a missing section of railway,2,0,chath_tsu,
2988771,Sri Lanka,6.9356150,79.8415683,2021-12-30 00:00:00,2025-12-04 08:46:49,0,Denemo,"'Incorrectly added' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2021-11-22T20:19:51Z POI has no name POI types: cuisine-asian amenity-restaurant  #organicmaps",2,0,Sam Jayah,
5076047,Sri Lanka,7.0667799,79.9151516,2025-12-02 00:00:00,2025-12-03 15:55:34,0,Unknown,gfrrdg,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
2962200,Sri Lanka,7.7397591,80.5160891,2021-12-07 00:00:00,2025-11-28 18:03:37,0,user_9164316,"'Existe pero esto es un duplicado.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2021-11-22T20:19:51Z POI name: Naa Uyana Monastery POI types: amenity-place_of_worship-buddhist  #organicmaps",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
2964618,Sri Lanka,7.7397604,80.5160898,2021-12-09 00:00:00,2025-11-28 17:56:13,0,user_9164316,"Duplicate of 4420030589, but shows area unlike the original",2,0,NeisBot,"The original content of this note has been removed due to the deletion or deactivation of the associated OSM user account. Consequently, this note is now automatically closed.  #NothingToDoHere"
5064182,Sri Lanka,6.0322864,80.2177839,2025-11-22 00:00:00,2025-11-23 19:56:24,0,Nic000,"'Die Krankenhausfläche ist zu groß eingezeichnet und beinhaltet Gebiete die damit nichts zu tun haben' The place has gone or never existed. A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-04T05:32:27Z POI has no name POI types: amenity-hospital  #CoMaps android 2025.11.19-2",2,0,map per,"Thanks, deleted the nonsense hospital area"
5060109,Sri Lanka,7.9084525,80.0550663,2025-11-19 00:00:00,2025-11-19 17:22:40,0,Unknown,Kiul Ela Lake,2,0,Kiul Ela Farm,
5056757,Sri Lanka,6.9282695,79.8836625,2025-11-17 00:00:00,2025-11-17 12:09:59,0,Unknown,Kolonnawa Railway Station,4,1,wdccf,
5048732,Sri Lanka,6.5863412,80.0350571,2025-11-11 00:00:00,2025-11-11 20:41:35,0,Ayeshmadhuwantha,MMarketplace map please edit,3,0,Ayeshmadhuwantha,
4110900,Sri Lanka,7.2977676,81.8638129,2024-02-13 00:00:00,2025-10-28 13:55:18,0,FAZEEHA,'quarters' POI name: quarters POI types: tourism-guest_house OSM data version: 2023-12-21T08:18:03Z  #mapsme,2,0,NeisBot,Same as note https://osm.org/note/4110896 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
4110898,Sri Lanka,7.2980640,81.8638335,2024-02-13 00:00:00,2025-10-28 13:55:17,0,FAZEEHA,'quarters' POI name: quarters POI types: tourism-guest_house OSM data version: 2023-12-21T08:18:03Z  #mapsme,2,0,NeisBot,Same as note https://osm.org/note/4110895 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
4110887,Sri Lanka,7.2989221,81.8620800,2024-02-13 00:00:00,2025-10-28 13:55:17,0,Fathima Ihshana,'Bicycle Parking' POI name: Bicycle Parking POI types: amenity-bicycle_parking OSM data version: 2023-12-21T08:18:03Z  #mapsme,2,0,NeisBot,Same as note https://osm.org/note/4110886 only ~3 m apart. Closing as duplicate.  #DuplicateNote #Nearby
4277456,Sri Lanka,6.9227311,80.6041185,2024-06-03 00:00:00,2025-10-28 13:29:00,0,DanielDan08,building  #EveryDoor,2,0,NeisBot,Same as note https://osm.org/note/4277433 only ~2 m apart. Closing as duplicate.  #DuplicateNote #Nearby
3001221,Sri Lanka,7.7883480,80.1000990,2022-01-07 00:00:00,2025-10-26 12:41:02,0,ivanbranco,use addr: schema instead,2,0,Manidu,
3001199,Sri Lanka,7.7720608,80.1098922,2022-01-07 00:00:00,2025-10-26 12:40:56,0,ivanbranco,"invalid tagging, use addr: schema instead",2,0,Manidu,
